,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
427611,2010-01-01,1.045,1.055,1.03,1.055,422910.0,RSG,as51
427612,2010-01-04,1.05,1.07,1.035,1.07,396931.0,RSG,as51
427613,2010-01-05,1.11,1.16,1.11,1.14,2493930.0,RSG,as51
427614,2010-01-06,1.145,1.18,1.13,1.17,1917790.0,RSG,as51
427615,2010-01-07,1.175,1.19,1.175,1.18,1932830.0,RSG,as51
427616,2010-01-08,1.17,1.17,1.14,1.145,592462.0,RSG,as51
427617,2010-01-11,1.18,1.215,1.18,1.2,1995860.0,RSG,as51
427618,2010-01-12,1.21,1.225,1.19,1.21,1190760.0,RSG,as51
427619,2010-01-13,1.17,1.21,1.17,1.21,1189770.0,RSG,as51
427620,2010-01-14,1.215,1.22,1.17,1.18,1082230.0,RSG,as51
427621,2010-01-15,1.18,1.19,1.17,1.18,1190430.0,RSG,as51
427622,2010-01-18,1.15,1.17,1.115,1.135,994054.0,RSG,as51
427623,2010-01-19,1.135,1.135,1.1,1.125,264820.0,RSG,as51
427624,2010-01-20,1.135,1.15,1.13,1.13,428875.0,RSG,as51
427625,2010-01-21,1.07,1.07,1.0,1.02,1605820.0,RSG,as51
427626,2010-01-22,0.96,0.995,0.92,0.985,1404140.0,RSG,as51
427627,2010-01-25,0.965,1.04,0.95,1.02,1090400.0,RSG,as51
427628,2010-01-26,0.965,1.04,0.95,1.02,1090400.0,RSG,as51
427629,2010-01-27,1.04,1.055,1.0,1.005,859139.0,RSG,as51
427630,2010-01-28,1.03,1.035,1.005,1.025,557891.0,RSG,as51
427631,2010-01-29,1.025,1.025,0.96,0.985,754757.0,RSG,as51
427632,2010-02-01,0.98,0.985,0.9,0.905,697391.0,RSG,as51
427633,2010-02-02,0.96,1.045,0.95,1.035,1156540.0,RSG,as51
427634,2010-02-03,1.06,1.12,1.06,1.08,2318490.0,RSG,as51
427635,2010-02-04,1.045,1.06,1.005,1.02,893004.0,RSG,as51
427636,2010-02-05,0.94,0.975,0.925,0.945,1487500.0,RSG,as51
427637,2010-02-08,0.97,0.985,0.95,0.97,1063660.0,RSG,as51
427638,2010-02-09,0.95,0.975,0.94,0.95,496034.0,RSG,as51
427639,2010-02-10,0.985,1.01,0.95,0.95,595932.0,RSG,as51
427640,2010-02-11,0.94,0.985,0.94,0.975,670570.0,RSG,as51
427641,2010-02-12,1.05,1.08,1.02,1.045,1166830.0,RSG,as51
427642,2010-02-15,1.0,1.04,0.975,0.975,1036090.0,RSG,as51
427643,2010-02-16,0.995,1.04,0.995,1.01,1169960.0,RSG,as51
427644,2010-02-17,1.045,1.065,1.035,1.05,672634.0,RSG,as51
