,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
436984,2014-06-25,3.21,3.21,3.075,3.08,19471500.0,SCG,as51
436985,2014-06-26,3.1,3.15,3.07,3.15,35107400.0,SCG,as51
436986,2014-06-27,3.17,3.25,3.15,3.25,50710200.0,SCG,as51
436987,2014-06-30,3.24,3.25,3.2,3.2,16792400.0,SCG,as51
436988,2014-07-01,3.2,3.22,3.16,3.17,25853700.0,SCG,as51
436989,2014-07-02,3.19,3.205,3.16,3.19,30998200.0,SCG,as51
436990,2014-07-03,3.19,3.2,3.17,3.17,30881000.0,SCG,as51
436991,2014-07-04,3.15,3.16,3.13,3.15,23360300.0,SCG,as51
436992,2014-07-07,3.15,3.21,3.13,3.2,18382700.0,SCG,as51
436993,2014-07-08,3.17,3.22,3.17,3.2,20507800.0,SCG,as51
436994,2014-07-09,3.2,3.25,3.2,3.21,18222800.0,SCG,as51
436995,2014-07-10,3.22,3.33,3.22,3.32,24295500.0,SCG,as51
436996,2014-07-11,3.31,3.39,3.31,3.34,21823300.0,SCG,as51
436997,2014-07-14,3.36,3.4,3.35,3.4,8245040.0,SCG,as51
436998,2014-07-15,3.42,3.42,3.385,3.42,25741400.0,SCG,as51
436999,2014-07-16,3.44,3.47,3.43,3.45,31683700.0,SCG,as51
437000,2014-07-17,3.46,3.46,3.38,3.4,28978300.0,SCG,as51
437001,2014-07-18,3.34,3.39,3.33,3.33,19553900.0,SCG,as51
437002,2014-07-21,3.34,3.39,3.34,3.38,10131300.0,SCG,as51
437003,2014-07-22,3.4,3.41,3.35,3.35,14743900.0,SCG,as51
437004,2014-07-23,3.39,3.42,3.36,3.4,11689200.0,SCG,as51
437005,2014-07-24,3.38,3.41,3.38,3.4,10275000.0,SCG,as51
437006,2014-07-25,3.38,3.4,3.36,3.37,11063100.0,SCG,as51
437007,2014-07-28,3.37,3.39,3.35,3.37,19211500.0,SCG,as51
437008,2014-07-29,3.35,3.39,3.345,3.39,8771060.0,SCG,as51
437009,2014-07-30,3.4,3.44,3.39,3.41,15134700.0,SCG,as51
437010,2014-07-31,3.4,3.47,3.39,3.4,11688300.0,SCG,as51
437011,2014-08-01,3.34,3.37,3.33,3.33,11001600.0,SCG,as51
437012,2014-08-04,3.32,3.42,3.32,3.39,10006900.0,SCG,as51
437013,2014-08-05,3.39,3.4,3.37,3.39,15017100.0,SCG,as51
437014,2014-08-06,3.38,3.395,3.35,3.36,9274900.0,SCG,as51
437015,2014-08-07,3.36,3.38,3.34,3.37,13850900.0,SCG,as51
437016,2014-08-08,3.34,3.36,3.27,3.3,15689900.0,SCG,as51
437017,2014-08-11,3.37,3.37,3.32,3.36,10592500.0,SCG,as51
437018,2014-08-12,3.38,3.41,3.375,3.4,15711700.0,SCG,as51
437019,2014-08-13,3.39,3.44,3.39,3.44,9959100.0,SCG,as51
437020,2014-08-14,3.42,3.475,3.41,3.47,13948700.0,SCG,as51
437021,2014-08-15,3.47,3.5,3.47,3.5,8731430.0,SCG,as51
437022,2014-08-18,3.5,3.5,3.47,3.48,13982100.0,SCG,as51
