,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
441272,2013-08-02,1.3024,1.4008,1.3024,1.37,40821000.0,SDF,as51
441273,2013-08-05,1.3989,1.3989,1.3603,1.3796,3803030.0,SDF,as51
441274,2013-08-06,1.3796,1.3941,1.3748,1.3796,1372990.0,SDF,as51
441275,2013-08-07,1.3893,1.4182,1.3796,1.4134,2580820.0,SDF,as51
441276,2013-08-08,1.4375,1.4857,1.3989,1.4086,1637640.0,SDF,as51
441277,2013-08-09,1.4279,1.4471,1.4037,1.4086,4120780.0,SDF,as51
441278,2013-08-12,1.3989,1.4182,1.3844,1.3893,2137260.0,SDF,as51
441279,2013-08-13,1.3796,1.3844,1.37,1.3796,1228370.0,SDF,as51
441280,2013-08-14,1.3796,1.3989,1.3796,1.3893,1203500.0,SDF,as51
441281,2013-08-15,1.3941,1.3941,1.37,1.3893,983626.0,SDF,as51
441282,2013-08-16,1.3941,1.3941,1.37,1.37,575640.0,SDF,as51
441283,2013-08-19,1.3651,1.37,1.3121,1.3217,1840790.0,SDF,as51
441284,2013-08-20,1.3314,1.3507,1.3217,1.3314,1533980.0,SDF,as51
441285,2013-08-21,1.3362,1.3603,1.3314,1.3507,3509100.0,SDF,as51
441286,2013-08-22,1.3555,1.3844,1.3507,1.3844,1740920.0,SDF,as51
441287,2013-08-23,1.3796,1.3893,1.3507,1.3603,331637.0,SDF,as51
441288,2013-08-26,1.37,1.3796,1.3603,1.37,235048.0,SDF,as51
441289,2013-08-27,1.3651,1.37,1.3507,1.3603,154300.0,SDF,as51
441290,2013-08-28,1.3603,1.3603,1.341,1.3555,2106680.0,SDF,as51
441291,2013-08-29,1.3555,1.3651,1.3458,1.3603,490193.0,SDF,as51
441292,2013-08-30,1.3507,1.37,1.3362,1.3362,1047680.0,SDF,as51
441293,2013-09-02,1.3603,1.3651,1.3507,1.3651,1287050.0,SDF,as51
441294,2013-09-03,1.3603,1.3651,1.3362,1.3603,986127.0,SDF,as51
441295,2013-09-04,1.37,1.37,1.3458,1.3603,248632.0,SDF,as51
441296,2013-09-05,1.3603,1.3844,1.3603,1.3603,1570250.0,SDF,as51
441297,2013-09-06,1.3603,1.3603,1.341,1.3507,145777.0,SDF,as51
441298,2013-09-09,1.3748,1.3844,1.3555,1.3603,753466.0,SDF,as51
441299,2013-09-10,1.37,1.3844,1.3603,1.37,346953.0,SDF,as51
441300,2013-09-11,1.3844,1.3893,1.3603,1.3748,425970.0,SDF,as51
441301,2013-09-12,1.3844,1.4279,1.3844,1.4086,2144620.0,SDF,as51
441302,2013-09-13,1.4086,1.4182,1.3989,1.4086,1259440.0,SDF,as51
441303,2013-09-16,1.4086,1.4279,1.4037,1.4086,212426.0,SDF,as51
441304,2013-09-17,1.4182,1.423,1.4037,1.4086,290145.0,SDF,as51
441305,2013-09-18,1.4086,1.4857,1.4037,1.4857,702536.0,SDF,as51
441306,2013-09-19,1.4761,1.534,1.4423,1.505,1073700.0,SDF,as51
441307,2013-09-20,1.505,1.5436,1.4471,1.4471,575628.0,SDF,as51
441308,2013-09-23,1.4664,1.5243,1.4664,1.505,145584.0,SDF,as51
441309,2013-09-24,1.5243,1.5243,1.5002,1.505,219033.0,SDF,as51
441310,2013-09-25,1.505,1.505,1.4857,1.4954,153011.0,SDF,as51
441311,2013-09-26,1.4954,1.5292,1.4954,1.5195,562929.0,SDF,as51
441312,2013-09-27,1.5243,1.534,1.5147,1.534,165332.0,SDF,as51
441313,2013-09-30,1.5243,1.534,1.5147,1.5195,151257.0,SDF,as51
441314,2013-10-01,1.5195,1.5822,1.5147,1.5436,670165.0,SDF,as51
441315,2013-10-02,1.5436,1.5919,1.5388,1.5677,907676.0,SDF,as51
441316,2013-10-03,1.5726,1.5822,1.5533,1.5533,174203.0,SDF,as51
441317,2013-10-04,1.5629,1.6305,1.5581,1.5919,605270.0,SDF,as51
441318,2013-10-07,1.6546,1.6594,1.6015,1.6305,275027.0,SDF,as51
441319,2013-10-08,1.6401,1.669,1.616,1.6401,675547.0,SDF,as51
441320,2013-10-09,1.6401,1.6497,1.6112,1.6305,737521.0,SDF,as51
441321,2013-10-10,1.6305,1.6401,1.5726,1.5726,576738.0,SDF,as51
441322,2013-10-11,1.6112,1.6208,1.5919,1.6112,362339.0,SDF,as51
441323,2013-10-14,1.616,1.6401,1.6112,1.6112,423356.0,SDF,as51
441324,2013-10-15,1.616,1.6401,1.6015,1.6208,4160650.0,SDF,as51
441325,2013-10-16,1.6112,1.6353,1.5436,1.5436,483547.0,SDF,as51
441326,2013-10-17,1.5726,1.5822,1.5629,1.5629,181073.0,SDF,as51
441327,2013-10-18,1.5726,1.6401,1.5677,1.6401,145825.0,SDF,as51
441328,2013-10-21,1.6401,1.6401,1.6112,1.6208,210094.0,SDF,as51
441329,2013-10-22,1.6401,1.6401,1.6208,1.6256,249722.0,SDF,as51
441330,2013-10-23,1.6401,1.6401,1.6112,1.6208,335698.0,SDF,as51
441331,2013-10-24,1.6112,1.6497,1.6112,1.6256,689172.0,SDF,as51
441332,2013-10-25,1.6401,1.6449,1.6353,1.6401,1026240.0,SDF,as51
441333,2013-10-28,1.6401,1.6449,1.6353,1.6401,237593.0,SDF,as51
441334,2013-10-29,1.6401,1.6401,1.6208,1.6305,326008.0,SDF,as51
441335,2013-10-30,1.6305,1.6305,1.6112,1.6208,116405.0,SDF,as51
441336,2013-10-31,1.6305,1.6305,1.6112,1.6112,451013.0,SDF,as51
441337,2013-11-01,1.6305,1.6401,1.6063,1.6305,5190170.0,SDF,as51
441338,2013-11-04,1.6305,1.6305,1.5629,1.5726,1744660.0,SDF,as51
441339,2013-11-05,1.5919,1.6112,1.5919,1.6112,116314.0,SDF,as51
441340,2013-11-06,1.6112,1.6208,1.5726,1.5726,232550.0,SDF,as51
441341,2013-11-07,1.6015,1.6015,1.5629,1.5919,227746.0,SDF,as51
441342,2013-11-08,1.5919,1.6208,1.5726,1.6112,1268540.0,SDF,as51
441343,2013-11-11,1.6112,1.6112,1.5629,1.5919,3672980.0,SDF,as51
441344,2013-11-12,1.5919,1.6208,1.5774,1.5919,957961.0,SDF,as51
441345,2013-11-13,1.5919,1.6305,1.5726,1.6256,340005.0,SDF,as51
441346,2013-11-14,1.6256,1.6305,1.6015,1.6208,288441.0,SDF,as51
