,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
443443,2010-01-01,6.84,6.95,6.83,6.9,380428.0,SEK,as51
443444,2010-01-04,6.92,7.03,6.76,6.78,801574.0,SEK,as51
443445,2010-01-05,6.83,6.95,6.83,6.94,864758.0,SEK,as51
443446,2010-01-06,6.9,6.97,6.71,6.75,601021.0,SEK,as51
443447,2010-01-07,6.8,6.91,6.72,6.86,1080330.0,SEK,as51
443448,2010-01-08,6.85,6.9,6.74,6.79,524404.0,SEK,as51
443449,2010-01-11,6.8,6.81,6.59,6.65,639284.0,SEK,as51
443450,2010-01-12,6.59,6.67,6.54,6.6,691009.0,SEK,as51
443451,2010-01-13,6.58,6.73,6.54,6.7,699057.0,SEK,as51
443452,2010-01-14,6.64,6.7,6.56,6.59,881750.0,SEK,as51
443453,2010-01-15,6.58,6.61,6.26,6.5,969555.0,SEK,as51
443454,2010-01-18,6.43,6.58,6.36,6.4,1733790.0,SEK,as51
443455,2010-01-19,6.4,6.5,6.34,6.46,1069860.0,SEK,as51
443456,2010-01-20,6.51,6.58,6.49,6.51,1491280.0,SEK,as51
443457,2010-01-21,6.5,6.55,6.45,6.5,1963540.0,SEK,as51
443458,2010-01-22,6.34,6.46,6.27,6.37,1096060.0,SEK,as51
443459,2010-01-25,6.33,6.57,6.3,6.51,721741.0,SEK,as51
443460,2010-01-26,6.33,6.57,6.3,6.51,721741.0,SEK,as51
443461,2010-01-27,6.39,6.56,6.37,6.48,1565800.0,SEK,as51
443462,2010-01-28,6.43,6.57,6.41,6.5,1956020.0,SEK,as51
443463,2010-01-29,6.42,6.51,6.42,6.49,1447000.0,SEK,as51
443464,2010-02-01,6.44,6.44,6.11,6.2,1157280.0,SEK,as51
443465,2010-02-02,6.22,6.39,6.22,6.39,1079790.0,SEK,as51
443466,2010-02-03,6.42,6.48,6.23,6.29,893892.0,SEK,as51
443467,2010-02-04,6.27,6.62,6.26,6.51,1886110.0,SEK,as51
443468,2010-02-05,6.3,6.33,6.17,6.25,1308520.0,SEK,as51
443469,2010-02-08,6.21,6.24,6.12,6.16,1294370.0,SEK,as51
443470,2010-02-09,6.15,6.23,6.05,6.14,1187480.0,SEK,as51
443471,2010-02-10,6.21,6.27,6.12,6.17,2516990.0,SEK,as51
443472,2010-02-11,6.16,6.39,6.13,6.32,2246020.0,SEK,as51
443473,2010-02-12,6.48,6.57,6.32,6.55,1735390.0,SEK,as51
443474,2010-02-15,6.47,6.57,6.38,6.55,1094630.0,SEK,as51
443475,2010-02-16,6.92,7.07,6.74,6.99,3157370.0,SEK,as51
443476,2010-02-17,7.1,7.32,7.09,7.15,3222860.0,SEK,as51
443477,2010-02-18,7.25,7.54,7.21,7.4,2512380.0,SEK,as51
443478,2010-02-19,7.41,7.42,7.11,7.15,2932070.0,SEK,as51
443479,2010-02-22,7.35,7.44,7.28,7.33,1066230.0,SEK,as51
443480,2010-02-23,7.3,7.32,7.19,7.21,1255180.0,SEK,as51
443481,2010-02-24,7.32,7.48,7.22,7.28,2826170.0,SEK,as51
443482,2010-02-25,7.29,7.39,7.14,7.19,1460270.0,SEK,as51
443483,2010-02-26,7.15,7.24,6.98,7.11,2020240.0,SEK,as51
443484,2010-03-01,7.25,7.39,7.18,7.18,1215580.0,SEK,as51
443485,2010-03-02,7.24,7.29,7.13,7.15,887072.0,SEK,as51
443486,2010-03-03,7.21,7.51,7.18,7.47,3325650.0,SEK,as51
443487,2010-03-04,7.5,7.56,7.4,7.5,2073080.0,SEK,as51
443488,2010-03-05,7.51,7.53,7.42,7.48,1062740.0,SEK,as51
443489,2010-03-08,7.53,7.56,7.42,7.47,618364.0,SEK,as51
443490,2010-03-09,7.5,7.72,7.41,7.55,2773800.0,SEK,as51
443491,2010-03-10,7.55,7.64,7.51,7.61,1137620.0,SEK,as51
443492,2010-03-11,7.63,7.69,7.4,7.41,1217620.0,SEK,as51
443493,2010-03-12,7.44,7.54,7.43,7.49,855907.0,SEK,as51
443494,2010-03-15,7.5,7.57,7.47,7.5,1803630.0,SEK,as51
443495,2010-03-16,7.55,7.8,7.5,7.71,2909270.0,SEK,as51
443496,2010-03-17,8.09,8.18,7.82,8.0,5169950.0,SEK,as51
443497,2010-03-18,8.05,8.05,7.82,7.9,2783980.0,SEK,as51
443498,2010-03-19,7.89,8.04,7.85,8.04,2218120.0,SEK,as51
443499,2010-03-22,8.04,8.09,7.94,8.0,1983670.0,SEK,as51
443500,2010-03-23,8.09,8.09,7.95,8.05,1608300.0,SEK,as51
443501,2010-03-24,8.02,8.02,7.94,7.95,784193.0,SEK,as51
443502,2010-03-25,7.95,8.04,7.86,7.95,1547160.0,SEK,as51
443503,2010-03-26,7.75,7.85,7.6,7.8,1278110.0,SEK,as51
443504,2010-03-29,7.88,8.04,7.84,7.99,1481740.0,SEK,as51
443505,2010-03-30,8.05,8.13,7.99,8.1,1157910.0,SEK,as51
443506,2010-03-31,8.14,8.17,8.01,8.02,1561110.0,SEK,as51
443507,2010-04-01,7.95,8.14,7.95,8.13,1034260.0,SEK,as51
443508,2010-04-02,7.95,8.14,7.95,8.13,1034260.0,SEK,as51
443509,2010-04-05,7.95,8.14,7.95,8.13,1034260.0,SEK,as51
443510,2010-04-06,8.19,8.36,8.1,8.2,819927.0,SEK,as51
443511,2010-04-07,8.24,8.4,8.17,8.2,1329720.0,SEK,as51
443512,2010-04-08,8.09,8.14,7.99,8.08,1729220.0,SEK,as51
443513,2010-04-09,8.1,8.17,7.95,8.0,606796.0,SEK,as51
443514,2010-04-12,8.02,8.25,8.02,8.19,817547.0,SEK,as51
443515,2010-04-13,8.21,8.25,8.1,8.15,1072430.0,SEK,as51
443516,2010-04-14,8.23,8.26,8.18,8.23,2508230.0,SEK,as51
443517,2010-04-15,8.22,8.23,7.95,7.96,1809600.0,SEK,as51
443518,2010-04-16,7.99,8.0,7.91,7.94,898335.0,SEK,as51
443519,2010-04-19,7.76,7.82,7.66,7.75,714988.0,SEK,as51
443520,2010-04-20,7.8,7.84,7.75,7.75,1159680.0,SEK,as51
443521,2010-04-21,7.78,7.78,7.6,7.7,2793070.0,SEK,as51
443522,2010-04-22,7.64,7.87,7.51,7.85,1374240.0,SEK,as51
443523,2010-04-23,7.87,8.02,7.87,8.0,1115830.0,SEK,as51
443524,2010-04-26,7.87,8.02,7.87,8.0,1115830.0,SEK,as51
443525,2010-04-27,8.11,8.18,8.0,8.08,1324680.0,SEK,as51
443526,2010-04-28,7.88,8.05,7.88,8.02,2451140.0,SEK,as51
443527,2010-04-29,8.05,8.22,8.04,8.22,2301490.0,SEK,as51
443528,2010-04-30,8.25,8.39,8.24,8.39,2492060.0,SEK,as51
443529,2010-05-03,8.39,8.55,8.32,8.54,1516360.0,SEK,as51
443530,2010-05-04,8.54,8.57,8.22,8.35,2263360.0,SEK,as51
443531,2010-05-05,8.0,8.08,7.81,8.0,3465580.0,SEK,as51
443532,2010-05-06,7.85,7.93,7.7,7.74,2602260.0,SEK,as51
443533,2010-05-07,7.39,7.77,7.33,7.55,3367300.0,SEK,as51
443534,2010-05-10,7.57,7.88,7.57,7.88,2031170.0,SEK,as51
443535,2010-05-11,7.9,7.96,7.78,7.85,1312600.0,SEK,as51
443536,2010-05-12,7.97,8.09,7.89,7.98,748538.0,SEK,as51
443537,2010-05-13,8.1,8.27,8.08,8.19,1996490.0,SEK,as51
443538,2010-05-14,8.08,8.2,8.04,8.16,5144470.0,SEK,as51
443539,2010-05-17,7.93,8.03,7.8,7.83,1305640.0,SEK,as51
443540,2010-05-18,7.96,7.97,7.64,7.75,2472250.0,SEK,as51
443541,2010-05-19,7.59,7.7,7.45,7.5,1877650.0,SEK,as51
443542,2010-05-20,7.63,7.72,6.9,7.1,4715010.0,SEK,as51
443543,2010-05-21,6.7,7.2,6.7,7.04,3453400.0,SEK,as51
443544,2010-05-24,7.04,7.22,6.88,7.2,2556970.0,SEK,as51
443545,2010-05-25,7.12,7.14,7.0,7.08,1820700.0,SEK,as51
443546,2010-05-26,7.21,7.35,7.12,7.35,3417050.0,SEK,as51
443547,2010-05-27,7.36,7.48,7.23,7.45,3591600.0,SEK,as51
443548,2010-05-28,7.5,7.5,7.39,7.46,1001120.0,SEK,as51
443549,2010-05-31,7.47,7.62,7.46,7.49,1315420.0,SEK,as51
443550,2010-06-01,7.42,7.48,7.35,7.47,1352990.0,SEK,as51
443551,2010-06-02,7.47,7.55,7.42,7.48,1369420.0,SEK,as51
443552,2010-06-03,7.62,7.79,7.59,7.69,3809500.0,SEK,as51
443553,2010-06-04,7.65,7.65,7.47,7.53,1605980.0,SEK,as51
443554,2010-06-07,7.29,7.29,7.05,7.13,1764120.0,SEK,as51
443555,2010-06-08,7.18,7.31,7.16,7.3,1403320.0,SEK,as51
443556,2010-06-09,7.25,7.34,7.12,7.3,1147210.0,SEK,as51
443557,2010-06-10,7.38,7.38,7.21,7.3,1110310.0,SEK,as51
443558,2010-06-11,7.4,7.51,7.38,7.45,1021330.0,SEK,as51
443559,2010-06-14,7.4,7.51,7.38,7.45,1021330.0,SEK,as51
443560,2010-06-15,7.44,7.5,7.41,7.48,1399890.0,SEK,as51
443561,2010-06-16,7.7,7.74,7.53,7.62,2155910.0,SEK,as51
443562,2010-06-17,7.65,7.82,7.62,7.67,1809380.0,SEK,as51
443563,2010-06-18,7.75,7.83,7.72,7.73,1538280.0,SEK,as51
443564,2010-06-21,7.9,7.95,7.64,7.81,964510.0,SEK,as51
443565,2010-06-22,7.77,7.77,7.64,7.66,732032.0,SEK,as51
443566,2010-06-23,7.53,7.58,7.32,7.44,1028290.0,SEK,as51
443567,2010-06-24,7.5,7.5,7.36,7.43,725625.0,SEK,as51
443568,2010-06-25,7.3,7.49,7.24,7.34,553718.0,SEK,as51
443569,2010-06-28,7.35,7.39,7.13,7.2,938469.0,SEK,as51
443570,2010-06-29,7.19,7.27,7.02,7.02,899722.0,SEK,as51
443571,2010-06-30,6.85,7.08,6.75,7.01,1900560.0,SEK,as51
443572,2010-07-01,6.88,6.89,6.75,6.88,937055.0,SEK,as51
443573,2010-07-02,6.93,7.1,6.86,7.08,1770200.0,SEK,as51
443574,2010-07-05,7.04,7.04,6.75,6.82,843571.0,SEK,as51
443575,2010-07-06,6.76,6.98,6.76,6.89,983264.0,SEK,as51
443576,2010-07-07,6.82,6.88,6.61,6.75,1238050.0,SEK,as51
443577,2010-07-08,6.87,7.02,6.81,6.98,1490330.0,SEK,as51
443578,2010-07-09,7.09,7.17,6.96,7.11,552473.0,SEK,as51
443579,2010-07-12,7.07,7.25,7.05,7.18,675977.0,SEK,as51
443580,2010-07-13,7.22,7.23,7.08,7.11,692431.0,SEK,as51
443581,2010-07-14,7.18,7.25,7.17,7.25,986879.0,SEK,as51
443582,2010-07-15,7.23,7.27,7.13,7.16,732992.0,SEK,as51
443583,2010-07-16,7.19,7.25,7.15,7.19,521882.0,SEK,as51
443584,2010-07-19,7.05,7.05,6.89,6.92,666041.0,SEK,as51
443585,2010-07-20,7.1,7.36,7.1,7.28,951236.0,SEK,as51
443586,2010-07-21,7.46,7.46,7.1,7.19,513619.0,SEK,as51
443587,2010-07-22,7.12,7.35,7.12,7.14,492096.0,SEK,as51
443588,2010-07-23,7.32,7.4,7.17,7.36,612229.0,SEK,as51
443589,2010-07-26,7.48,7.67,7.4,7.52,1139200.0,SEK,as51
443590,2010-07-27,7.61,7.71,7.52,7.57,745513.0,SEK,as51
443591,2010-07-28,7.61,7.65,7.53,7.57,555771.0,SEK,as51
443592,2010-07-29,7.53,7.56,7.46,7.53,792603.0,SEK,as51
443593,2010-07-30,7.48,7.59,7.45,7.57,433207.0,SEK,as51
443594,2010-08-02,7.62,7.7,7.6,7.6,931364.0,SEK,as51
443595,2010-08-03,7.7,7.85,7.65,7.76,653576.0,SEK,as51
443596,2010-08-04,7.76,7.76,7.56,7.66,2174670.0,SEK,as51
443597,2010-08-05,7.78,7.89,7.69,7.74,865470.0,SEK,as51
443598,2010-08-06,7.7,7.77,7.54,7.6,519370.0,SEK,as51
443599,2010-08-09,7.5,7.74,7.5,7.65,897274.0,SEK,as51
443600,2010-08-10,7.6,7.67,7.53,7.63,1517810.0,SEK,as51
443601,2010-08-11,7.58,7.66,7.38,7.39,1479960.0,SEK,as51
443602,2010-08-12,7.35,7.35,7.11,7.13,1494350.0,SEK,as51
443603,2010-08-13,7.11,7.35,7.11,7.23,2774500.0,SEK,as51
443604,2010-08-16,7.2,7.46,7.2,7.4,1717870.0,SEK,as51
