,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
472986,2010-01-01,13.55,13.6,13.53,13.58,5488.0,SOL,as51
472987,2010-01-04,13.6,13.7,13.59,13.69,33508.0,SOL,as51
472988,2010-01-05,13.72,13.72,13.65,13.72,19569.0,SOL,as51
472989,2010-01-06,13.72,13.78,13.62,13.78,26261.0,SOL,as51
472990,2010-01-07,13.8,13.85,13.7,13.85,45878.0,SOL,as51
472991,2010-01-08,13.77,13.81,13.66,13.67,32751.0,SOL,as51
472992,2010-01-11,13.68,13.75,13.62,13.7,21321.0,SOL,as51
472993,2010-01-12,13.7,13.71,13.7,13.7,12080.0,SOL,as51
472994,2010-01-13,13.7,13.84,13.68,13.68,26328.0,SOL,as51
472995,2010-01-14,13.7,13.75,13.7,13.7,23725.0,SOL,as51
472996,2010-01-15,13.7,13.85,13.7,13.85,27313.0,SOL,as51
472997,2010-01-18,13.85,13.85,13.74,13.79,21583.0,SOL,as51
472998,2010-01-19,13.79,13.86,13.75,13.85,23192.0,SOL,as51
472999,2010-01-20,13.89,13.95,13.85,13.9,17483.0,SOL,as51
473000,2010-01-21,13.9,13.9,13.74,13.74,16774.0,SOL,as51
473001,2010-01-22,13.74,13.75,13.65,13.75,25533.0,SOL,as51
473002,2010-01-25,13.64,14.0,13.63,14.0,33439.0,SOL,as51
473003,2010-01-26,13.64,14.0,13.63,14.0,33439.0,SOL,as51
473004,2010-01-27,14.5,14.5,13.61,13.61,25929.0,SOL,as51
473005,2010-01-28,13.85,13.87,13.71,13.87,12005.0,SOL,as51
473006,2010-01-29,13.85,13.85,13.55,13.65,22997.0,SOL,as51
473007,2010-02-01,13.55,13.64,13.31,13.4,34358.0,SOL,as51
473008,2010-02-02,13.6,13.6,13.25,13.46,18441.0,SOL,as51
473009,2010-02-03,13.5,13.6,13.5,13.6,12075.0,SOL,as51
473010,2010-02-04,13.65,13.7,13.5,13.55,18699.0,SOL,as51
473011,2010-02-05,13.25,13.25,12.95,13.24,30744.0,SOL,as51
473012,2010-02-08,13.12,13.28,13.12,13.25,17800.0,SOL,as51
473013,2010-02-09,13.01,13.07,12.99,13.06,42972.0,SOL,as51
473014,2010-02-10,13.3,13.31,13.15,13.18,8874.0,SOL,as51
473015,2010-02-11,13.3,13.31,13.2,13.3,8311.0,SOL,as51
473016,2010-02-12,13.24,13.3,13.17,13.3,63463.0,SOL,as51
473017,2010-02-15,13.3,13.46,13.3,13.35,10477.0,SOL,as51
473018,2010-02-16,13.38,13.38,13.05,13.29,5966.0,SOL,as51
473019,2010-02-17,13.21,13.37,13.06,13.26,25789.0,SOL,as51
473020,2010-02-18,13.26,13.33,13.1,13.32,30943.0,SOL,as51
473021,2010-02-19,13.38,13.44,13.01,13.37,12911.0,SOL,as51
473022,2010-02-22,13.35,13.35,13.16,13.22,10292.0,SOL,as51
473023,2010-02-23,13.01,13.22,13.01,13.1,17649.0,SOL,as51
473024,2010-02-24,13.07,13.12,13.06,13.07,12611.0,SOL,as51
473025,2010-02-25,13.11,13.19,13.05,13.05,12076.0,SOL,as51
473026,2010-02-26,13.05,13.08,12.95,12.96,14830.0,SOL,as51
473027,2010-03-01,12.9,12.95,12.84,12.95,469556.0,SOL,as51
473028,2010-03-02,12.9,12.93,12.8,12.8,51404.0,SOL,as51
473029,2010-03-03,12.78,12.8,12.69,12.79,47341.0,SOL,as51
473030,2010-03-04,12.8,12.84,12.7,12.8,20209.0,SOL,as51
473031,2010-03-05,12.8,12.95,12.8,12.93,131604.0,SOL,as51
473032,2010-03-08,13.04,13.48,13.04,13.45,36186.0,SOL,as51
473033,2010-03-09,13.45,13.45,13.08,13.2,32628.0,SOL,as51
473034,2010-03-10,13.21,13.6,13.21,13.45,51750.0,SOL,as51
473035,2010-03-11,13.45,13.58,13.29,13.39,27417.0,SOL,as51
473036,2010-03-12,13.5,13.51,13.4,13.5,27268.0,SOL,as51
473037,2010-03-15,13.5,13.71,13.47,13.68,14364.0,SOL,as51
473038,2010-03-16,13.63,13.63,13.45,13.45,8569.0,SOL,as51
473039,2010-03-17,13.35,13.51,13.31,13.45,28317.0,SOL,as51
473040,2010-03-18,13.5,13.61,13.3,13.3,40169.0,SOL,as51
473041,2010-03-19,13.36,13.68,13.31,13.6,23851.0,SOL,as51
473042,2010-03-22,13.52,13.57,13.4,13.4,24676.0,SOL,as51
473043,2010-03-23,13.49,13.6,13.4,13.5,16622.0,SOL,as51
473044,2010-03-24,13.46,13.68,13.45,13.62,29648.0,SOL,as51
473045,2010-03-25,13.6,13.81,13.55,13.8,34066.0,SOL,as51
473046,2010-03-26,14.0,14.27,14.0,14.2,83642.0,SOL,as51
473047,2010-03-29,14.3,14.49,14.13,14.3,42352.0,SOL,as51
473048,2010-03-30,14.21,14.45,14.21,14.35,27358.0,SOL,as51
473049,2010-03-31,14.4,14.5,14.3,14.3,33740.0,SOL,as51
473050,2010-04-01,14.35,14.9,14.35,14.9,156291.0,SOL,as51
473051,2010-04-02,14.35,14.9,14.35,14.9,156291.0,SOL,as51
473052,2010-04-05,14.35,14.9,14.35,14.9,156291.0,SOL,as51
473053,2010-04-06,14.93,14.95,14.75,14.92,34641.0,SOL,as51
473054,2010-04-07,14.95,15.16,14.88,14.9,28740.0,SOL,as51
473055,2010-04-08,15.1,15.14,14.8,14.89,32440.0,SOL,as51
473056,2010-04-09,14.89,15.1,14.75,15.03,39511.0,SOL,as51
473057,2010-04-12,15.03,15.29,15.0,15.2,42444.0,SOL,as51
473058,2010-04-13,15.2,15.22,15.06,15.09,19929.0,SOL,as51
473059,2010-04-14,15.09,15.1,14.9,15.01,47213.0,SOL,as51
473060,2010-04-15,15.03,15.38,15.03,15.2,102269.0,SOL,as51
473061,2010-04-16,15.0,15.03,14.9,15.0,39539.0,SOL,as51
473062,2010-04-19,14.5,14.69,14.38,14.53,27425.0,SOL,as51
473063,2010-04-20,14.6,14.63,14.54,14.57,19814.0,SOL,as51
473064,2010-04-21,14.5,14.5,14.23,14.38,238172.0,SOL,as51
473065,2010-04-22,14.35,14.48,14.26,14.35,15562.0,SOL,as51
473066,2010-04-23,14.38,14.51,14.37,14.51,29847.0,SOL,as51
473067,2010-04-26,14.38,14.51,14.37,14.51,29847.0,SOL,as51
473068,2010-04-27,14.53,14.6,14.36,14.49,28885.0,SOL,as51
473069,2010-04-28,14.2,14.45,14.2,14.41,59863.0,SOL,as51
473070,2010-04-29,14.46,14.48,14.38,14.48,74176.0,SOL,as51
473071,2010-04-30,14.48,14.48,14.25,14.3,18369.0,SOL,as51
473072,2010-05-03,14.3,14.3,13.87,14.2,67741.0,SOL,as51
473073,2010-05-04,14.2,14.2,13.97,13.98,22250.0,SOL,as51
473074,2010-05-05,13.94,13.94,13.34,13.8,68456.0,SOL,as51
473075,2010-05-06,13.82,13.91,13.56,13.69,31180.0,SOL,as51
473076,2010-05-07,13.48,13.68,13.28,13.63,62271.0,SOL,as51
473077,2010-05-10,13.63,13.96,13.63,13.96,60115.0,SOL,as51
473078,2010-05-11,14.0,14.42,13.77,13.9,31456.0,SOL,as51
473079,2010-05-12,13.93,14.25,13.9,13.98,24466.0,SOL,as51
473080,2010-05-13,13.98,14.21,13.98,14.2,9098.0,SOL,as51
473081,2010-05-14,14.13,14.31,14.12,14.2,19103.0,SOL,as51
473082,2010-05-17,14.18,14.18,13.52,14.0,124359.0,SOL,as51
473083,2010-05-18,14.11,14.11,13.48,13.54,162466.0,SOL,as51
473084,2010-05-19,13.49,13.49,13.06,13.25,194179.0,SOL,as51
473085,2010-05-20,13.25,13.25,13.04,13.11,52165.0,SOL,as51
473086,2010-05-21,12.85,12.96,12.17,12.8,132195.0,SOL,as51
473087,2010-05-24,12.81,13.05,12.81,13.05,18764.0,SOL,as51
473088,2010-05-25,12.92,12.95,12.6,12.6,34315.0,SOL,as51
473089,2010-05-26,12.64,12.73,12.54,12.54,34894.0,SOL,as51
473090,2010-05-27,12.5,12.52,12.38,12.43,57514.0,SOL,as51
473091,2010-05-28,12.58,13.0,12.57,12.94,8725.0,SOL,as51
473092,2010-05-31,12.9,12.95,12.66,12.95,11234.0,SOL,as51
473093,2010-06-01,12.86,12.88,12.55,12.78,61829.0,SOL,as51
473094,2010-06-02,12.68,12.78,12.55,12.78,9561.0,SOL,as51
473095,2010-06-03,12.7,13.21,12.7,13.2,20934.0,SOL,as51
473096,2010-06-04,13.1,13.2,12.85,13.15,22052.0,SOL,as51
473097,2010-06-07,12.96,13.0,12.66,13.0,48217.0,SOL,as51
473098,2010-06-08,12.91,13.01,12.58,13.0,21681.0,SOL,as51
473099,2010-06-09,12.96,12.96,12.75,12.76,4789.0,SOL,as51
473100,2010-06-10,12.74,12.93,12.57,12.57,25055.0,SOL,as51
473101,2010-06-11,12.57,12.99,12.57,12.84,5477.0,SOL,as51
473102,2010-06-14,12.57,12.99,12.57,12.84,5477.0,SOL,as51
473103,2010-06-15,12.82,12.95,12.73,12.75,39818.0,SOL,as51
473104,2010-06-16,12.78,13.1,12.78,12.84,21817.0,SOL,as51
473105,2010-06-17,12.8,13.0,12.77,12.97,33986.0,SOL,as51
473106,2010-06-18,12.9,13.53,12.79,13.3,31699.0,SOL,as51
473107,2010-06-21,13.59,13.59,13.19,13.3,12567.0,SOL,as51
473108,2010-06-22,13.28,13.45,13.22,13.45,9933.0,SOL,as51
473109,2010-06-23,13.44,13.45,13.3,13.39,8850.0,SOL,as51
473110,2010-06-24,13.43,13.6,13.28,13.37,16631.0,SOL,as51
473111,2010-06-25,13.2,13.4,13.1,13.15,132400.0,SOL,as51
473112,2010-06-28,13.0,13.26,12.9,13.26,40078.0,SOL,as51
473113,2010-06-29,13.18,13.25,13.05,13.06,25974.0,SOL,as51
473114,2010-06-30,12.89,12.97,12.67,12.95,45939.0,SOL,as51
473115,2010-07-01,12.9,12.95,12.8,12.92,88358.0,SOL,as51
473116,2010-07-02,12.9,12.9,12.8,12.83,10951.0,SOL,as51
473117,2010-07-05,12.65,13.05,12.65,12.92,27578.0,SOL,as51
473118,2010-07-06,12.9,13.4,12.9,13.06,22144.0,SOL,as51
473119,2010-07-07,13.01,13.01,12.81,12.81,9322.0,SOL,as51
473120,2010-07-08,13.0,13.1,12.9,12.9,4674.0,SOL,as51
473121,2010-07-09,13.05,13.09,13.03,13.06,8391.0,SOL,as51
473122,2010-07-12,13.08,13.4,13.08,13.21,32946.0,SOL,as51
473123,2010-07-13,13.2,13.22,13.08,13.2,410136.0,SOL,as51
473124,2010-07-14,13.2,13.22,13.1,13.13,14956.0,SOL,as51
473125,2010-07-15,13.15,13.29,13.03,13.2,28224.0,SOL,as51
473126,2010-07-16,13.2,13.2,13.1,13.14,13081.0,SOL,as51
473127,2010-07-19,13.1,13.11,12.91,12.92,8873.0,SOL,as51
473128,2010-07-20,12.9,13.1,12.75,13.1,191595.0,SOL,as51
473129,2010-07-21,13.2,13.21,13.02,13.11,206948.0,SOL,as51
473130,2010-07-22,13.12,13.12,12.89,12.92,5687.0,SOL,as51
473131,2010-07-23,12.95,13.22,12.85,13.0,29056.0,SOL,as51
473132,2010-07-26,13.12,13.23,12.98,12.98,9605.0,SOL,as51
473133,2010-07-27,12.97,13.39,12.97,13.35,18635.0,SOL,as51
473134,2010-07-28,13.33,13.33,13.18,13.25,9670.0,SOL,as51
473135,2010-07-29,13.25,13.27,13.05,13.08,6927.0,SOL,as51
473136,2010-07-30,13.05,13.25,13.02,13.02,16974.0,SOL,as51
473137,2010-08-02,13.1,13.2,12.99,13.11,15362.0,SOL,as51
473138,2010-08-03,13.25,13.3,13.17,13.17,23625.0,SOL,as51
473139,2010-08-04,13.2,13.44,13.09,13.25,21079.0,SOL,as51
473140,2010-08-05,13.5,13.5,13.27,13.32,9937.0,SOL,as51
473141,2010-08-06,13.28,13.29,13.09,13.28,9934.0,SOL,as51
473142,2010-08-09,13.3,13.35,13.23,13.23,17693.0,SOL,as51
473143,2010-08-10,13.3,13.3,12.9,12.9,65060.0,SOL,as51
473144,2010-08-11,12.9,13.05,12.75,12.8,144311.0,SOL,as51
473145,2010-08-12,12.65,12.74,12.55,12.7,15214.0,SOL,as51
473146,2010-08-13,12.6,12.7,12.49,12.7,87895.0,SOL,as51
473147,2010-08-16,12.7,12.8,12.64,12.71,139971.0,SOL,as51
473148,2010-08-17,12.7,12.8,12.7,12.78,7137.0,SOL,as51
473149,2010-08-18,12.79,12.85,12.55,12.55,27532.0,SOL,as51
473150,2010-08-19,12.58,12.58,12.49,12.49,29195.0,SOL,as51
473151,2010-08-20,12.35,12.41,12.1,12.17,3180780.0,SOL,as51
473152,2010-08-23,12.25,12.27,12.16,12.22,73394.0,SOL,as51
473153,2010-08-24,12.2,12.21,12.11,12.11,996660.0,SOL,as51
473154,2010-08-25,12.12,12.13,11.78,11.8,94372.0,SOL,as51
473155,2010-08-26,11.88,11.98,11.81,11.98,14777.0,SOL,as51
473156,2010-08-27,11.98,12.05,11.81,11.84,28317.0,SOL,as51
473157,2010-08-30,11.88,12.11,11.88,12.01,13447.0,SOL,as51
473158,2010-08-31,12.0,12.1,11.92,12.0,56269.0,SOL,as51
473159,2010-09-01,11.98,12.15,11.98,12.02,42516.0,SOL,as51
473160,2010-09-02,12.17,12.37,12.17,12.31,19595.0,SOL,as51
473161,2010-09-03,12.29,12.32,12.17,12.21,18787.0,SOL,as51
473162,2010-09-06,12.21,12.39,12.21,12.26,15382.0,SOL,as51
473163,2010-09-07,12.26,12.96,12.26,12.57,30205.0,SOL,as51
473164,2010-09-08,12.5,12.76,12.35,12.67,16625.0,SOL,as51
473165,2010-09-09,12.61,12.9,12.56,12.79,29453.0,SOL,as51
473166,2010-09-10,12.76,12.88,12.73,12.84,13809.0,SOL,as51
473167,2010-09-13,12.82,13.08,12.82,13.08,27284.0,SOL,as51
473168,2010-09-14,13.13,13.48,13.13,13.39,35821.0,SOL,as51
473169,2010-09-15,13.49,13.49,13.34,13.38,48574.0,SOL,as51
473170,2010-09-16,13.35,13.42,13.17,13.23,70590.0,SOL,as51
