,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
491622,2010-01-01,6.9,6.98,6.86,6.91,83947.0,SVW,as51
491623,2010-01-04,6.94,7.09,6.89,6.9,117253.0,SVW,as51
491624,2010-01-05,7.0,7.0,6.82,6.83,203145.0,SVW,as51
491625,2010-01-06,6.83,6.88,6.77,6.84,119150.0,SVW,as51
491626,2010-01-07,6.82,6.88,6.72,6.72,190380.0,SVW,as51
491627,2010-01-08,6.73,6.81,6.68,6.75,163662.0,SVW,as51
491628,2010-01-11,6.81,6.82,6.73,6.8,96469.0,SVW,as51
491629,2010-01-12,6.8,6.83,6.65,6.66,194427.0,SVW,as51
491630,2010-01-13,6.68,6.72,6.55,6.68,383943.0,SVW,as51
491631,2010-01-14,6.67,6.68,6.55,6.55,360415.0,SVW,as51
491632,2010-01-15,6.56,6.66,6.53,6.64,376572.0,SVW,as51
491633,2010-01-18,6.57,6.65,6.53,6.58,226495.0,SVW,as51
491634,2010-01-19,6.56,6.61,6.51,6.55,200493.0,SVW,as51
491635,2010-01-20,6.57,6.9,6.57,6.87,358763.0,SVW,as51
491636,2010-01-21,6.85,6.9,6.62,6.71,315014.0,SVW,as51
491637,2010-01-22,6.55,6.71,6.51,6.65,192295.0,SVW,as51
491638,2010-01-25,6.6,6.65,6.55,6.6,203843.0,SVW,as51
491639,2010-01-26,6.6,6.65,6.55,6.6,203843.0,SVW,as51
491640,2010-01-27,6.52,6.65,6.51,6.6,250550.0,SVW,as51
491641,2010-01-28,6.58,6.71,6.5,6.71,315781.0,SVW,as51
491642,2010-01-29,6.58,6.73,6.57,6.69,417362.0,SVW,as51
491643,2010-02-01,6.62,6.67,6.54,6.65,182128.0,SVW,as51
491644,2010-02-02,6.63,6.77,6.58,6.7,138255.0,SVW,as51
491645,2010-02-03,6.63,6.77,6.63,6.71,159895.0,SVW,as51
491646,2010-02-04,6.64,6.82,6.61,6.75,328015.0,SVW,as51
491647,2010-02-05,6.69,6.72,6.59,6.72,237344.0,SVW,as51
491648,2010-02-08,6.81,6.95,6.72,6.88,268955.0,SVW,as51
491649,2010-02-09,6.77,6.91,6.65,6.8,545800.0,SVW,as51
491650,2010-02-10,6.9,6.97,6.81,6.97,499865.0,SVW,as51
491651,2010-02-11,6.95,7.24,6.87,7.2,525063.0,SVW,as51
491652,2010-02-12,7.2,7.29,7.13,7.27,382221.0,SVW,as51
491653,2010-02-15,7.25,7.25,7.13,7.15,275594.0,SVW,as51
491654,2010-02-16,7.2,7.2,7.07,7.07,209042.0,SVW,as51
491655,2010-02-17,7.12,7.2,7.1,7.15,294276.0,SVW,as51
491656,2010-02-18,7.18,7.26,7.16,7.25,360759.0,SVW,as51
491657,2010-02-19,7.25,7.47,7.2,7.36,505363.0,SVW,as51
491658,2010-02-22,7.4,7.47,6.8,6.98,1781240.0,SVW,as51
491659,2010-02-23,6.95,7.24,6.95,7.15,1664280.0,SVW,as51
491660,2010-02-24,7.15,7.24,7.1,7.1,1184400.0,SVW,as51
491661,2010-02-25,7.15,7.35,7.13,7.19,1073520.0,SVW,as51
491662,2010-02-26,7.18,7.37,7.15,7.34,329007.0,SVW,as51
491663,2010-03-01,7.4,7.72,7.4,7.54,501506.0,SVW,as51
491664,2010-03-02,7.6,7.68,7.46,7.54,344090.0,SVW,as51
491665,2010-03-03,7.5,7.84,7.5,7.84,658243.0,SVW,as51
491666,2010-03-04,7.8,7.83,7.7,7.78,406991.0,SVW,as51
491667,2010-03-05,7.78,7.79,7.71,7.76,209218.0,SVW,as51
491668,2010-03-08,7.8,8.04,7.79,8.02,373724.0,SVW,as51
