,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
497834,2010-01-01,2.969,2.9775,2.9394,2.9394,1069610.0,TAH,as51
497835,2010-01-04,2.9394,2.9775,2.9394,2.9648,892143.0,TAH,as51
497836,2010-01-05,2.9944,3.0197,2.9859,3.0028,3417710.0,TAH,as51
497837,2010-01-06,3.0113,3.0113,2.9817,2.9944,2900640.0,TAH,as51
497838,2010-01-07,3.0071,3.0071,2.9901,2.9944,2652880.0,TAH,as51
497839,2010-01-08,3.0113,3.0155,2.9944,2.9986,1604590.0,TAH,as51
497840,2010-01-11,3.0113,3.0197,2.9986,3.0197,3779440.0,TAH,as51
497841,2010-01-12,3.0028,3.0113,2.969,2.9901,2197360.0,TAH,as51
497842,2010-01-13,2.9775,3.0028,2.9563,3.0028,1967000.0,TAH,as51
497843,2010-01-14,3.0071,3.0155,2.9859,2.9859,1151830.0,TAH,as51
497844,2010-01-15,2.9944,3.0282,2.9817,3.0282,1907120.0,TAH,as51
497845,2010-01-18,3.0409,3.0705,3.0071,3.0493,2969440.0,TAH,as51
497846,2010-01-19,3.0663,3.079,3.0409,3.0493,2649470.0,TAH,as51
497847,2010-01-20,3.0451,3.0663,3.0409,3.0409,2478930.0,TAH,as51
497848,2010-01-21,3.0451,3.062,3.0324,3.0451,2089650.0,TAH,as51
497849,2010-01-22,3.0113,3.0663,3.0113,3.0663,3025710.0,TAH,as51
497850,2010-01-25,3.024,3.0493,3.0071,3.0493,2957730.0,TAH,as51
497851,2010-01-26,3.024,3.0493,3.0071,3.0493,2957730.0,TAH,as51
497852,2010-01-27,3.024,3.0409,2.9944,3.0197,2221710.0,TAH,as51
497853,2010-01-28,3.0071,3.0578,2.9901,3.0578,3124820.0,TAH,as51
497854,2010-01-29,3.0197,3.062,2.9732,2.9732,2048240.0,TAH,as51
497855,2010-02-01,2.9732,3.0028,2.9352,2.9775,2552570.0,TAH,as51
