,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
500940,2010-01-01,5.3087,5.3182,5.2703,5.3087,837578.0,TCL,as51
500941,2010-01-04,5.2895,5.3087,5.2895,5.2991,827075.0,TCL,as51
500942,2010-01-05,5.347,5.4045,5.2895,5.4045,2226740.0,TCL,as51
500943,2010-01-06,5.3661,5.3661,5.2703,5.2991,2632610.0,TCL,as51
500944,2010-01-07,5.3087,5.3182,5.2895,5.3182,2311470.0,TCL,as51
500945,2010-01-08,5.3182,5.3182,5.2991,5.3182,2595680.0,TCL,as51
500946,2010-01-11,5.2991,5.3182,5.2895,5.3087,1355660.0,TCL,as51
500947,2010-01-12,5.2991,5.3087,5.2703,5.2799,4287520.0,TCL,as51
500948,2010-01-13,5.2703,5.2991,5.2703,5.2703,3659000.0,TCL,as51
500949,2010-01-14,5.2895,5.3182,5.2895,5.2991,1985880.0,TCL,as51
500950,2010-01-15,5.3087,5.3087,5.2895,5.3087,2710030.0,TCL,as51
500951,2010-01-18,5.2895,5.3566,5.2895,5.3087,2990290.0,TCL,as51
500952,2010-01-19,5.3182,5.3374,5.2991,5.2991,4170440.0,TCL,as51
500953,2010-01-20,5.3182,5.3374,5.3087,5.3182,2472420.0,TCL,as51
500954,2010-01-21,5.3374,5.347,5.3087,5.3278,5509350.0,TCL,as51
500955,2010-01-22,5.2607,5.3087,5.2416,5.2991,3587040.0,TCL,as51
500956,2010-01-25,5.2703,5.2703,5.1937,5.2416,2219180.0,TCL,as51
500957,2010-01-26,5.2703,5.2703,5.1937,5.2416,2219180.0,TCL,as51
500958,2010-01-27,5.2224,5.2703,5.2224,5.2416,4583280.0,TCL,as51
500959,2010-01-28,5.2224,5.2607,5.0691,5.1362,5620260.0,TCL,as51
500960,2010-01-29,5.0116,5.0787,4.9445,5.0116,15378700.0,TCL,as51
500961,2010-02-01,5.0212,5.0595,4.9637,5.0308,7651620.0,TCL,as51
500962,2010-02-02,5.0499,5.0978,5.0499,5.0787,4291080.0,TCL,as51
500963,2010-02-03,5.0499,5.0883,5.0308,5.0308,2920730.0,TCL,as51
500964,2010-02-04,5.0403,5.0883,5.0308,5.0308,2208990.0,TCL,as51
500965,2010-02-05,5.0116,5.0595,4.9541,5.002,2329940.0,TCL,as51
500966,2010-02-08,5.0403,5.0499,4.9829,4.9829,2040150.0,TCL,as51
500967,2010-02-09,4.9349,5.0212,4.9349,4.9924,4339760.0,TCL,as51
500968,2010-02-10,5.002,5.0499,4.9349,4.9829,3079590.0,TCL,as51
500969,2010-02-11,4.9924,5.0787,4.9637,5.0308,2240190.0,TCL,as51
500970,2010-02-12,4.9541,4.9924,4.9445,4.9829,2155940.0,TCL,as51
500971,2010-02-15,4.9733,4.9829,4.9158,4.9637,1012740.0,TCL,as51
500972,2010-02-16,4.9158,4.9254,4.8104,4.8487,2801530.0,TCL,as51
500973,2010-02-17,4.8391,4.9062,4.6954,4.887,4798630.0,TCL,as51
500974,2010-02-18,4.9349,5.0978,4.8966,5.0499,6935430.0,TCL,as51
500975,2010-02-19,5.0691,5.1458,5.002,5.0499,4501180.0,TCL,as51
500976,2010-02-22,5.0787,5.1074,5.0403,5.0978,2968940.0,TCL,as51
500977,2010-02-23,5.0691,5.0787,5.0308,5.0787,1842510.0,TCL,as51
500978,2010-02-24,5.0787,5.0978,5.0403,5.0499,3026730.0,TCL,as51
500979,2010-02-25,5.0499,5.0499,5.0212,5.0308,3524490.0,TCL,as51
500980,2010-02-26,5.0403,5.0499,5.002,5.0212,4556810.0,TCL,as51
500981,2010-03-01,5.002,5.0308,4.9637,5.002,3453630.0,TCL,as51
500982,2010-03-02,5.0308,5.0499,4.9445,4.9829,2221300.0,TCL,as51
500983,2010-03-03,4.9829,5.0308,4.9541,5.002,2498880.0,TCL,as51
500984,2010-03-04,5.002,5.0499,4.9829,5.0212,1996880.0,TCL,as51
500985,2010-03-05,5.0308,5.0403,5.002,5.0403,2927800.0,TCL,as51
500986,2010-03-08,5.0691,5.0691,4.9733,5.0308,2488100.0,TCL,as51
500987,2010-03-09,5.002,5.0691,4.9924,5.0499,1756980.0,TCL,as51
500988,2010-03-10,5.0691,5.0787,5.0116,5.0308,3365720.0,TCL,as51
500989,2010-03-11,5.0308,5.0308,4.8966,4.9445,4353210.0,TCL,as51
500990,2010-03-12,5.002,5.0116,4.9541,4.9924,3808980.0,TCL,as51
500991,2010-03-15,4.9829,5.0116,4.9349,4.9445,2812930.0,TCL,as51
500992,2010-03-16,4.9637,4.9733,4.9349,4.9445,2434800.0,TCL,as51
500993,2010-03-17,4.9829,4.9924,4.9541,4.9829,3155030.0,TCL,as51
500994,2010-03-18,4.9829,5.0308,4.9637,5.002,4853620.0,TCL,as51
500995,2010-03-19,4.9924,5.0212,4.9254,4.9254,3782410.0,TCL,as51
