,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
510258,2010-01-01,0.82,0.825,0.82,0.825,5461.0,TNE,as51
510259,2010-01-04,0.825,0.825,0.8,0.8,18529.0,TNE,as51
510260,2010-01-05,0.81,0.81,0.81,0.81,3000.0,TNE,as51
510261,2010-01-06,0.82,0.82,0.8,0.81,93100.0,TNE,as51
510262,2010-01-07,0.82,0.82,0.81,0.81,21520.0,TNE,as51
510263,2010-01-08,0.815,0.815,0.795,0.795,38145.0,TNE,as51
510264,2010-01-11,0.8,0.82,0.8,0.82,88000.0,TNE,as51
510265,2010-01-12,0.815,0.82,0.81,0.81,1595560.0,TNE,as51
510266,2010-01-13,0.815,0.82,0.81,0.81,1595560.0,TNE,as51
510267,2010-01-14,0.81,0.82,0.81,0.815,504950.0,TNE,as51
510268,2010-01-15,0.81,0.81,0.805,0.805,2144200.0,TNE,as51
510269,2010-01-18,0.81,0.815,0.81,0.81,33101.0,TNE,as51
510270,2010-01-19,0.8,0.805,0.8,0.805,599271.0,TNE,as51
510271,2010-01-20,0.805,0.81,0.79,0.79,702388.0,TNE,as51
510272,2010-01-21,0.79,0.79,0.76,0.775,72700.0,TNE,as51
510273,2010-01-22,0.775,0.79,0.76,0.76,998061.0,TNE,as51
510274,2010-01-25,0.765,0.765,0.75,0.75,53000.0,TNE,as51
510275,2010-01-26,0.765,0.765,0.75,0.75,53000.0,TNE,as51
510276,2010-01-27,0.75,0.76,0.75,0.76,102000.0,TNE,as51
510277,2010-01-28,0.76,0.77,0.76,0.77,41980.0,TNE,as51
510278,2010-01-29,0.76,0.77,0.755,0.76,179552.0,TNE,as51
510279,2010-02-01,0.765,0.765,0.75,0.75,106425.0,TNE,as51
510280,2010-02-02,0.75,0.75,0.74,0.75,195837.0,TNE,as51
510281,2010-02-03,0.75,0.75,0.745,0.75,332499.0,TNE,as51
510282,2010-02-04,0.74,0.76,0.74,0.745,90967.0,TNE,as51
510283,2010-02-05,0.735,0.755,0.72,0.755,96089.0,TNE,as51
510284,2010-02-08,0.755,0.755,0.72,0.72,123988.0,TNE,as51
510285,2010-02-09,0.72,0.72,0.72,0.72,16300.0,TNE,as51
510286,2010-02-10,0.755,0.76,0.75,0.755,69256.0,TNE,as51
510287,2010-02-11,0.725,0.725,0.725,0.725,20991.0,TNE,as51
510288,2010-02-12,0.755,0.755,0.725,0.75,61448.0,TNE,as51
510289,2010-02-15,0.735,0.75,0.735,0.74,10640.0,TNE,as51
510290,2010-02-16,0.75,0.755,0.75,0.755,133401.0,TNE,as51
510291,2010-02-17,0.755,0.77,0.75,0.75,425323.0,TNE,as51
510292,2010-02-18,0.74,0.75,0.735,0.735,63510.0,TNE,as51
510293,2010-02-19,0.75,0.75,0.73,0.73,27600.0,TNE,as51
510294,2010-02-22,0.74,0.74,0.73,0.73,265531.0,TNE,as51
510295,2010-02-23,0.73,0.75,0.73,0.75,16943.0,TNE,as51
510296,2010-02-24,0.75,0.75,0.73,0.74,39901.0,TNE,as51
510297,2010-02-25,0.74,0.74,0.74,0.74,30856.0,TNE,as51
510298,2010-02-26,0.74,0.745,0.74,0.74,32074.0,TNE,as51
510299,2010-03-01,0.725,0.745,0.725,0.745,1342580.0,TNE,as51
510300,2010-03-02,0.74,0.74,0.71,0.73,127778.0,TNE,as51
510301,2010-03-03,0.72,0.75,0.72,0.75,163000.0,TNE,as51
510302,2010-03-04,0.73,0.73,0.73,0.73,5000.0,TNE,as51
510303,2010-03-05,0.73,0.73,0.72,0.73,19000.0,TNE,as51
510304,2010-03-08,0.73,0.75,0.715,0.735,80344.0,TNE,as51
510305,2010-03-09,0.74,0.77,0.74,0.77,3309500.0,TNE,as51
510306,2010-03-10,0.77,0.775,0.755,0.77,39737.0,TNE,as51
510307,2010-03-11,0.77,0.77,0.76,0.76,3050.0,TNE,as51
510308,2010-03-12,0.76,0.76,0.76,0.76,10350.0,TNE,as51
510309,2010-03-15,0.755,0.755,0.755,0.755,32566.0,TNE,as51
510310,2010-03-16,0.755,0.755,0.755,0.755,5057.0,TNE,as51
510311,2010-03-17,0.755,0.76,0.755,0.755,16212.0,TNE,as51
510312,2010-03-18,0.76,0.78,0.76,0.77,141858.0,TNE,as51
510313,2010-03-19,0.77,0.77,0.725,0.75,218645.0,TNE,as51
510314,2010-03-22,0.75,0.76,0.75,0.755,634530.0,TNE,as51
510315,2010-03-23,0.755,0.77,0.755,0.77,37900.0,TNE,as51
510316,2010-03-24,0.76,0.77,0.755,0.765,777536.0,TNE,as51
510317,2010-03-25,0.76,0.77,0.755,0.76,549447.0,TNE,as51
510318,2010-03-26,0.76,0.77,0.76,0.765,404558.0,TNE,as51
510319,2010-03-29,0.76,0.77,0.76,0.765,112541.0,TNE,as51
510320,2010-03-30,0.765,0.77,0.755,0.765,117332.0,TNE,as51
510321,2010-03-31,0.77,0.775,0.77,0.77,89855.0,TNE,as51
510322,2010-04-01,0.77,0.775,0.77,0.77,272717.0,TNE,as51
510323,2010-04-02,0.77,0.775,0.77,0.77,272717.0,TNE,as51
510324,2010-04-05,0.77,0.775,0.77,0.77,272717.0,TNE,as51
510325,2010-04-06,0.775,0.775,0.76,0.76,38528.0,TNE,as51
510326,2010-04-07,0.76,0.775,0.76,0.77,688539.0,TNE,as51
510327,2010-04-08,0.765,0.77,0.755,0.765,856436.0,TNE,as51
510328,2010-04-09,0.755,0.78,0.755,0.78,1957060.0,TNE,as51
510329,2010-04-12,0.77,0.775,0.765,0.77,89835.0,TNE,as51
510330,2010-04-13,0.77,0.775,0.76,0.765,869777.0,TNE,as51
510331,2010-04-14,0.78,0.81,0.78,0.81,211882.0,TNE,as51
510332,2010-04-15,0.805,0.82,0.805,0.81,156117.0,TNE,as51
510333,2010-04-16,0.81,0.81,0.81,0.81,81600.0,TNE,as51
510334,2010-04-19,0.81,0.825,0.81,0.81,162961.0,TNE,as51
510335,2010-04-20,0.815,0.83,0.81,0.83,85240.0,TNE,as51
510336,2010-04-21,0.84,0.875,0.84,0.86,412632.0,TNE,as51
