,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
516487,2021-10-01,3.88,3.88,3.75,3.79,2166500.0,TYR,as51
516488,2021-10-04,3.86,3.93,3.84,3.9,2197960.0,TYR,as51
516489,2021-10-05,3.84,3.86,3.72,3.73,2742520.0,TYR,as51
516490,2021-10-06,3.79,3.85,3.69,3.7,2922770.0,TYR,as51
516491,2021-10-07,3.76,3.77,3.71,3.76,2272770.0,TYR,as51
516492,2021-10-08,3.79,3.83,3.74,3.82,2045250.0,TYR,as51
516493,2021-10-11,3.79,3.93,3.77,3.87,2298690.0,TYR,as51
516494,2021-10-12,3.87,3.88,3.75,3.77,1942900.0,TYR,as51
516495,2021-10-13,3.8,3.83,3.74,3.81,1409970.0,TYR,as51
516496,2021-10-14,3.85,3.9,3.77,3.88,3112120.0,TYR,as51
516497,2021-10-15,3.92,4.01,3.91,3.97,2498700.0,TYR,as51
516498,2021-10-18,4.05,4.1,3.97,4.09,2547240.0,TYR,as51
516499,2021-10-19,4.07,4.12,4.0,4.04,3156450.0,TYR,as51
516500,2021-10-20,4.08,4.125,3.86,3.92,3714460.0,TYR,as51
516501,2021-10-21,3.91,3.92,3.8,3.91,3152400.0,TYR,as51
516502,2021-10-22,3.93,4.03,3.88,3.9,2729860.0,TYR,as51
516503,2021-10-25,3.91,4.05,3.82,4.03,3967350.0,TYR,as51
516504,2021-10-26,4.04,4.09,4.0,4.06,1215780.0,TYR,as51
516505,2021-10-27,4.06,4.08,3.99,4.08,1341640.0,TYR,as51
516506,2021-10-28,4.05,4.08,4.0,4.07,745587.0,TYR,as51
516507,2021-10-29,4.08,4.09,4.02,4.04,1247210.0,TYR,as51
516508,2021-11-01,4.1,4.19,4.07,4.12,1858110.0,TYR,as51
516509,2021-11-02,4.13,4.19,4.0,4.06,1176990.0,TYR,as51
516510,2021-11-03,4.08,4.09,3.17,3.45,8809280.0,TYR,as51
516511,2021-11-04,3.71,3.71,3.25,3.3,23877200.0,TYR,as51
516512,2021-11-05,3.33,3.43,3.25,3.28,8704080.0,TYR,as51
516513,2021-11-08,3.32,3.32,3.17,3.18,6617210.0,TYR,as51
516514,2021-11-09,3.22,3.38,3.21,3.34,4265000.0,TYR,as51
516515,2021-11-10,3.33,3.39,3.28,3.33,4889620.0,TYR,as51
516516,2021-11-11,3.33,3.36,3.23,3.25,3188980.0,TYR,as51
516517,2021-11-12,3.3,3.3,3.23,3.27,1952720.0,TYR,as51
516518,2021-11-15,3.3,3.32,3.205,3.21,2409630.0,TYR,as51
516519,2021-11-16,3.2,3.22,3.08,3.11,3138200.0,TYR,as51
516520,2021-11-17,3.08,3.15,3.035,3.07,4165830.0,TYR,as51
516521,2021-11-18,3.06,3.1,3.01,3.07,3442010.0,TYR,as51
516522,2021-11-19,3.07,3.18,3.02,3.18,10473800.0,TYR,as51
516523,2021-11-22,3.19,3.19,3.05,3.05,3373490.0,TYR,as51
516524,2021-11-23,3.0,3.04,2.925,3.0,3203260.0,TYR,as51
516525,2021-11-24,3.0,3.05,2.98,3.02,3220100.0,TYR,as51
516526,2021-11-25,3.03,3.03,2.98,3.03,2369780.0,TYR,as51
516527,2021-11-26,3.08,3.08,2.93,2.93,2453830.0,TYR,as51
