,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
516528,2020-03-24,3.6,4.14,3.6,4.1,378154.0,UMG,as51
516529,2020-03-25,4.01,4.5,3.78,4.1,1850970.0,UMG,as51
516530,2020-03-26,4.15,4.3,4.0,4.13,1018190.0,UMG,as51
516531,2020-03-27,4.1,4.16,3.91,4.1,2564090.0,UMG,as51
516532,2020-03-30,4.05,4.72,3.97,4.72,2117520.0,UMG,as51
516533,2020-03-31,4.99,4.99,4.34,4.4,1300010.0,UMG,as51
516534,2020-04-01,4.35,4.62,4.13,4.53,1064280.0,UMG,as51
516535,2020-04-02,4.45,4.8,4.1,4.75,641721.0,UMG,as51
516536,2020-04-03,4.68,4.9,4.56,4.68,801590.0,UMG,as51
516537,2020-04-06,4.7,4.89,4.63,4.87,1299210.0,UMG,as51
516538,2020-04-07,4.9,5.11,4.71,4.82,920494.0,UMG,as51
516539,2020-04-08,4.73,5.24,4.73,5.1,923222.0,UMG,as51
516540,2020-04-09,5.06,5.14,4.77,4.88,1050300.0,UMG,as51
516541,2020-04-10,5.06,5.14,4.77,4.88,1050300.0,UMG,as51
516542,2020-04-13,5.06,5.14,4.77,4.88,1050300.0,UMG,as51
516543,2020-04-14,4.88,4.895,4.82,4.82,561575.0,UMG,as51
516544,2020-04-15,4.78,4.82,4.59,4.68,671818.0,UMG,as51
516545,2020-04-16,4.66,4.88,4.62,4.86,1490200.0,UMG,as51
516546,2020-04-17,4.9,5.1,4.87,4.87,908774.0,UMG,as51
516547,2020-04-20,4.89,4.91,4.72,4.72,563939.0,UMG,as51
516548,2020-04-21,4.63,4.81,4.62,4.62,608429.0,UMG,as51
516549,2020-04-22,4.54,4.6,4.43,4.53,749808.0,UMG,as51
516550,2020-04-23,4.65,4.65,4.42,4.47,435320.0,UMG,as51
516551,2020-04-24,4.45,4.47,4.36,4.36,709392.0,UMG,as51
516552,2020-04-27,4.3,4.41,4.29,4.32,1421530.0,UMG,as51
516553,2020-04-28,4.3,4.45,4.21,4.38,965974.0,UMG,as51
516554,2020-04-29,4.35,4.38,4.25,4.29,1398770.0,UMG,as51
516555,2020-04-30,4.22,4.33,4.22,4.26,1557930.0,UMG,as51
516556,2020-05-01,4.21,4.26,4.1,4.13,1118110.0,UMG,as51
516557,2020-05-04,4.0,4.115,3.87,4.06,1064760.0,UMG,as51
516558,2020-05-05,4.01,4.12,3.98,4.0,1049910.0,UMG,as51
516559,2020-05-06,3.93,4.05,3.87,4.02,338589.0,UMG,as51
516560,2020-05-07,3.97,4.1,3.94,4.1,668558.0,UMG,as51
516561,2020-05-08,4.2,4.36,4.2,4.32,1414500.0,UMG,as51
516562,2020-05-11,4.27,4.39,4.24,4.25,1718850.0,UMG,as51
516563,2020-05-12,4.3,4.38,4.095,4.21,786587.0,UMG,as51
516564,2020-05-13,4.02,4.29,4.02,4.29,1407830.0,UMG,as51
516565,2020-05-14,4.02,4.29,4.02,4.29,1407830.0,UMG,as51
516566,2020-05-15,3.93,4.13,3.91,4.1,7524190.0,UMG,as51
516567,2020-05-18,4.01,4.05,3.98,4.02,2027940.0,UMG,as51
516568,2020-05-19,4.07,4.1,4.02,4.06,2003100.0,UMG,as51
516569,2020-05-20,4.04,4.04,3.98,4.0,3300270.0,UMG,as51
516570,2020-05-21,4.05,4.26,3.995,4.25,4345150.0,UMG,as51
516571,2020-05-22,4.27,4.27,4.05,4.08,2125690.0,UMG,as51
516572,2020-05-25,4.17,4.18,4.03,4.18,1104440.0,UMG,as51
516573,2020-05-26,4.28,4.28,4.1,4.18,5115120.0,UMG,as51
516574,2020-05-27,4.04,4.13,4.01,4.11,1443310.0,UMG,as51
516575,2020-05-28,4.11,4.44,4.11,4.33,1645390.0,UMG,as51
516576,2020-05-29,4.26,4.48,4.25,4.48,2425160.0,UMG,as51
516577,2020-06-01,4.3,4.46,4.26,4.45,604537.0,UMG,as51
516578,2020-06-02,4.38,4.43,4.29,4.39,1056570.0,UMG,as51
516579,2020-06-03,4.39,4.39,4.29,4.34,741621.0,UMG,as51
516580,2020-06-04,4.34,4.42,4.29,4.4,1060290.0,UMG,as51
516581,2020-06-05,4.3,4.55,4.25,4.5,989488.0,UMG,as51
516582,2020-06-08,4.3,4.55,4.25,4.5,989488.0,UMG,as51
516583,2020-06-09,4.58,4.87,4.5,4.67,985593.0,UMG,as51
516584,2020-06-10,4.6,4.7,4.55,4.63,654656.0,UMG,as51
516585,2020-06-11,4.52,4.55,4.4,4.4,1100210.0,UMG,as51
516586,2020-06-12,4.25,4.31,4.17,4.24,1255360.0,UMG,as51
516587,2020-06-15,4.18,4.35,4.17,4.23,780780.0,UMG,as51
516588,2020-06-16,4.45,4.6,4.37,4.55,699415.0,UMG,as51
516589,2020-06-17,4.62,4.66,4.58,4.63,815008.0,UMG,as51
516590,2020-06-18,4.51,4.63,4.49,4.51,1202770.0,UMG,as51
516591,2020-06-19,4.62,4.65,4.44,4.49,1817160.0,UMG,as51
516592,2020-06-22,4.4,4.64,4.26,4.33,1106710.0,UMG,as51
516593,2020-06-23,4.31,4.43,4.22,4.32,972981.0,UMG,as51
516594,2020-06-24,4.42,4.53,4.41,4.46,967074.0,UMG,as51
516595,2020-06-25,4.38,4.46,4.09,4.13,707128.0,UMG,as51
516596,2020-06-26,4.17,4.31,4.11,4.13,1234550.0,UMG,as51
516597,2020-06-29,4.08,4.14,3.87,3.94,1752600.0,UMG,as51
516598,2020-06-30,4.05,4.2,4.03,4.11,1533540.0,UMG,as51
516599,2020-07-01,4.1,4.12,4.085,4.12,1520600.0,UMG,as51
516600,2020-07-02,4.07,4.2,4.07,4.14,6860310.0,UMG,as51
516601,2020-07-03,4.21,4.21,4.11,4.17,707713.0,UMG,as51
516602,2020-07-06,4.22,4.22,4.05,4.08,420919.0,UMG,as51
516603,2020-07-07,4.03,4.22,4.03,4.15,896136.0,UMG,as51
516604,2020-07-08,4.2,4.255,4.13,4.13,697477.0,UMG,as51
516605,2020-07-09,4.11,4.24,4.07,4.12,632862.0,UMG,as51
516606,2020-07-10,4.06,4.24,4.06,4.16,603950.0,UMG,as51
516607,2020-07-13,4.23,4.23,4.07,4.15,398080.0,UMG,as51
516608,2020-07-14,4.13,4.14,4.0,4.01,745339.0,UMG,as51
516609,2020-07-15,4.13,4.21,4.08,4.2,645184.0,UMG,as51
516610,2020-07-16,4.17,4.22,4.08,4.11,275239.0,UMG,as51
516611,2020-07-17,4.18,4.21,4.13,4.2,465036.0,UMG,as51
516612,2020-07-20,4.12,4.19,4.07,4.08,314881.0,UMG,as51
516613,2020-07-21,4.12,4.15,4.07,4.12,400948.0,UMG,as51
516614,2020-07-22,4.15,4.17,4.03,4.05,458439.0,UMG,as51
516615,2020-07-23,4.1,4.16,4.0,4.05,791858.0,UMG,as51
516616,2020-07-24,4.08,4.1,4.03,4.06,835147.0,UMG,as51
516617,2020-07-27,4.05,4.12,3.98,4.06,1063410.0,UMG,as51
516618,2020-07-28,4.08,4.13,4.03,4.04,868106.0,UMG,as51
516619,2020-07-29,4.1,4.11,4.02,4.08,823159.0,UMG,as51
516620,2020-07-30,4.09,4.14,4.055,4.1,668186.0,UMG,as51
