,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
516967,2018-05-31,14.65,14.87,14.65,14.71,202186.0,URW,as51
516968,2018-06-01,14.66,14.83,14.61,14.73,1980450.0,URW,as51
516969,2018-06-04,14.78,14.84,14.46,14.51,10533200.0,URW,as51
516970,2018-06-05,14.5,14.63,14.47,14.63,1218410.0,URW,as51
516971,2018-06-06,14.89,14.89,14.73,14.76,1056460.0,URW,as51
516972,2018-06-07,14.46,14.8,14.46,14.8,398929.0,URW,as51
516973,2018-06-08,14.6,14.8,14.59,14.78,2864210.0,URW,as51
516974,2018-06-11,14.6,14.8,14.59,14.78,2864210.0,URW,as51
516975,2018-06-12,14.52,14.59,14.51,14.54,5404830.0,URW,as51
516976,2018-06-13,14.4,14.48,14.4,14.44,2335110.0,URW,as51
516977,2018-06-14,14.61,14.72,14.485,14.64,5993980.0,URW,as51
516978,2018-06-15,14.73,14.99,14.73,14.81,5195070.0,URW,as51
516979,2018-06-18,15.03,15.17,14.94,14.96,4778900.0,URW,as51
516980,2018-06-19,14.82,14.945,14.79,14.87,6674810.0,URW,as51
516981,2018-06-20,14.83,14.9,14.82,14.87,5117630.0,URW,as51
516982,2018-06-21,14.92,15.06,14.9,14.94,4211370.0,URW,as51
516983,2018-06-22,14.77,14.94,14.75,14.76,1990750.0,URW,as51
516984,2018-06-25,14.81,14.86,14.76,14.84,1230280.0,URW,as51
516985,2018-06-26,14.85,14.96,14.82,14.82,910801.0,URW,as51
516986,2018-06-27,14.73,14.92,14.72,14.72,826363.0,URW,as51
516987,2018-06-28,14.67,14.75,14.67,14.74,807229.0,URW,as51
516988,2018-06-29,14.72,14.8,14.66,14.67,964926.0,URW,as51
516989,2018-07-02,14.89,14.96,14.75,14.75,843176.0,URW,as51
516990,2018-07-03,14.71,14.78,14.65,14.78,641326.0,URW,as51
516991,2018-07-04,14.71,14.75,14.64,14.69,449746.0,URW,as51
516992,2018-07-05,14.96,14.96,14.83,14.96,764560.0,URW,as51
516993,2018-07-06,14.98,15.15,14.85,15.04,809986.0,URW,as51
516994,2018-07-09,14.92,14.92,14.64,14.8,575325.0,URW,as51
516995,2018-07-10,14.75,14.8,14.73,14.76,1132690.0,URW,as51
516996,2018-07-11,14.87,14.89,14.82,14.88,821171.0,URW,as51
516997,2018-07-12,14.87,14.88,14.71,14.81,1036630.0,URW,as51
516998,2018-07-13,14.73,14.76,14.64,14.7,933130.0,URW,as51
516999,2018-07-16,14.73,14.73,14.62,14.71,1244380.0,URW,as51
517000,2018-07-17,14.7,14.72,14.61,14.68,1421180.0,URW,as51
517001,2018-07-18,14.68,14.69,14.6,14.67,1185890.0,URW,as51
517002,2018-07-19,14.7,14.79,14.66,14.72,903892.0,URW,as51
517003,2018-07-20,14.75,14.96,14.72,14.81,925540.0,URW,as51
517004,2018-07-23,14.71,14.72,14.67,14.72,734729.0,URW,as51
517005,2018-07-24,14.71,14.81,14.7,14.7,906230.0,URW,as51
517006,2018-07-25,14.68,14.69,14.6,14.66,1141160.0,URW,as51
517007,2018-07-26,14.7,14.9,14.63,14.79,1204120.0,URW,as51
517008,2018-07-27,14.9,15.0,14.82,14.83,824843.0,URW,as51
517009,2018-07-30,14.77,14.87,14.73,14.84,1790740.0,URW,as51
517010,2018-07-31,14.92,15.01,14.81,14.87,1380070.0,URW,as51
517011,2018-08-01,14.9,15.15,14.88,15.1,1757050.0,URW,as51
517012,2018-08-02,14.88,14.94,14.84,14.84,1681530.0,URW,as51
517013,2018-08-03,14.91,15.02,14.79,14.9,1028230.0,URW,as51
517014,2018-08-06,14.95,14.99,14.84,14.95,894372.0,URW,as51
517015,2018-08-07,14.9,14.95,14.81,14.84,1165940.0,URW,as51
517016,2018-08-08,14.77,14.87,14.75,14.79,1200070.0,URW,as51
517017,2018-08-09,14.79,14.83,14.75,14.78,832249.0,URW,as51
517018,2018-08-10,14.84,14.84,14.73,14.8,563781.0,URW,as51
517019,2018-08-13,14.68,14.68,14.51,14.59,1335980.0,URW,as51
517020,2018-08-14,14.63,14.69,14.57,14.62,1062450.0,URW,as51
517021,2018-08-15,14.55,14.55,14.44,14.53,1205860.0,URW,as51
517022,2018-08-16,14.45,14.45,14.4,14.43,1137540.0,URW,as51
517023,2018-08-17,14.51,14.59,14.5,14.55,588221.0,URW,as51
517024,2018-08-20,14.62,14.73,14.57,14.59,748706.0,URW,as51
517025,2018-08-21,14.57,14.61,14.5,14.52,465829.0,URW,as51
517026,2018-08-22,14.49,14.55,14.48,14.52,334247.0,URW,as51
517027,2018-08-23,14.57,14.68,14.56,14.66,789312.0,URW,as51
517028,2018-08-24,14.75,14.83,14.72,14.79,943028.0,URW,as51
517029,2018-08-27,14.71,14.77,14.65,14.71,1066840.0,URW,as51
517030,2018-08-28,14.77,14.91,14.76,14.81,845415.0,URW,as51
517031,2018-08-29,14.94,15.025,14.93,14.99,1959570.0,URW,as51
517032,2018-08-30,15.05,15.07,14.98,14.99,1660890.0,URW,as51
517033,2018-08-31,14.7,14.93,14.52,14.52,1015910.0,URW,as51
517034,2018-09-03,14.6,14.63,14.58,14.6,551752.0,URW,as51
517035,2018-09-04,14.35,14.41,14.25,14.36,1111960.0,URW,as51
517036,2018-09-05,14.13,14.22,14.09,14.2,6827250.0,URW,as51
517037,2018-09-06,14.12,14.18,14.09,14.12,936490.0,URW,as51
517038,2018-09-07,14.0,14.02,13.95,13.97,1399310.0,URW,as51
517039,2018-09-10,13.86,13.98,13.84,13.93,1024800.0,URW,as51
517040,2018-09-11,13.97,14.1,13.92,13.95,527849.0,URW,as51
517041,2018-09-12,13.89,14.02,13.88,13.95,643439.0,URW,as51
517042,2018-09-13,13.93,14.02,13.92,14.0,628783.0,URW,as51
517043,2018-09-14,14.09,14.155,14.09,14.15,598376.0,URW,as51
517044,2018-09-17,14.13,14.17,14.09,14.1,294296.0,URW,as51
517045,2018-09-18,14.14,14.28,14.13,14.25,676708.0,URW,as51
517046,2018-09-19,14.3,14.39,14.26,14.28,1748440.0,URW,as51
517047,2018-09-20,14.08,14.18,13.99,14.02,2977850.0,URW,as51
517048,2018-09-21,14.17,14.31,14.16,14.25,1393310.0,URW,as51
517049,2018-09-24,14.03,14.1,13.91,14.06,706654.0,URW,as51
517050,2018-09-25,14.09,14.2,14.05,14.17,1094480.0,URW,as51
517051,2018-09-26,14.17,14.17,14.08,14.12,443307.0,URW,as51
517052,2018-09-27,14.28,14.37,14.25,14.34,495538.0,URW,as51
517053,2018-09-28,14.35,14.38,14.12,14.12,1165270.0,URW,as51
517054,2018-10-01,14.01,14.03,13.93,13.97,281245.0,URW,as51
517055,2018-10-02,13.89,13.9,13.77,13.78,1054480.0,URW,as51
517056,2018-10-03,13.73,13.8,13.68,13.74,359443.0,URW,as51
517057,2018-10-04,13.72,13.78,13.68,13.68,641401.0,URW,as51
517058,2018-10-05,13.44,13.44,13.31,13.37,948956.0,URW,as51
517059,2018-10-08,13.32,13.38,13.22,13.22,382937.0,URW,as51
517060,2018-10-09,13.14,13.22,13.13,13.16,746566.0,URW,as51
517061,2018-10-10,13.28,13.34,13.25,13.29,768616.0,URW,as51
517062,2018-10-11,13.15,13.23,13.13,13.2,1355720.0,URW,as51
517063,2018-10-12,13.03,13.14,12.99,13.11,963778.0,URW,as51
517064,2018-10-15,12.8,12.8,12.66,12.75,743949.0,URW,as51
517065,2018-10-16,12.75,12.8,12.6,12.69,654021.0,URW,as51
517066,2018-10-17,12.78,12.84,12.74,12.79,663810.0,URW,as51
517067,2018-10-18,13.04,13.1,12.94,12.99,989363.0,URW,as51
517068,2018-10-19,12.97,13.02,12.92,12.99,554143.0,URW,as51
517069,2018-10-22,12.97,13.12,12.9,13.03,711062.0,URW,as51
517070,2018-10-23,12.9,13.03,12.84,12.85,359135.0,URW,as51
517071,2018-10-24,12.9,13.03,12.81,12.84,898208.0,URW,as51
517072,2018-10-25,12.65,12.79,12.59,12.7,628179.0,URW,as51
517073,2018-10-26,12.62,12.73,12.53,12.65,929577.0,URW,as51
517074,2018-10-29,12.58,12.73,12.58,12.66,742638.0,URW,as51
517075,2018-10-30,12.65,12.76,12.57,12.74,1408020.0,URW,as51
517076,2018-10-31,12.74,12.84,12.72,12.77,1094940.0,URW,as51
517077,2018-11-01,12.72,12.81,12.65,12.7,1777410.0,URW,as51
517078,2018-11-02,12.59,12.64,12.51,12.57,1029510.0,URW,as51
517079,2018-11-05,12.5,12.55,12.42,12.47,713007.0,URW,as51
517080,2018-11-06,12.44,12.54,12.41,12.52,284298.0,URW,as51
517081,2018-11-07,12.48,12.63,12.31,12.51,892661.0,URW,as51
517082,2018-11-08,12.47,12.56,12.46,12.52,930014.0,URW,as51
517083,2018-11-09,12.48,12.58,12.47,12.53,539138.0,URW,as51
517084,2018-11-12,12.62,12.78,12.57,12.71,643184.0,URW,as51
517085,2018-11-13,12.55,12.61,12.31,12.38,1215690.0,URW,as51
517086,2018-11-14,12.44,12.52,12.35,12.4,1318650.0,URW,as51
517087,2018-11-15,12.41,12.49,12.31,12.36,1302510.0,URW,as51
517088,2018-11-16,12.29,12.35,12.25,12.31,533786.0,URW,as51
517089,2018-11-19,12.22,12.27,12.11,12.17,740989.0,URW,as51
517090,2018-11-20,12.09,12.13,12.0,12.1,875818.0,URW,as51
517091,2018-11-21,12.04,12.1,11.99,12.05,723346.0,URW,as51
517092,2018-11-22,12.17,12.26,12.07,12.23,860324.0,URW,as51
517093,2018-11-23,12.3,12.36,12.2,12.3,730556.0,URW,as51
517094,2018-11-26,12.39,12.41,12.27,12.33,1136490.0,URW,as51
517095,2018-11-27,12.38,12.385,12.21,12.38,711820.0,URW,as51
517096,2018-11-28,12.44,12.45,12.34,12.38,632921.0,URW,as51
517097,2018-11-29,12.32,12.36,12.27,12.28,780620.0,URW,as51
517098,2018-11-30,12.11,12.14,11.87,11.87,2409210.0,URW,as51
517099,2018-12-03,11.79,11.9,11.73,11.76,668650.0,URW,as51
517100,2018-12-04,11.56,11.62,11.47,11.47,1238940.0,URW,as51
517101,2018-12-05,11.25,11.29,11.17,11.24,1728640.0,URW,as51
517102,2018-12-06,11.26,11.455,11.26,11.4,1662160.0,URW,as51
517103,2018-12-07,11.4,11.4,11.31,11.34,1283660.0,URW,as51
517104,2018-12-10,11.3,11.32,11.175,11.26,1102380.0,URW,as51
517105,2018-12-11,11.27,11.31,11.26,11.26,1680260.0,URW,as51
517106,2018-12-12,11.29,11.41,11.2,11.37,1303250.0,URW,as51
517107,2018-12-13,11.5,11.53,11.41,11.53,1241870.0,URW,as51
517108,2018-12-14,11.36,11.45,11.31,11.32,1539100.0,URW,as51
517109,2018-12-17,11.4,11.4,11.25,11.35,2180550.0,URW,as51
517110,2018-12-18,11.3,11.3,10.96,10.99,3953910.0,URW,as51
517111,2018-12-19,10.94,10.98,10.85,10.89,4739840.0,URW,as51
517112,2018-12-20,10.9,11.1,10.89,11.01,9145140.0,URW,as51
517113,2018-12-21,10.97,11.01,10.65,10.65,44532200.0,URW,as51
517114,2018-12-24,10.92,11.07,10.91,11.07,2636190.0,URW,as51
517115,2018-12-25,10.92,11.07,10.91,11.07,2636190.0,URW,as51
517116,2018-12-26,10.92,11.07,10.91,11.07,2636190.0,URW,as51
517117,2018-12-27,10.99,11.05,10.89,10.97,669322.0,URW,as51
517118,2018-12-28,10.93,10.98,10.8,10.93,926106.0,URW,as51
517119,2018-12-31,10.85,10.85,10.66,10.7,995547.0,URW,as51
517120,2019-01-01,10.85,10.85,10.66,10.7,995547.0,URW,as51
