,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
517879,2021-10-01,3.81,3.84,3.76,3.82,2907750.0,UWL,as51
517880,2021-10-04,3.87,3.94,3.8,3.83,2736940.0,UWL,as51
517881,2021-10-05,3.73,3.81,3.65,3.78,5072500.0,UWL,as51
517882,2021-10-06,3.83,3.87,3.7,3.71,2864860.0,UWL,as51
517883,2021-10-07,3.77,3.82,3.7,3.8,1816960.0,UWL,as51
517884,2021-10-08,3.85,3.88,3.76,3.82,1697460.0,UWL,as51
517885,2021-10-11,3.75,3.93,3.72,3.89,3019510.0,UWL,as51
517886,2021-10-12,3.86,3.93,3.8,3.86,2819180.0,UWL,as51
517887,2021-10-13,3.84,3.89,3.81,3.82,1586360.0,UWL,as51
517888,2021-10-14,3.84,3.93,3.82,3.91,3306840.0,UWL,as51
517889,2021-10-15,3.93,3.93,3.84,3.89,2420190.0,UWL,as51
517890,2021-10-18,3.91,3.96,3.87,3.92,2639080.0,UWL,as51
517891,2021-10-19,3.94,4.08,3.925,3.99,3664550.0,UWL,as51
517892,2021-10-20,4.02,4.08,3.99,4.03,2246060.0,UWL,as51
517893,2021-10-21,4.04,4.11,4.02,4.04,2083690.0,UWL,as51
517894,2021-10-22,4.02,4.11,4.02,4.05,1640200.0,UWL,as51
517895,2021-10-25,4.07,4.07,3.97,4.04,670630.0,UWL,as51
517896,2021-10-26,4.03,4.06,3.96,3.97,1730550.0,UWL,as51
517897,2021-10-27,3.97,4.22,3.97,4.2,3458110.0,UWL,as51
517898,2021-10-28,4.12,4.13,4.06,4.11,1774100.0,UWL,as51
517899,2021-10-29,4.07,4.12,4.04,4.07,1209720.0,UWL,as51
517900,2021-11-01,4.16,4.18,4.12,4.13,962044.0,UWL,as51
517901,2021-11-02,4.15,4.19,4.13,4.18,923227.0,UWL,as51
517902,2021-11-03,4.17,4.18,4.01,4.03,1804960.0,UWL,as51
517903,2021-11-04,4.07,4.18,4.01,4.15,1775440.0,UWL,as51
517904,2021-11-05,4.16,4.2,4.04,4.08,1082380.0,UWL,as51
517905,2021-11-08,4.1,4.14,3.95,3.97,1321630.0,UWL,as51
517906,2021-11-09,3.98,3.99,3.88,3.9,2194150.0,UWL,as51
517907,2021-11-10,3.89,3.89,3.75,3.85,3319290.0,UWL,as51
517908,2021-11-11,3.9,3.93,3.815,3.88,1719900.0,UWL,as51
517909,2021-11-12,3.89,4.05,3.88,4.04,3096140.0,UWL,as51
517910,2021-11-15,4.02,4.03,3.92,3.94,1315560.0,UWL,as51
517911,2021-11-16,3.9,3.91,3.83,3.86,1161820.0,UWL,as51
517912,2021-11-17,4.0,4.26,3.99,4.18,5847340.0,UWL,as51
517913,2021-11-18,4.21,4.23,4.13,4.15,2060800.0,UWL,as51
517914,2021-11-19,4.14,4.21,4.08,4.19,1687200.0,UWL,as51
517915,2021-11-22,4.18,4.18,4.08,4.08,810231.0,UWL,as51
517916,2021-11-23,4.07,4.08,3.9,4.02,1291550.0,UWL,as51
517917,2021-11-24,3.93,4.07,3.9,4.06,942525.0,UWL,as51
517918,2021-11-25,4.08,4.12,4.03,4.09,4067920.0,UWL,as51
517919,2021-11-26,4.09,4.13,4.05,4.07,2360350.0,UWL,as51
