,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
538949,2010-01-01,5.0,5.23,4.97,5.23,645900.0,WHC,as51
538950,2010-01-04,5.3,5.44,5.15,5.2,1835130.0,WHC,as51
538951,2010-01-05,5.25,5.33,5.23,5.29,750782.0,WHC,as51
538952,2010-01-06,5.38,5.49,5.32,5.44,1185350.0,WHC,as51
538953,2010-01-07,5.45,5.46,5.26,5.34,1449830.0,WHC,as51
538954,2010-01-08,5.36,5.38,5.33,5.37,1345640.0,WHC,as51
538955,2010-01-11,5.4,5.44,5.38,5.44,571342.0,WHC,as51
538956,2010-01-12,5.45,5.54,5.43,5.46,884487.0,WHC,as51
538957,2010-01-13,5.41,5.41,5.17,5.23,1021080.0,WHC,as51
538958,2010-01-14,5.3,5.35,5.27,5.34,1255420.0,WHC,as51
538959,2010-01-15,5.36,5.4,5.29,5.34,470599.0,WHC,as51
538960,2010-01-18,5.33,5.33,5.29,5.32,956711.0,WHC,as51
538961,2010-01-19,5.26,5.28,5.03,5.08,1103640.0,WHC,as51
538962,2010-01-20,5.1,5.19,5.1,5.13,749529.0,WHC,as51
538963,2010-01-21,5.13,5.2,4.88,4.91,1265990.0,WHC,as51
538964,2010-01-22,4.75,4.83,4.61,4.7,1484800.0,WHC,as51
538965,2010-01-25,4.56,4.99,4.56,4.94,931401.0,WHC,as51
538966,2010-01-26,4.56,4.99,4.56,4.94,931401.0,WHC,as51
538967,2010-01-27,4.9,4.9,4.68,4.78,1188330.0,WHC,as51
538968,2010-01-28,4.8,4.83,4.61,4.7,1065880.0,WHC,as51
538969,2010-01-29,4.65,4.72,4.3,4.43,2423150.0,WHC,as51
538970,2010-02-01,4.29,4.48,4.26,4.31,1233400.0,WHC,as51
538971,2010-02-02,4.52,4.6,4.48,4.5,997876.0,WHC,as51
538972,2010-02-03,4.65,4.68,4.61,4.65,1197200.0,WHC,as51
538973,2010-02-04,4.61,4.8,4.54,4.76,851057.0,WHC,as51
538974,2010-02-05,4.48,4.58,4.31,4.58,1528310.0,WHC,as51
