,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
551373,2016-08-03,2.5,2.56,2.46,2.56,45691800.0,WPR,as51
551374,2016-08-04,2.59,2.62,2.58,2.6,30925100.0,WPR,as51
551375,2016-08-05,2.59,2.6,2.52,2.54,12295100.0,WPR,as51
551376,2016-08-08,2.57,2.58,2.54,2.58,5008570.0,WPR,as51
551377,2016-08-09,2.55,2.62,2.54,2.57,1762040.0,WPR,as51
551378,2016-08-10,2.54,2.63,2.51,2.51,2897080.0,WPR,as51
551379,2016-08-11,2.5,2.5,2.47,2.49,3290260.0,WPR,as51
551380,2016-08-12,2.5,2.55,2.5,2.52,5522570.0,WPR,as51
551381,2016-08-15,2.52,2.59,2.52,2.57,2486560.0,WPR,as51
551382,2016-08-16,2.59,2.6,2.57,2.59,2549000.0,WPR,as51
551383,2016-08-17,2.59,2.59,2.53,2.56,3302340.0,WPR,as51
551384,2016-08-18,2.57,2.58,2.56,2.57,1503350.0,WPR,as51
551385,2016-08-19,2.56,2.58,2.56,2.57,2407210.0,WPR,as51
551386,2016-08-22,2.58,2.58,2.54,2.54,1845460.0,WPR,as51
551387,2016-08-23,2.54,2.55,2.515,2.53,1707960.0,WPR,as51
551388,2016-08-24,2.53,2.58,2.53,2.58,708816.0,WPR,as51
551389,2016-08-25,2.57,2.58,2.55,2.55,617037.0,WPR,as51
551390,2016-08-26,2.55,2.56,2.52,2.53,928016.0,WPR,as51
551391,2016-08-29,2.54,2.56,2.51,2.52,1697530.0,WPR,as51
551392,2016-08-30,2.53,2.54,2.49,2.52,1042490.0,WPR,as51
551393,2016-08-31,2.5,2.54,2.49,2.54,642751.0,WPR,as51
551394,2016-09-01,2.51,2.53,2.5,2.53,360995.0,WPR,as51
551395,2016-09-02,2.5,2.54,2.5,2.53,637305.0,WPR,as51
551396,2016-09-05,2.54,2.55,2.52,2.54,465125.0,WPR,as51
551397,2016-09-06,2.54,2.55,2.525,2.53,484831.0,WPR,as51
551398,2016-09-07,2.53,2.55,2.49,2.5,1660320.0,WPR,as51
551399,2016-09-08,2.5,2.51,2.49,2.5,923118.0,WPR,as51
551400,2016-09-09,2.48,2.5,2.45,2.45,1187000.0,WPR,as51
551401,2016-09-12,2.44,2.44,2.32,2.36,1666210.0,WPR,as51
551402,2016-09-13,2.39,2.45,2.38,2.43,841850.0,WPR,as51
551403,2016-09-14,2.42,2.43,2.4,2.43,1034830.0,WPR,as51
551404,2016-09-15,2.42,2.42,2.37,2.39,979641.0,WPR,as51
551405,2016-09-16,2.41,2.43,2.36,2.37,1429100.0,WPR,as51
551406,2016-09-19,2.4,2.41,2.37,2.37,33702.0,WPR,as51
551407,2016-09-20,2.4,2.4,2.32,2.34,900770.0,WPR,as51
551408,2016-09-21,2.34,2.36,2.34,2.35,473509.0,WPR,as51
551409,2016-09-22,2.36,2.43,2.36,2.4,1195700.0,WPR,as51
551410,2016-09-23,2.4,2.44,2.4,2.42,401574.0,WPR,as51
551411,2016-09-26,2.41,2.465,2.4,2.46,971402.0,WPR,as51
551412,2016-09-27,2.45,2.49,2.45,2.48,794663.0,WPR,as51
