x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
因子01-全市场,11.95,-7.67,-1.24,30.72,13.44,13,9,4.03,2.82,73,0.26,11.67,24.79,2.96,58.09
因子01-中证500,11.21,-16.83,-11.96,36.11,12.61,15,13,6.16,1.76,123,0.39,15.41,28.76,1.82,55.04
因子01-沪深300,7.15,-10.64,-5.07,20.69,7.34,12,12,6.64,1.07,235,0.42,6.95,14.49,1.08,53.20
因子02-全市场,7.54,-7.81,-4.92,24.64,8.43,13,9,3.91,1.88,89,0.25,8.89,18.34,1.93,54.88
因子02-中证500,2.49,-16.89,-11.84,15.52,2.88,9,9,6.11,0.43,348,0.39,3.85,12.60,0.41,50.95
因子02-沪深300,2.81,-21.22,-12.29,27.30,3.46,9,8,6.65,0.45,484,0.43,2.19,17.41,0.42,52.21
因子03-全市场,12.86,-6.22,-3.87,36.97,14.50,13,16,4.07,3.00,297,0.26,14.39,27.72,3.16,57.77
因子03-中证500,8.30,-16.16,-10.75,29.61,9.03,11,9,6.11,1.34,102,0.39,9.15,22.08,1.36,53.31
因子03-沪深300,6.75,-8.68,-6.24,27.93,6.85,12,9,6.53,1.03,344,0.42,5.29,18.21,1.03,53.89
因子04-全市场,12.75,-6.20,-4.21,37.26,14.39,13,16,4.08,2.96,298,0.26,14.48,28.22,3.12,57.88
因子04-中证500,8.74,-16.26,-10.73,29.91,9.49,11,9,6.08,1.41,100,0.39,9.57,22.33,1.44,53.78
因子04-沪深300,6.93,-8.57,-5.60,26.99,7.09,15,9,6.57,1.05,336,0.42,5.64,18.61,1.05,54.31
因子05-全市场,13.49,-11.85,-4.07,35.99,15.21,15,9,4.72,2.71,147,0.30,17.04,26.93,2.86,59.45
因子05-中证500,10.70,-14.68,-12.53,40.79,12.12,16,10,6.79,1.53,125,0.43,14.74,27.05,1.58,55.20
因子05-沪深300,6.07,-10.28,-3.83,20.32,6.58,13,11,6.70,0.91,184,0.43,6.54,13.75,0.91,52.42
文献1综合因子-全市场,11.79,-10.48,-1.03,35.93,13.67,13,13,4.10,2.74,130,0.26,12.31,28.27,2.87,56.20
文献1综合因子-中证500,10.78,-11.59,-6.28,46.45,13.36,12,8,6.43,1.62,306,0.41,13.87,33.47,1.67,53.83
文献1综合因子-沪深300,8.83,-10.18,-5.43,34.19,8.71,13,11,6.53,1.33,353,0.42,8.28,19.63,1.35,52.63
因子07-全市场,11.87,-11.84,-4.41,40.43,13.59,13,9,4.53,2.50,121,0.29,14.40,27.61,2.62,57.51
因子07-中证500,10.13,-13.86,-7.53,38.17,11.19,9,9,6.56,1.50,269,0.42,9.72,25.44,1.54,54.10
因子07-沪深300,6.57,-8.59,-4.05,36.84,7.96,10,10,6.61,1.00,175,0.42,5.14,26.89,0.99,51.58
因子08-全市场,8.70,-7.52,-6.70,29.30,10.06,11,11,5.42,1.57,466,0.35,10.64,19.86,1.60,52.31
因子08-中证500,5.35,-12.66,-12.54,27.16,5.98,8,10,7.02,0.78,645,0.45,5.89,16.85,0.76,50.16
因子08-沪深300,6.25,-12.78,-9.41,35.08,7.23,9,11,7.21,0.88,203,0.46,5.63,21.68,0.87,51.84
因子09-全市场,16.03,-8.18,-1.62,43.22,17.70,13,12,5.39,2.79,207,0.34,16.42,34.13,2.98,55.09
因子09-中证500,7.02,-19.13,-14.34,43.98,8.01,14,10,7.19,0.98,248,0.46,6.36,27.60,0.98,50.47
因子09-沪深300,8.56,-12.73,-10.15,40.44,9.88,18,11,7.14,1.19,152,0.46,10.06,22.82,1.20,50.89
因子10-全市场,17.79,-9.64,1.39,41.96,19.82,15,8,5.58,2.96,96,0.36,20.30,32.05,3.19,56.83
因子10-中证500,10.61,-8.00,-4.96,46.95,12.29,9,9,7.32,1.41,247,0.47,10.01,27.48,1.45,51.10
因子10-沪深300,9.49,-8.30,-4.97,35.37,10.65,10,8,7.63,1.23,325,0.49,10.49,19.51,1.24,51.26
因子11-全市场,17.05,-4.41,3.25,43.09,18.90,11,8,4.40,3.60,81,0.28,17.75,33.91,3.87,58.35
因子11-中证500,6.59,-12.51,-12.00,28.64,7.12,11,9,6.16,1.07,198,0.39,6.97,17.45,1.07,51.89
因子11-沪深300,8.27,-9.57,-7.76,37.33,9.00,11,11,6.78,1.21,358,0.43,9.17,18.02,1.22,51.21
因子12-全市场,19.32,-4.17,-0.37,51.50,21.90,14,7,5.14,3.46,149,0.33,20.52,38.44,3.76,57.88
因子12-中证500,11.08,-8.89,-6.23,36.83,13.12,15,9,6.78,1.58,253,0.43,14.33,24.21,1.63,53.31
因子12-沪深300,11.64,-7.77,-3.17,34.92,13.19,11,14,7.53,1.50,303,0.48,11.33,26.47,1.54,53.31
文献2综合因子-全市场,21.67,-8.21,2.89,59.46,24.32,13,8,5.06,3.90,73,0.32,23.23,45.96,4.28,61.34
文献2综合因子-中证500,15.21,-10.65,-3.84,49.68,16.77,15,11,6.85,2.10,262,0.44,16.27,32.46,2.22,54.57
文献2综合因子-沪深300,13.81,-8.08,-2.54,42.77,15.28,10,11,7.22,1.83,221,0.46,13.82,34.24,1.91,53.26
