sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,15.40,-15.33,-11.78,62.94,17.56,12,15,7.67,1.91,360,0.49,10.81,47.87,2.01,54.09
多空-弹簧策略-沪深300,4.54,-13.82,-8.08,23.64,4.22,13,8,4.85,0.94,581,0.31,3.74,12.96,0.94,53.39
多空-弹簧策略-中证500,6.31,-17.30,-14.40,26.34,6.26,14,11,5.52,1.14,420,0.35,5.63,20.22,1.14,53.93
多空-弹簧策略-A股市场,22.12,-20.10,-15.48,119.91,26.49,13,10,8.44,2.41,202,0.54,17.71,75.71,2.62,56.75
多空-动量上涨加减速-上证综指,15.37,-17.31,-11.78,85.26,15.29,11,10,11.49,1.30,312,0.74,8.66,52.12,1.34,52.81
多空-动量上涨加减速-沪深300,8.71,-27.39,-24.54,85.69,8.95,14,11,16.08,0.60,611,1.03,4.63,36.20,0.54,51.95
多空-动量上涨加减速-中证500,7.08,-25.31,-14.73,99.24,9.04,11,9,12.97,0.59,1581,0.83,4.79,26.78,0.55,51.28
多空-动量上涨加减速-A股市场,11.38,-15.04,-11.50,61.37,11.55,15,12,9.29,1.21,305,0.59,7.54,31.38,1.22,53.57
多空-动量下跌加减速-上证综指,7.17,-27.08,-16.55,78.89,7.71,13,12,11.97,0.64,401,0.77,5.18,19.00,0.60,52.53
多空-动量下跌加减速-沪深300,2.73,-44.80,-29.49,54.88,3.14,11,12,15.81,0.25,814,1.01,2.32,25.39,0.17,50.31
多空-动量下跌加减速-中证500,6.37,-33.07,-24.77,42.48,7.59,13,10,13.89,0.51,494,0.89,5.68,28.51,0.46,51.83
多空-动量下跌加减速-A股市场,9.15,-27.66,-12.96,72.25,9.81,14,12,9.46,0.97,545,0.61,5.50,24.05,0.97,54.21
