x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300,8.57,-46.70,-40.20,142.23,15.49,12,8,24.28,0.46,1281,1.55,13.30,51.67,0.35,52.57
沪深300组合,8.75,-12.66,-1.87,28.26,9.83,12,9,8.04,1.08,188,0.51,8.57,19.51,1.09,54.44
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证500,8.69,-65.20,-45.28,186.55,12.73,12,7,27.57,0.44,112,1.77,5.89,50.89,0.32,54.76
中证500组合,6.59,-20.00,-6.13,32.08,6.98,8,9,9.39,0.73,335,0.60,5.83,17.13,0.70,53.69
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证50,7.38,-44.70,-38.02,131.04,15.23,19,10,24.66,0.41,1251,1.58,14.32,49.01,0.30,50.91
上证50组合,7.11,-10.76,-2.72,23.56,8.19,8,8,7.71,0.93,230,0.49,7.76,15.94,0.92,51.96
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,5.41,-52.30,-41.88,146.28,10.68,11,9,22.66,0.35,286,1.45,6.79,51.10,0.24,53.42
上证综指组合,10.46,-19.51,-6.18,39.10,10.86,12,9,9.51,1.09,205,0.61,8.61,28.08,1.10,56.95
