x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
a,7.36,-6.38,-4.81,33.37,7.67,5,27,4.47,1.61,764,0.29,7.14,15.65,1.65,26.23
ag,4.11,-4.45,-2.13,24.17,4.38,6,18,3.55,1.15,273,0.23,0.00,15.13,1.16,31.49
al,7.04,-5.18,-5.18,41.85,7.23,6,30,4.48,1.54,317,0.29,5.23,13.22,1.57,24.97
au,2.89,-2.84,-2.02,16.61,3.21,5,19,2.62,1.10,490,0.17,1.46,10.17,1.10,29.33
b,-2.53,-54.26,-32.42,26.92,-2.23,6,29,7.08,-0.33,1,0.45,-0.52,9.45,-0.36,23.47
bu,1.47,-7.16,-6.59,15.86,1.71,4,28,4.32,0.36,184,0.28,0.00,7.81,0.34,21.90
c,2.71,-6.87,-6.81,12.34,2.96,5,21,3.24,0.84,583,0.21,2.44,8.58,0.84,25.60
cf,5.56,-5.73,-5.26,30.74,6.09,6,22,4.32,1.27,417,0.28,4.31,15.75,1.29,23.84
cs,0.28,-5.63,-4.98,6.46,0.17,3,19,1.66,0.18,464,0.11,0.00,1.09,0.17,27.55
cu,12.55,-5.47,-3.62,47.28,12.69,5,23,5.82,2.06,485,0.37,8.44,30.94,2.16,28.60
fg,2.59,-7.96,-4.20,25.79,2.52,5,15,4.04,0.65,495,0.26,0.00,9.67,0.64,26.37
fu,-0.21,-53.80,-34.20,26.19,0.71,5,23,12.26,0.04,522,0.79,4.01,15.06,-0.02,24.58
hc,4.55,-6.74,-1.86,38.14,5.24,4,17,4.28,1.06,293,0.27,0.00,23.26,1.06,27.79
i,5.80,-9.15,-5.71,50.16,6.25,5,14,5.91,0.98,160,0.38,0.00,23.97,0.98,26.77
j,6.60,-10.07,-0.46,32.31,7.09,4,44,6.07,1.08,168,0.39,3.81,21.74,1.09,24.84
jd,1.34,-15.61,-10.65,28.72,1.58,5,17,3.83,0.37,843,0.25,0.00,11.01,0.35,24.84
jm,4.31,-7.98,-2.56,37.10,4.73,6,21,5.64,0.78,140,0.36,0.00,18.29,0.77,25.56
l,4.99,-13.43,-7.76,24.35,5.48,5,20,5.21,0.96,1010,0.33,3.72,16.80,0.96,24.39
m,5.79,-14.40,-7.81,28.02,6.01,7,34,4.71,1.22,1336,0.30,5.57,14.74,1.23,26.13
ma,9.06,-4.64,-1.00,150.61,13.09,5,15,26.19,0.41,95,1.68,0.00,19.33,0.35,27.40
ni,1.11,-7.89,-2.89,13.59,1.25,4,15,3.03,0.38,364,0.19,0.00,6.25,0.37,26.61
oi,2.09,-3.14,-2.80,13.36,2.24,5,22,2.81,0.75,225,0.18,0.00,7.91,0.74,26.15
p,7.97,-7.75,-2.14,33.89,8.44,8,39,5.08,1.53,214,0.33,6.38,19.14,1.57,28.18
pb,3.38,-4.40,-0.16,15.72,3.56,4,22,3.54,0.96,136,0.23,1.20,10.90,0.95,22.92
pp,2.18,-5.66,-2.74,17.67,2.42,10,17,3.38,0.65,163,0.22,0.00,9.82,0.64,26.95
rb,8.55,-4.94,-0.11,29.57,9.23,4,25,5.11,1.63,158,0.33,8.23,22.49,1.67,25.46
rm,2.69,-6.56,-3.00,14.96,2.85,5,16,3.38,0.80,251,0.22,0.00,9.46,0.80,29.17
ro,1.25,-3.47,-2.54,12.40,1.38,5,16,1.76,0.71,163,0.11,0.00,7.57,0.71,28.20
ru,13.75,-10.96,-10.24,43.17,13.57,7,22,8.90,1.49,399,0.57,12.46,31.98,1.54,25.37
sf,2.99,-5.87,-4.91,22.44,2.72,4,23,4.59,0.66,138,0.29,0.00,13.21,0.65,29.97
sm,2.47,-7.93,-5.55,29.45,1.69,5,17,4.01,0.63,550,0.26,0.00,7.04,0.62,27.96
sn,1.47,-3.87,-0.38,11.72,1.47,7,14,1.92,0.77,205,0.12,0.00,6.59,0.77,31.98
sr,5.41,-6.97,-3.93,25.07,6.06,5,22,3.90,1.37,804,0.25,4.37,17.35,1.39,28.09
ta,6.82,-6.15,-5.01,42.35,7.79,5,21,5.08,1.32,406,0.33,5.67,21.30,1.34,25.18
v,2.83,-8.54,-5.70,24.80,3.15,4,19,4.32,0.67,519,0.28,0.41,10.13,0.66,25.62
wh,-0.06,-13.24,-7.26,13.62,0.35,5,23,2.60,-0.01,259,0.17,0.00,3.69,-0.02,25.33
wr,-3.45,-48.37,-37.22,9.90,-2.67,3,20,6.74,-0.49,757,0.43,0.00,5.75,-0.51,16.61
ws,1.46,-8.00,-6.06,14.76,1.64,5,21,2.26,0.65,521,0.14,0.00,8.59,0.65,27.41
wt,-0.66,-10.96,-10.46,5.12,-0.68,4,26,2.23,-0.29,1,0.14,0.00,0.74,-0.30,21.02
y,8.08,-4.33,-1.57,42.85,8.76,6,21,4.69,1.68,169,0.30,6.96,15.65,1.72,26.81
zc,1.35,-4.06,-3.66,10.81,1.02,7,18,2.24,0.61,175,0.14,0.00,5.28,0.60,30.44
zn,6.91,-4.95,-0.49,34.19,7.38,5,29,5.04,1.35,168,0.32,5.69,17.98,1.37,25.88
组合,4.02,-0.87,0.59,9.15,4.11,12,11,1.26,3.13,90,0.08,3.86,7.08,3.19,51.92
