x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S53P2全行业IC加权-500股票池-多头,11.66,-47.08,-37.19,252.31,18.00,11,8,26.80,0.55,681,1.72,10.99,56.33,0.44,55.78
S53P2全行业IC加权-500股票池-指数对冲,8.21,-18.67,-14.03,45.41,9.38,12,9,5.90,1.37,169,0.38,7.88,28.90,1.39,53.86
S53P2全行业IC加权-300股票池-多头,5.08,-47.54,-42.01,207.80,11.24,10,9,24.20,0.33,893,1.55,3.67,43.40,0.21,52.34
S53P2全行业IC加权-300股票池-指数对冲,1.26,-24.70,-14.63,29.38,1.65,12,10,7.01,0.21,738,0.45,-0.04,13.80,0.18,52.87
S53P2分行业IC加权-500股票池-多头,12.07,-48.74,-34.98,256.37,18.26,10,8,26.70,0.56,682,1.71,11.74,56.38,0.45,55.51
S53P2分行业IC加权-500股票池-指数对冲,8.60,-18.97,-14.90,42.78,9.70,11,9,5.61,1.50,108,0.36,8.43,28.84,1.53,54.23
S53P2分行业IC加权-300股票池-多头,7.63,-46.46,-41.51,211.31,13.76,11,9,23.85,0.43,1235,1.53,6.74,45.80,0.32,52.83
S53P2分行业IC加权-300股票池-指数对冲,3.69,-16.47,-14.08,31.81,4.10,13,9,6.12,0.62,310,0.39,3.50,15.10,0.60,54.42
S53P1IC加权-500股票池-做多,19.91,-50.29,-37.08,318.30,29.45,11,8,28.06,0.79,439,1.80,14.17,85.73,0.71,56.96
S53P1IC加权-500股票池-指数对冲,16.58,-23.30,-21.67,105.50,19.83,16,11,8.30,1.89,108,0.53,19.69,52.30,2.00,57.12
S53P1MHKQ加权-500股票池-做多,14.05,-47.95,-39.56,237.24,21.32,11,8,28.18,0.61,1261,1.80,11.98,71.49,0.50,56.58
S53P1MHKQ加权-500股票池-指数对冲,10.79,-29.05,-27.42,74.87,12.50,10,11,9.61,1.11,490,0.62,11.30,37.12,1.12,54.71
