x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S57lasso-上证综指股票池-long-short,55.44,-26.36,-12.37,221.92,61.68,11,9,23.49,2.00,151,1.50,52.65,116.85,2.36,55.28
S57lasso-500股票池-long-short,25.57,-20.16,-15.30,139.00,29.74,10,12,18.91,1.30,354,1.21,22.92,72.33,1.35,52.94
S57lasso-300股票池-long-short,1.03,-49.79,-26.89,66.84,2.13,8,10,17.77,0.15,377,1.14,-4.22,34.66,0.06,48.83
S57adaboost-上证综指股票池-long-short,56.99,-37.79,-28.39,214.79,68.46,16,11,22.80,2.09,281,1.46,73.34,121.75,2.50,56.18
S57adaboost-500股票池-long-short,13.45,-52.41,-47.53,88.00,16.42,12,10,19.77,0.74,673,1.27,17.12,55.34,0.68,51.57
S57adaboost-300股票池-long-short,8.20,-40.43,-29.38,119.34,13.50,14,10,19.68,0.50,491,1.26,11.33,39.14,0.42,50.02
S57adaboost-week-上证综指股票池-long-short,44.13,-42.90,-32.61,179.16,53.66,11,11,24.22,1.63,148,1.55,52.01,119.13,1.82,55.96
S57adaboost-week-500股票池-long-short,5.72,-64.19,-59.76,100.16,13.91,12,12,21.49,0.37,788,1.38,20.82,55.24,0.27,51.57
S57adaboost-week-300股票池-long-short,4.52,-50.60,-30.39,120.02,8.56,10,14,19.46,0.32,531,1.25,2.47,36.11,0.23,50.29
