x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
cars-long,6.92,-25.03,-24.29,39.58,5.71,10,4,14.84,0.53,901,0.95,5.23,18.40,0.47,56.56
cars-short,-5.76,-42.44,-27.16,34.80,-1.05,5,5,17.29,-0.26,612,1.11,-0.32,18.00,-0.33,46.23
cars-long-short,0.77,-48.90,-31.78,58.67,4.73,12,10,22.79,0.15,485,1.46,5.58,29.12,0.03,51.28
cars-ref,10.11,-49.03,-42.91,55.21,5.73,11,7,22.78,0.54,20,1.46,7.42,27.40,0.44,55.13
ada-long,14.30,-23.36,-14.26,66.84,11.64,10,5,16.28,0.90,310,1.04,9.81,29.08,0.88,55.88
ada-short,1.20,-32.76,-17.84,47.26,4.60,7,5,15.92,0.15,659,1.02,0.02,25.63,0.08,46.11
ada-long-short,15.68,-37.03,-23.84,121.35,17.33,16,10,22.76,0.75,655,1.46,7.40,54.58,0.69,52.22
ada-ref,10.11,-49.03,-42.91,55.21,5.73,11,7,22.78,0.54,20,1.46,7.42,27.40,0.44,55.13
S70P2-ref,10.21,-49.03,-42.91,55.21,5.76,11,7,22.72,0.54,20,1.45,7.54,27.37,0.45,55.10
S70P2-长中短,17.71,-28.36,-14.97,116.70,13.92,10,7,19.92,0.92,459,1.28,11.97,28.76,0.89,55.72
S70P2-长期,13.54,-32.34,-19.81,96.57,12.43,10,11,22.71,0.67,524,1.45,10.16,27.49,0.60,51.74
S70P2-中期,18.87,-32.18,-25.39,102.83,12.96,11,9,22.69,0.88,860,1.45,13.68,27.51,0.83,55.72
S70P2-短期,NaN,-37.03,-23.84,121.35,NaN,16,10,NaN,0.75,655,NaN,NaN,54.58,NaN,51.91
