x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
down-mean-全市场-long-short,9.54,-13.41,-7.12,25.33,9.84,15,9,4.51,2.04,245,0.29,9.76,17.14,2.11,56.15
down-mean-800股票池-long-short,5.40,-17.26,-10.59,21.58,5.19,10,15,5.79,0.94,244,0.37,4.69,17.20,0.93,52.37
down-mean-300股票池-long-short,5.84,-18.22,-11.23,35.15,5.75,12,11,7.72,0.77,217,0.49,5.02,18.00,0.76,52.08
down-mean-500股票池-long-short,5.38,-17.86,-14.74,26.17,5.22,14,10,6.29,0.87,420,0.40,5.41,14.97,0.86,52.50
publ-全市场-long-short,13.16,-5.15,-1.89,40.06,13.47,12,13,4.43,2.81,133,0.28,12.48,23.68,2.97,57.28
publ-800股票池-long-short,8.16,-11.42,-10.85,40.94,7.96,11,13,5.64,1.42,479,0.36,8.11,17.85,1.45,52.48
publ-300股票池-long-short,5.60,-18.74,-14.75,41.68,5.48,10,10,7.68,0.75,433,0.49,5.86,13.99,0.73,52.97
publ-500股票池-long-short,9.39,-10.67,-9.33,41.06,9.31,15,12,6.52,1.41,266,0.42,8.31,19.35,1.44,53.53
ubl-全市场-long-short,15.43,-6.74,-3.06,45.42,15.60,19,8,5.20,2.79,118,0.33,14.14,24.62,2.97,57.24
ubl-800股票池-long-short,10.53,-9.61,-7.20,40.21,9.87,10,9,6.03,1.69,275,0.39,9.47,19.08,1.75,54.62
ubl-300股票池-long-short,9.75,-19.06,-18.23,51.70,9.49,10,9,7.79,1.23,949,0.50,8.81,19.58,1.25,54.46
ubl-500股票池-long-short,11.08,-11.26,-6.21,39.48,10.57,16,11,7.06,1.52,248,0.45,9.70,20.89,1.57,54.26
up-std-全市场-long-short,9.75,-3.37,1.56,23.98,10.09,16,9,3.84,2.44,174,0.25,9.35,16.37,2.54,57.24
up-std-800股票池-long-short,8.39,-3.92,-1.46,21.90,8.33,12,9,4.77,1.71,280,0.31,8.21,12.95,1.76,55.54
up-std-300股票池-long-short,6.97,-12.64,-12.33,38.41,7.52,10,14,7.02,1.00,413,0.45,6.07,18.69,0.99,52.13
up-std-500股票池-long-short,9.89,-7.31,-5.99,23.63,9.94,11,9,5.82,1.65,295,0.37,9.79,17.87,1.70,54.60
wlm-down-mean-全市场-long-short,13.63,-9.48,-7.44,48.54,13.94,15,9,5.85,2.22,108,0.37,12.48,25.20,2.33,56.76
wlm-down-mean-800股票池-long-short,6.77,-14.86,-10.72,31.82,6.33,13,14,6.91,0.98,185,0.44,7.96,14.75,0.98,51.99
wlm-down-mean-300股票池-long-short,5.36,-16.73,-14.29,27.79,5.00,12,10,8.59,0.65,1098,0.55,6.25,13.24,0.62,51.25
wlm-down-mean-500股票池-long-short,7.73,-21.21,-15.27,36.51,7.58,18,16,7.68,1.01,234,0.49,8.01,19.19,1.01,52.34
wlm-up-std-全市场-long-short,7.83,-5.36,-1.31,21.79,7.84,14,11,4.07,1.87,299,0.26,6.65,16.55,1.92,54.33
wlm-up-std-800股票池-long-short,3.89,-11.42,-7.91,21.27,3.90,13,11,5.36,0.74,833,0.34,2.88,12.76,0.73,51.62
wlm-up-std-300股票池-long-short,4.19,-18.81,-17.31,26.60,4.51,11,10,7.57,0.58,876,0.48,3.15,17.61,0.55,51.86
wlm-up-std-500股票池-long-short,3.86,-10.69,-9.73,21.24,4.10,11,11,6.14,0.65,764,0.39,3.30,13.24,0.63,51.51
S73P2-beta,42.12,-40.45,-38.12,305.14,56.38,8,8,27.91,1.40,73,3.95,37.77,177.75,1.51,60.61
S73P2-csad,18.03,-28.09,-24.88,141.80,22.49,15,4,21.60,0.88,138,3.06,15.19,62.77,0.83,58.25
S73P2-cssd,33.62,-42.52,-42.52,267.62,41.19,9,5,25.78,1.26,69,3.65,23.06,154.42,1.30,59.26
S73P2-mix1,32.01,-43.96,-42.62,240.19,38.20,9,8,26.88,1.17,115,3.80,35.08,96.84,1.19,57.62
S73P2-mix2,31.03,-46.01,-44.50,248.31,37.38,8,8,27.19,1.13,122,3.85,35.13,98.89,1.14,57.36
S73P2-beta_cssd,41.25,-42.09,-41.13,239.87,50.49,9,8,27.52,1.40,73,3.89,39.27,158.75,1.50,59.03
