x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
动量-残差因子-全A股票池-long-short,11.37,-24.43,-17.10,55.60,11.87,17,11,8.69,1.28,1324,0.56,11.91,27.52,1.31,54.92
动量-残差因子-上证综指股票池-long-short,9.55,-28.06,-20.59,56.92,10.70,18,11,9.67,0.99,1325,0.62,9.78,31.34,0.99,53.13
动量-残差因子-500股票池-long-short,8.13,-35.19,-22.63,60.81,9.32,13,9,12.14,0.70,1567,0.78,9.31,26.41,0.67,52.18
动量-残差因子-300股票池-long-short,17.40,-31.41,-27.45,66.53,18.32,13,17,15.30,1.13,690,0.98,19.61,39.65,1.14,53.51
动量-残差因子-港股全-long-short,20.04,-23.38,-15.18,74.99,18.70,15,9,10.56,1.78,675,0.68,14.37,48.34,1.90,54.95
动量-残差因子-HSI股票池-long-short,23.32,-31.91,-27.98,96.29,21.85,18,11,24.82,0.97,763,1.59,23.57,56.02,0.94,52.66
普通动量因子-全A股票池-long-short,2.05,-69.31,-43.68,58.65,3.25,17,14,14.94,0.21,184,0.96,3.44,30.15,0.14,51.15
普通动量因子-上证综指股票池-long-short,0.13,-78.92,-43.11,54.93,1.61,14,12,15.37,0.09,185,0.98,1.74,30.94,0.01,50.98
普通动量因子-500股票池-long-short,0.30,-75.14,-43.18,66.56,2.74,17,14,16.68,0.10,480,1.07,5.82,30.57,0.02,50.15
普通动量因子-300股票池-long-short,11.61,-65.21,-54.55,84.01,14.46,15,14,20.54,0.64,1522,1.31,13.46,54.00,0.57,52.78
普通动量因子-港股全-long-short,24.66,-22.74,-16.46,105.54,26.39,12,8,13.36,1.72,349,0.86,17.96,70.22,1.85,55.72
普通动量因子-HSI股票池-long-short,24.34,-43.11,-35.72,127.15,29.13,11,9,27.98,0.92,720,1.79,21.76,80.81,0.87,53.39
1d-20d-全A股票池-long-short,15.13,-18.08,-11.75,91.65,16.05,15,11,10.69,1.37,430,0.68,12.44,35.48,1.42,54.59
1d-20d-300股票池-long-short,20.53,-18.56,-10.75,87.19,20.66,10,14,15.95,1.25,279,1.02,18.53,43.82,1.29,54.19
1d-20d-500股票池-long-short,23.10,-14.00,-7.24,119.25,23.19,14,10,12.75,1.69,420,0.82,16.60,48.65,1.81,54.77
1d-20d-美股-long-short,21.74,-7.64,5.33,45.74,21.88,16,11,5.53,3.59,119,0.35,20.60,35.73,3.93,60.32
1d-20d-SPX-long-short,6.30,-21.25,-18.43,59.41,7.15,12,14,9.90,0.67,308,0.63,4.79,21.44,0.64,51.21
