,index,
0,CPU AU Equity,1.0
1,SPK AU Equity,-1.0
2,STO AU Equity,-1.0
0,002350 KS Equity,1.0
1,006040 KS Equity,-1.0
2,007070 KS Equity,1.0
3,010950 KS Equity,-1.0
4,207940 KS Equity,1.0
5,336260 KS Equity,1.0
0,1803 JT Equity,-1.0
1,3863 JT Equity,-1.0
2,5019 JT Equity,-1.0
3,6501 JT Equity,1.0
4,7752 JT Equity,-1.0
5,8801 JT Equity,1.0
6,8804 JT Equity,1.0
7,9009 JT Equity,1.0
0,0241 HK Equity,-1.0
1,0688 HK Equity,-1.0
2,1044 HK Equity,-1.0
3,1093 HK Equity,-1.0
4,1109 HK Equity,-1.0
5,1398 HK Equity,-1.0
6,2318 HK Equity,-1.0
7,3968 HK Equity,-1.0
8,9988 HK Equity,-1.0
0,00101 HK Equity,1.0
0,1803 JT Equity,-1.0
1,3863 JT Equity,-1.0
2,5019 JT Equity,-1.0
3,6501 JT Equity,1.0
4,7752 JT Equity,-1.0
5,8801 JT Equity,1.0
6,8804 JT Equity,1.0
7,9009 JT Equity,1.0
0,000007 CH Equity,-1.0
1,000156 CH Equity,1.0
2,000338 CH Equity,1.0
3,000622 CH Equity,1.0
4,000652 CH Equity,1.0
5,000680 CH Equity,1.0
6,000709 CH Equity,1.0
7,000718 CH Equity,1.0
8,000791 CH Equity,1.0
9,000807 CH Equity,-1.0
10,000830 CH Equity,1.0
11,000928 CH Equity,1.0
12,002005 CH Equity,-1.0
13,002033 CH Equity,-1.0
14,002086 CH Equity,-1.0
15,002112 CH Equity,1.0
16,002173 CH Equity,1.0
17,002233 CH Equity,1.0
18,002236 CH Equity,1.0
19,002247 CH Equity,1.0
20,002298 CH Equity,1.0
21,002328 CH Equity,1.0
22,002344 CH Equity,1.0
23,002399 CH Equity,1.0
24,002435 CH Equity,1.0
25,002486 CH Equity,1.0
26,002636 CH Equity,1.0
27,002661 CH Equity,1.0
28,002763 CH Equity,-1.0
29,002787 CH Equity,1.0
30,002872 CH Equity,-1.0
31,002956 CH Equity,1.0
32,300035 CH Equity,-1.0
33,300093 CH Equity,-1.0
34,300148 CH Equity,1.0
35,300494 CH Equity,1.0
36,300504 CH Equity,1.0
37,300622 CH Equity,1.0
38,300692 CH Equity,1.0
39,300715 CH Equity,1.0
40,300849 CH Equity,1.0
41,300918 CH Equity,1.0
42,600075 CH Equity,1.0
43,600112 CH Equity,-1.0
44,600236 CH Equity,1.0
45,600258 CH Equity,1.0
46,600276 CH Equity,1.0
47,600315 CH Equity,1.0
48,600370 CH Equity,2.0
49,600373 CH Equity,1.0
50,600380 CH Equity,1.0
51,600409 CH Equity,1.0
52,600415 CH Equity,-1.0
53,600467 CH Equity,1.0
54,600595 CH Equity,1.0
55,600668 CH Equity,-1.0
56,600724 CH Equity,1.0
57,600792 CH Equity,1.0
58,600793 CH Equity,2.0
59,600802 CH Equity,1.0
60,600815 CH Equity,1.0
61,600941 CH Equity,-1.0
62,600963 CH Equity,1.0
63,600995 CH Equity,1.0
64,601169 CH Equity,-1.0
65,601200 CH Equity,1.0
66,601666 CH Equity,-1.0
67,601668 CH Equity,-1.0
68,601921 CH Equity,1.0
69,601928 CH Equity,1.0
70,601965 CH Equity,1.0
71,601992 CH Equity,2.0
72,603002 CH Equity,1.0
73,603018 CH Equity,1.0
74,603116 CH Equity,1.0
75,603197 CH Equity,-1.0
76,603222 CH Equity,1.0
77,603278 CH Equity,1.0
78,603661 CH Equity,1.0
79,603915 CH Equity,1.0
80,605016 CH Equity,1.0
81,605080 CH Equity,1.0
82,605180 CH Equity,1.0
83,688100 CH Equity,1.0
84,688186 CH Equity,1.0
85,688425 CH Equity,1.0
86,688519 CH Equity,1.0
87,688553 CH Equity,1.0
88,688555 CH Equity,1.0
89,688636 CH Equity,-1.0
90,688793 CH Equity,-1.0
