,index,
0,000019 CH Equity,-1.0
1,000423 CH Equity,1.0
2,000509 CH Equity,-1.0
3,000510 CH Equity,1.0
4,000560 CH Equity,-1.0
5,000590 CH Equity,-1.0
6,000656 CH Equity,-1.0
7,001215 CH Equity,1.0
8,002045 CH Equity,1.0
9,002077 CH Equity,-1.0
10,002294 CH Equity,1.0
11,002369 CH Equity,-1.0
12,002377 CH Equity,-1.0
13,002409 CH Equity,1.0
14,002429 CH Equity,1.0
15,002461 CH Equity,-1.0
16,002517 CH Equity,1.0
17,002555 CH Equity,1.0
18,002584 CH Equity,-1.0
19,002597 CH Equity,-1.0
20,002624 CH Equity,1.0
21,002646 CH Equity,1.0
22,002647 CH Equity,-1.0
23,002653 CH Equity,1.0
24,002661 CH Equity,-1.0
25,002795 CH Equity,-1.0
26,002946 CH Equity,-1.0
27,003035 CH Equity,1.0
28,300171 CH Equity,1.0
29,300190 CH Equity,-1.0
30,300346 CH Equity,-1.0
31,300363 CH Equity,1.0
32,300391 CH Equity,-1.0
33,300400 CH Equity,1.0
34,300406 CH Equity,1.0
35,300412 CH Equity,-1.0
36,300421 CH Equity,-1.0
37,300452 CH Equity,1.0
38,300529 CH Equity,1.0
39,300558 CH Equity,1.0
40,300639 CH Equity,1.0
41,300666 CH Equity,1.0
42,300677 CH Equity,1.0
43,300682 CH Equity,1.0
44,300767 CH Equity,1.0
45,300779 CH Equity,-1.0
46,300967 CH Equity,-1.0
47,301001 CH Equity,-1.0
48,301033 CH Equity,-1.0
49,301077 CH Equity,-1.0
50,301128 CH Equity,1.0
51,301201 CH Equity,-1.0
52,600122 CH Equity,-1.0
53,600176 CH Equity,2.0
54,600365 CH Equity,-1.0
55,600377 CH Equity,-1.0
56,600380 CH Equity,1.0
57,600387 CH Equity,1.0
58,600420 CH Equity,1.0
59,600535 CH Equity,1.0
60,600587 CH Equity,1.0
61,600645 CH Equity,1.0
62,600692 CH Equity,-1.0
63,600721 CH Equity,-1.0
64,600750 CH Equity,-1.0
65,600869 CH Equity,-1.0
66,601882 CH Equity,1.0
67,603011 CH Equity,-1.0
68,603028 CH Equity,1.0
69,603087 CH Equity,1.0
70,603100 CH Equity,1.0
71,603116 CH Equity,-1.0
72,603177 CH Equity,-1.0
73,603203 CH Equity,1.0
74,603221 CH Equity,-1.0
75,603297 CH Equity,1.0
76,603316 CH Equity,1.0
77,603355 CH Equity,-1.0
78,603603 CH Equity,-1.0
79,603697 CH Equity,-1.0
80,603713 CH Equity,1.0
81,603893 CH Equity,1.0
82,603983 CH Equity,-1.0
83,605011 CH Equity,-1.0
84,605198 CH Equity,-1.0
85,605507 CH Equity,1.0
86,688001 CH Equity,1.0
87,688002 CH Equity,1.0
88,688016 CH Equity,1.0
89,688062 CH Equity,1.0
90,688066 CH Equity,1.0
91,688082 CH Equity,1.0
92,688091 CH Equity,-1.0
93,688117 CH Equity,1.0
94,688131 CH Equity,1.0
95,688150 CH Equity,1.0
96,688157 CH Equity,1.0
97,688161 CH Equity,1.0
98,688197 CH Equity,1.0
99,688222 CH Equity,1.0
100,688228 CH Equity,-1.0
101,688238 CH Equity,1.0
102,688260 CH Equity,2.0
103,688262 CH Equity,1.0
104,688268 CH Equity,1.0
105,688505 CH Equity,1.0
106,688607 CH Equity,-1.0
107,688621 CH Equity,1.0
108,688626 CH Equity,1.0
109,688697 CH Equity,1.0
