,index,
0,000025 CH Equity,-1.0
1,000061 CH Equity,-1.0
2,000408 CH Equity,-1.0
3,000420 CH Equity,-1.0
4,000892 CH Equity,-1.0
5,000913 CH Equity,-1.0
6,002091 CH Equity,-1.0
7,002300 CH Equity,-1.0
8,002328 CH Equity,-1.0
9,002374 CH Equity,-1.0
10,002428 CH Equity,-1.0
11,002434 CH Equity,-1.0
12,002445 CH Equity,-1.0
13,002489 CH Equity,-1.0
14,002545 CH Equity,-1.0
15,002632 CH Equity,-1.0
16,002766 CH Equity,-1.0
17,002805 CH Equity,-1.0
18,002832 CH Equity,-1.0
19,002957 CH Equity,-1.0
20,003043 CH Equity,-1.0
21,300019 CH Equity,-1.0
22,300062 CH Equity,-1.0
23,300092 CH Equity,-1.0
24,300206 CH Equity,-1.0
25,300271 CH Equity,-1.0
26,300471 CH Equity,-1.0
27,300558 CH Equity,-1.0
28,300586 CH Equity,-1.0
29,300610 CH Equity,-1.0
30,300642 CH Equity,-1.0
31,300677 CH Equity,-1.0
32,300722 CH Equity,-1.0
33,300731 CH Equity,-1.0
34,300811 CH Equity,-1.0
35,301023 CH Equity,-1.0
36,301092 CH Equity,-1.0
37,301186 CH Equity,-1.0
38,600261 CH Equity,-1.0
39,600302 CH Equity,-1.0
40,600370 CH Equity,-1.0
41,600388 CH Equity,-1.0
42,600396 CH Equity,-1.0
43,600433 CH Equity,-1.0
44,600816 CH Equity,-1.0
45,600989 CH Equity,-1.0
46,601116 CH Equity,-1.0
47,601117 CH Equity,-1.0
48,601231 CH Equity,-1.0
49,601599 CH Equity,-1.0
50,601811 CH Equity,-1.0
51,603070 CH Equity,-1.0
52,603128 CH Equity,-1.0
53,603133 CH Equity,-1.0
54,603230 CH Equity,-1.0
55,603335 CH Equity,-1.0
56,603527 CH Equity,-1.0
57,603555 CH Equity,-1.0
58,603557 CH Equity,-1.0
59,603677 CH Equity,-1.0
60,603712 CH Equity,-1.0
61,603878 CH Equity,-1.0
62,603917 CH Equity,-1.0
63,605376 CH Equity,-1.0
64,688071 CH Equity,-1.0
65,688117 CH Equity,-1.0
66,688128 CH Equity,-1.0
67,688246 CH Equity,-1.0
68,688358 CH Equity,-1.0
69,688388 CH Equity,-1.0
70,688793 CH Equity,-1.0
