,index,
0,000544 CH Equity,1.0
1,000759 CH Equity,1.0
2,000868 CH Equity,1.0
3,001202 CH Equity,-1.0
4,001266 CH Equity,1.0
5,002031 CH Equity,1.0
6,002037 CH Equity,-1.0
7,002049 CH Equity,1.0
8,002149 CH Equity,1.0
9,002151 CH Equity,-1.0
10,002186 CH Equity,-1.0
11,002194 CH Equity,-1.0
12,002229 CH Equity,-1.0
13,002290 CH Equity,1.0
14,002298 CH Equity,-1.0
15,002339 CH Equity,-1.0
16,002399 CH Equity,-1.0
17,002437 CH Equity,-1.0
18,002465 CH Equity,-1.0
19,002480 CH Equity,-1.0
20,002535 CH Equity,-1.0
21,002554 CH Equity,1.0
22,002594 CH Equity,1.0
23,002649 CH Equity,-1.0
24,002707 CH Equity,-1.0
25,002755 CH Equity,1.0
26,002810 CH Equity,-1.0
27,002850 CH Equity,-1.0
28,002939 CH Equity,1.0
29,002984 CH Equity,-1.0
30,300030 CH Equity,-1.0
31,300037 CH Equity,1.0
32,300053 CH Equity,-1.0
33,300073 CH Equity,1.0
34,300106 CH Equity,-1.0
35,300238 CH Equity,-1.0
36,300240 CH Equity,-1.0
37,300246 CH Equity,-1.0
38,300271 CH Equity,-1.0
39,300309 CH Equity,1.0
40,300323 CH Equity,-1.0
41,300353 CH Equity,-1.0
42,300382 CH Equity,1.0
43,300439 CH Equity,-1.0
44,300506 CH Equity,1.0
45,300673 CH Equity,-1.0
46,300725 CH Equity,1.0
47,300741 CH Equity,-1.0
48,300861 CH Equity,1.0
49,300868 CH Equity,-1.0
50,300877 CH Equity,-1.0
51,300947 CH Equity,-1.0
52,300989 CH Equity,-1.0
53,301024 CH Equity,1.0
54,301028 CH Equity,-1.0
55,301061 CH Equity,-1.0
56,301077 CH Equity,-1.0
57,301113 CH Equity,-1.0
58,301207 CH Equity,-1.0
59,600072 CH Equity,-1.0
60,600103 CH Equity,-1.0
61,600226 CH Equity,1.0
62,600300 CH Equity,-1.0
63,600399 CH Equity,-1.0
64,600499 CH Equity,1.0
65,600518 CH Equity,-1.0
66,600520 CH Equity,1.0
67,600551 CH Equity,-1.0
68,600660 CH Equity,1.0
69,600707 CH Equity,1.0
70,600718 CH Equity,-1.0
71,601199 CH Equity,-1.0
72,601500 CH Equity,1.0
73,601789 CH Equity,-1.0
74,603001 CH Equity,-1.0
75,603008 CH Equity,-1.0
76,603032 CH Equity,1.0
77,603035 CH Equity,1.0
78,603076 CH Equity,1.0
79,603083 CH Equity,-1.0
80,603116 CH Equity,-1.0
81,603129 CH Equity,-1.0
82,603227 CH Equity,1.0
83,603277 CH Equity,1.0
84,603317 CH Equity,-1.0
85,603399 CH Equity,1.0
86,603595 CH Equity,1.0
87,603616 CH Equity,-1.0
88,603628 CH Equity,1.0
89,603697 CH Equity,1.0
90,603703 CH Equity,-1.0
91,603726 CH Equity,-1.0
92,603799 CH Equity,1.0
93,603822 CH Equity,-1.0
94,603869 CH Equity,-1.0
95,603876 CH Equity,1.0
96,603956 CH Equity,-1.0
97,603995 CH Equity,1.0
98,605068 CH Equity,1.0
99,605080 CH Equity,-1.0
100,605099 CH Equity,1.0
101,605158 CH Equity,-1.0
102,605339 CH Equity,-1.0
103,688030 CH Equity,-1.0
104,688099 CH Equity,-1.0
105,688159 CH Equity,-1.0
106,688350 CH Equity,-1.0
107,688386 CH Equity,1.0
108,688558 CH Equity,-1.0
109,688568 CH Equity,-1.0
110,688609 CH Equity,-1.0
