,index,
0,000048 CH Equity,-1.0
1,000404 CH Equity,1.0
2,000567 CH Equity,1.0
3,000581 CH Equity,1.0
4,000636 CH Equity,1.0
5,000725 CH Equity,1.0
6,000756 CH Equity,1.0
7,000818 CH Equity,1.0
8,000995 CH Equity,1.0
9,000996 CH Equity,1.0
10,002056 CH Equity,-1.0
11,002196 CH Equity,1.0
12,002293 CH Equity,-1.0
13,002324 CH Equity,-1.0
14,002541 CH Equity,-1.0
15,002582 CH Equity,1.0
16,002673 CH Equity,1.0
17,002732 CH Equity,1.0
18,002751 CH Equity,1.0
19,002880 CH Equity,-1.0
20,002925 CH Equity,1.0
21,002933 CH Equity,-1.0
22,300039 CH Equity,1.0
23,300102 CH Equity,1.0
24,300111 CH Equity,-1.0
25,300171 CH Equity,-1.0
26,300253 CH Equity,1.0
27,300390 CH Equity,-1.0
28,300400 CH Equity,-1.0
29,300451 CH Equity,1.0
30,300470 CH Equity,1.0
31,300492 CH Equity,-1.0
32,300519 CH Equity,-1.0
33,300572 CH Equity,-1.0
34,300787 CH Equity,-1.0
35,300831 CH Equity,1.0
36,300933 CH Equity,1.0
37,300982 CH Equity,-1.0
38,301051 CH Equity,1.0
39,600008 CH Equity,1.0
40,600182 CH Equity,1.0
41,600452 CH Equity,-1.0
42,600506 CH Equity,-1.0
43,600803 CH Equity,-1.0
44,600927 CH Equity,1.0
45,601179 CH Equity,1.0
46,601375 CH Equity,1.0
47,601528 CH Equity,1.0
48,601601 CH Equity,-1.0
49,603028 CH Equity,1.0
50,603093 CH Equity,1.0
51,603595 CH Equity,-1.0
52,603738 CH Equity,1.0
53,603987 CH Equity,-1.0
54,605177 CH Equity,1.0
55,688068 CH Equity,-1.0
56,688117 CH Equity,-1.0
57,688133 CH Equity,-1.0
58,688298 CH Equity,-1.0
59,688358 CH Equity,-1.0
60,688368 CH Equity,1.0
61,688551 CH Equity,-1.0
62,688621 CH Equity,-1.0
63,688628 CH Equity,-1.0
64,688696 CH Equity,1.0
65,688728 CH Equity,1.0
