,index,
0,ASB AU Equity,-1.0
1,AWC AU Equity,1.0
2,AZJ AU Equity,1.0
3,BPT AU Equity,1.0
4,CAR AU Equity,1.0
5,CHC AU Equity,1.0
6,CIP AU Equity,1.0
7,CLW AU Equity,1.0
8,GMG AU Equity,1.0
9,IAG AU Equity,-1.0
10,IGO AU Equity,1.0
11,LYC AU Equity,1.0
12,MIN AU Equity,1.0
13,MSB AU Equity,1.0
14,PME AU Equity,1.0
15,PNI AU Equity,1.0
16,RSG AU Equity,1.0
17,SEK AU Equity,1.0
0,003850 KS Equity,1.0
1,004170 KS Equity,1.0
2,036460 KS Equity,-1.0
3,078930 KS Equity,-1.0
4,214320 KS Equity,1.0
5,302440 KS Equity,1.0
6,316140 KS Equity,1.0
7,326030 KS Equity,1.0
0,VRTX US Equity,1.0
0,APNT IN Equity,-1.0
1,HUVR IN Equity,1.0
0,1928 JT Equity,-1.0
1,4183 JT Equity,-1.0
2,6301 JT Equity,-1.0
3,7272 JT Equity,-1.0
4,8354 JT Equity,-1.0
5,8628 JT Equity,-1.0
6,9434 JT Equity,-1.0
0,0270 HK Equity,-1.0
1,3692 HK Equity,1.0
2,6862 HK Equity,-1.0
0,1446 JT Equity,1.0
1,1712 JT Equity,1.0
2,1766 JT Equity,-1.0
3,1885 JT Equity,-1.0
4,1909 JT Equity,-1.0
5,1928 JT Equity,-1.0
6,2003 JT Equity,-1.0
7,2294 JT Equity,-1.0
8,2433 JT Equity,1.0
9,3141 JT Equity,1.0
10,3148 JT Equity,1.0
11,3172 JT Equity,-1.0
12,3392 JT Equity,-1.0
13,3475 JT Equity,-1.0
14,3486 JT Equity,-1.0
15,3661 JT Equity,1.0
16,3673 JT Equity,1.0
17,3677 JT Equity,1.0
18,3837 JT Equity,1.0
19,3880 JT Equity,1.0
20,3902 JT Equity,1.0
21,3912 JT Equity,1.0
22,3924 JT Equity,-1.0
23,3950 JT Equity,-1.0
24,3984 JT Equity,1.0
25,4088 JT Equity,-1.0
26,4183 JT Equity,-1.0
27,4350 JT Equity,-1.0
28,4432 JT Equity,1.0
29,4443 JT Equity,1.0
30,4462 JT Equity,-1.0
31,4559 JT Equity,1.0
32,4733 JT Equity,1.0
33,4739 JT Equity,1.0
34,4813 JT Equity,1.0
35,4847 JT Equity,1.0
36,4929 JT Equity,-1.0
37,4956 JT Equity,-1.0
38,5015 JT Equity,-1.0
39,5269 JT Equity,-1.0
40,5393 JT Equity,-1.0
41,5410 JT Equity,-1.0
42,5602 JT Equity,-1.0
43,5658 JT Equity,-1.0
44,5726 JT Equity,-1.0
45,5929 JT Equity,-1.0
46,6037 JT Equity,-1.0
47,6082 JT Equity,1.0
48,6196 JT Equity,1.0
49,6272 JT Equity,-1.0
50,6301 JT Equity,-1.0
51,6413 JT Equity,-1.0
52,6462 JT Equity,-1.0
53,6569 JT Equity,-1.0
54,6704 JT Equity,-1.0
55,6723 JT Equity,1.0
56,6754 JT Equity,-1.0
57,6908 JT Equity,1.0
58,7060 JT Equity,-1.0
59,7085 JT Equity,1.0
60,7130 JT Equity,-1.0
61,7272 JT Equity,-1.0
62,7327 JT Equity,-1.0
63,7537 JT Equity,-1.0
64,7640 JT Equity,1.0
65,7775 JT Equity,-1.0
66,7914 JT Equity,-1.0
67,7999 JT Equity,-1.0
68,8018 JT Equity,-1.0
69,8068 JT Equity,-1.0
70,8179 JT Equity,1.0
71,8227 JT Equity,-1.0
72,8244 JT Equity,1.0
73,8354 JT Equity,-1.0
74,8369 JT Equity,-1.0
75,8418 JT Equity,-1.0
76,8425 JT Equity,-1.0
77,8591 JT Equity,-1.0
78,8596 JT Equity,-1.0
79,8628 JT Equity,-1.0
80,8848 JT Equity,1.0
81,8850 JT Equity,-1.0
82,8928 JT Equity,-1.0
83,9434 JT Equity,-1.0
84,9513 JT Equity,-1.0
85,9603 JT Equity,1.0
86,9763 JT Equity,-1.0
87,9900 JT Equity,1.0
0,01038 HK Equity,-1.0
1,06862 HK Equity,-1.0
0,1038  HK Equity,-1.0
1,1057  HK Equity,1.0
2,1208  HK Equity,1.0
3,1310  HK Equity,1.0
4,177  HK Equity,1.0
5,179  HK Equity,1.0
6,1816  HK Equity,-1.0
7,1821  HK Equity,1.0
8,270  HK Equity,-1.0
9,3360  HK Equity,-1.0
10,3618  HK Equity,1.0
11,3692  HK Equity,1.0
12,3866  HK Equity,-1.0
13,512  HK Equity,1.0
14,604  HK Equity,1.0
15,6198  HK Equity,1.0
16,670  HK Equity,1.0
17,6862  HK Equity,-1.0
18,719  HK Equity,1.0
19,9858  HK Equity,1.0
20,9926  HK Equity,1.0
