,index,
0,IAG AU Equity,1.0
1,MND AU Equity,1.0
2,ORG AU Equity,-1.0
3,SSM AU Equity,1.0
0,000120 KS Equity,-1.0
1,004990 KS Equity,-1.0
2,007310 KS Equity,1.0
3,009540 KS Equity,-1.0
4,014680 KS Equity,-1.0
5,018880 KS Equity,1.0
6,028260 KS Equity,1.0
7,088350 KS Equity,1.0
8,139480 KS Equity,1.0
9,326030 KS Equity,-1.0
0,CTAS US Equity,-1.0
1,XEL US Equity,-1.0
0,TTMT IN Equity,-1.0
0,1802 JT Equity,-1.0
1,3405 JT Equity,-1.0
2,4004 JT Equity,1.0
3,4543 JT Equity,-2.0
4,6103 JT Equity,1.0
5,6301 JT Equity,-1.0
6,6361 JT Equity,-1.0
7,6367 JT Equity,-1.0
8,7003 JT Equity,-1.0
9,8035 JT Equity,-1.0
