,index,
0,AMP AU Equity,-1.0
1,ILU AU Equity,-1.0
2,MQG AU Equity,-1.0
3,NAB AU Equity,-1.0
4,PLS AU Equity,-1.0
0,005380 KS Equity,-1.0
1,006120 KS Equity,-1.0
2,011210 KS Equity,-1.0
3,029780 KS Equity,-1.0
4,034220 KS Equity,-1.0
5,034730 KS Equity,-1.0
6,066570 KS Equity,-1.0
7,120110 KS Equity,-1.0
8,204320 KS Equity,-1.0
0,TATACONS IN Equity,-1.0
0,2531 JT Equity,-1.0
1,3103 JT Equity,-1.0
2,5108 JT Equity,-1.0
3,6674 JT Equity,-1.0
4,7011 JT Equity,-1.0
5,7951 JT Equity,-1.0
6,8628 JT Equity,-1.0
7,9009 JT Equity,-1.0
0,2531 JT Equity,-1.0
1,3103 JT Equity,-1.0
2,5108 JT Equity,-1.0
3,6674 JT Equity,-1.0
4,7011 JT Equity,-1.0
5,7951 JT Equity,-1.0
6,8628 JT Equity,-1.0
7,9009 JT Equity,-1.0
0,603288 CH Equity,-1.0
0,012700 KS Equity,-1.0
1,027360 KS Equity,-1.0
2,035620 KS Equity,-1.0
3,035810 KS Equity,-1.0
4,036030 KS Equity,-1.0
5,036090 KS Equity,-1.0
6,037760 KS Equity,-1.0
7,039420 KS Equity,-1.0
8,040610 KS Equity,-1.0
9,041520 KS Equity,-1.0
10,043260 KS Equity,-1.0
11,044180 KS Equity,-1.0
12,045300 KS Equity,-1.0
13,045340 KS Equity,-1.0
14,046310 KS Equity,-1.0
15,047080 KS Equity,-1.0
16,047770 KS Equity,-1.0
17,051360 KS Equity,-1.0
18,052300 KS Equity,-1.0
19,052420 KS Equity,-1.0
20,052900 KS Equity,-1.0
21,053080 KS Equity,-1.0
22,053580 KS Equity,-1.0
23,054090 KS Equity,-1.0
24,054410 KS Equity,-1.0
25,056360 KS Equity,-1.0
26,057540 KS Equity,-1.0
27,060570 KS Equity,-1.0
28,065130 KS Equity,-1.0
29,066430 KS Equity,-1.0
30,066900 KS Equity,-1.0
31,067010 KS Equity,-1.0
32,068930 KS Equity,-1.0
33,069080 KS Equity,-1.0
34,072950 KS Equity,-1.0
35,073010 KS Equity,-1.0
36,079170 KS Equity,-1.0
37,079940 KS Equity,-1.0
38,082270 KS Equity,-1.0
39,083930 KS Equity,-1.0
40,084180 KS Equity,-1.0
41,084850 KS Equity,-1.0
42,086450 KS Equity,-1.0
43,087260 KS Equity,-1.0
44,088910 KS Equity,-1.0
45,091700 KS Equity,-1.0
46,093520 KS Equity,-1.0
47,094840 KS Equity,-1.0
48,094860 KS Equity,-1.0
49,097520 KS Equity,-1.0
50,098120 KS Equity,-1.0
51,098460 KS Equity,-1.0
52,099750 KS Equity,-1.0
53,100790 KS Equity,-1.0
54,101170 KS Equity,-1.0
55,102710 KS Equity,-1.0
56,103840 KS Equity,-1.0
57,119860 KS Equity,-1.0
58,123410 KS Equity,-1.0
59,123840 KS Equity,-1.0
60,126640 KS Equity,-1.0
61,138070 KS Equity,-1.0
62,143160 KS Equity,-1.0
63,144960 KS Equity,-1.0
64,175140 KS Equity,-1.0
65,178320 KS Equity,-1.0
66,178920 KS Equity,-1.0
67,183300 KS Equity,-1.0
68,184230 KS Equity,-1.0
69,203650 KS Equity,-1.0
70,205100 KS Equity,-1.0
71,217480 KS Equity,-1.0
72,222080 KS Equity,-1.0
73,225220 KS Equity,-1.0
74,228340 KS Equity,-1.0
75,230360 KS Equity,-1.0
76,237820 KS Equity,-1.0
77,239340 KS Equity,-1.0
78,241520 KS Equity,-1.0
79,251370 KS Equity,-1.0
80,263690 KS Equity,-1.0
81,263800 KS Equity,-1.0
82,264850 KS Equity,-1.0
83,267980 KS Equity,-1.0
84,290270 KS Equity,-1.0
85,294630 KS Equity,-1.0
86,299900 KS Equity,-1.0
87,303030 KS Equity,-1.0
88,313760 KS Equity,-1.0
89,317120 KS Equity,-1.0
90,331920 KS Equity,-1.0
91,347740 KS Equity,-1.0
92,356890 KS Equity,-1.0
93,357780 KS Equity,-1.0
94,361670 KS Equity,-1.0
95,373340 KS Equity,-1.0
0,1430 JT Equity,-1.0
1,1914 JT Equity,-1.0
2,2212 JT Equity,-1.0
3,2489 JT Equity,-1.0
4,2531 JT Equity,-1.0
5,2681 JT Equity,-1.0
6,2930 JT Equity,-1.0
7,3103 JT Equity,-1.0
8,3135 JT Equity,-1.0
9,3277 JT Equity,-1.0
10,3291 JT Equity,-1.0
11,3457 JT Equity,-1.0
12,3549 JT Equity,-1.0
13,3675 JT Equity,-1.0
14,3837 JT Equity,-1.0
15,3939 JT Equity,-1.0
16,3969 JT Equity,-1.0
17,4326 JT Equity,-1.0
18,4403 JT Equity,-1.0
19,4449 JT Equity,-1.0
20,4471 JT Equity,-1.0
21,4613 JT Equity,-1.0
22,4626 JT Equity,-1.0
23,4739 JT Equity,-1.0
24,4776 JT Equity,-1.0
25,4813 JT Equity,-1.0
26,4820 JT Equity,-1.0
27,5011 JT Equity,-1.0
28,5108 JT Equity,-1.0
29,5391 JT Equity,-1.0
30,5933 JT Equity,-1.0
31,6058 JT Equity,-1.0
32,6171 JT Equity,-1.0
33,6345 JT Equity,-1.0
34,6489 JT Equity,-1.0
35,6615 JT Equity,-1.0
36,6619 JT Equity,-1.0
37,6674 JT Equity,-1.0
38,6728 JT Equity,-1.0
39,6879 JT Equity,-1.0
40,6947 JT Equity,-1.0
41,6963 JT Equity,-1.0
42,7011 JT Equity,-1.0
43,7164 JT Equity,-1.0
44,7187 JT Equity,-1.0
45,7271 JT Equity,-1.0
46,7522 JT Equity,-1.0
47,7561 JT Equity,-1.0
48,7820 JT Equity,-1.0
49,7864 JT Equity,-1.0
50,7885 JT Equity,-1.0
51,7931 JT Equity,-1.0
52,7951 JT Equity,-1.0
53,8011 JT Equity,-1.0
54,8077 JT Equity,-1.0
55,8084 JT Equity,-1.0
56,8086 JT Equity,-1.0
57,8131 JT Equity,-1.0
58,8159 JT Equity,-1.0
59,8628 JT Equity,-1.0
60,8917 JT Equity,-1.0
61,9009 JT Equity,-1.0
62,9308 JT Equity,-1.0
63,9351 JT Equity,-1.0
64,9364 JT Equity,-1.0
65,9872 JT Equity,-1.0
66,9945 JT Equity,-1.0
