,2472
000025 CH Equity,-1.0
000031 CH Equity,1.0
000563 CH Equity,1.0
002049 CH Equity,-1.0
002056 CH Equity,1.0
002064 CH Equity,-1.0
002242 CH Equity,1.0
002353 CH Equity,-1.0
002625 CH Equity,2.0
002821 CH Equity,-1.0
002839 CH Equity,-1.0
002926 CH Equity,1.0
300182 CH Equity,1.0
300199 CH Equity,-1.0
300418 CH Equity,1.0
600056 CH Equity,-1.0
600291 CH Equity,1.0
600380 CH Equity,1.0
600521 CH Equity,1.0
600567 CH Equity,1.0
600597 CH Equity,-1.0
600633 CH Equity,1.0
600673 CH Equity,1.0
600757 CH Equity,-1.0
600759 CH Equity,1.0
600763 CH Equity,1.0
600859 CH Equity,-1.0
600862 CH Equity,1.0
600875 CH Equity,-1.0
600881 CH Equity,-1.0
600901 CH Equity,-1.0
600967 CH Equity,1.0
601118 CH Equity,-1.0
601860 CH Equity,-1.0
603766 CH Equity,1.0
