,4480
10 HK Equity,1.0
1060 HK Equity,-1.0
1071 HK Equity,1.0
1093 HK Equity,-1.0
12 HK Equity,-1.0
1398 HK Equity,1.0
1533 HK Equity,1.0
168 HK Equity,1.0
17 HK Equity,1.0
2005 HK Equity,1.0
2068 HK Equity,1.0
2318 HK Equity,-1.0
2319 HK Equity,1.0
257 HK Equity,-1.0
2607 HK Equity,-1.0
2611 HK Equity,-1.0
2628 HK Equity,-1.0
270 HK Equity,1.0
285 HK Equity,1.0
317 HK Equity,1.0
3319 HK Equity,1.0
3323 HK Equity,-1.0
3396 HK Equity,-1.0
3883 HK Equity,1.0
3888 HK Equity,-1.0
3993 HK Equity,1.0
525 HK Equity,-1.0
6030 HK Equity,1.0
636 HK Equity,1.0
6808 HK Equity,1.0
700 HK Equity,-1.0
