,3215
005290 KS Equity,-1.0
007390 KS Equity,-1.0
018000 KS Equity,-1.0
022100 KS Equity,1.0
032500 KS Equity,1.0
033290 KS Equity,-1.0
038500 KS Equity,-1.0
041190 KS Equity,-1.0
042000 KS Equity,1.0
056190 KS Equity,-1.0
060150 KS Equity,2.0
080160 KS Equity,-1.0
095700 KS Equity,1.0
108230 KS Equity,-1.0
122870 KS Equity,-1.0
145020 KS Equity,-1.0
166090 KS Equity,1.0
183300 KS Equity,1.0
194480 KS Equity,-1.0
215200 KS Equity,-1.0
230360 KS Equity,-1.0
267980 KS Equity,-1.0
290650 KS Equity,1.0
