,4465
ADBE US Equity,1.0
ADI US Equity,-1.0
ADSK US Equity,1.0
AMAT US Equity,1.0
AMD US Equity,1.0
AMZN US Equity,-1.0
ANSS US Equity,1.0
BIIB US Equity,1.0
CERN US Equity,1.0
CHKP US Equity,-1.0
CMCSA US Equity,-1.0
COST US Equity,1.0
CPRT US Equity,-1.0
CTSH US Equity,-1.0
DLTR US Equity,-1.0
DOCU US Equity,-1.0
EBAY US Equity,-1.0
FAST US Equity,1.0
FB US Equity,-1.0
FISV US Equity,-1.0
FOX US Equity,1.0
FOXA US Equity,1.0
GILD US Equity,1.0
GOOG US Equity,1.0
GOOGL US Equity,1.0
IDXX US Equity,1.0
ILMN US Equity,1.0
INTC US Equity,1.0
KHC US Equity,-1.0
KLAC US Equity,1.0
LRCX US Equity,-1.0
MCHP US Equity,-1.0
MELI US Equity,1.0
MSFT US Equity,1.0
MU US Equity,-1.0
NFLX US Equity,-1.0
NVDA US Equity,1.0
OKTA US Equity,-1.0
PAYX US Equity,1.0
PCAR US Equity,1.0
REGN US Equity,1.0
ROST US Equity,-1.0
SGEN US Equity,-1.0
SIRI US Equity,-1.0
SNPS US Equity,1.0
TCOM US Equity,-1.0
TEAM US Equity,1.0
TXN US Equity,-1.0
VRSK US Equity,1.0
VRSN US Equity,1.0
VRTX US Equity,-1.0
WBA US Equity,1.0
WDAY US Equity,1.0
XLNX US Equity,-1.0
