,4460
1332 JT Equity,-1.0
1333 JT Equity,1.0
1801 JT Equity,1.0
2871 JT Equity,1.0
3103 JT Equity,1.0
3401 JT Equity,-2.0
4021 JT Equity,-1.0
4689 JT Equity,1.0
5214 JT Equity,2.0
5406 JT Equity,1.0
6479 JT Equity,1.0
7004 JT Equity,-1.0
7269 JT Equity,1.0
7270 JT Equity,1.0
7731 JT Equity,1.0
7912 JT Equity,-1.0
8035 JT Equity,1.0
8267 JT Equity,-1.0
8303 JT Equity,-1.0
8309 JT Equity,-1.0
8316 JT Equity,-1.0
8354 JT Equity,1.0
8355 JT Equity,-1.0
8766 JT Equity,1.0
9001 JT Equity,-1.0
9021 JT Equity,-1.0
