,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
2352 JT Equity,2022-05-07,BUY,Wow World Inc,60000,0,0,1088.0,130.56,500000,0,0,Quant,Pattern 87,topix
3110 JT Equity,2022-05-07,SELL,日东纺,-25904,0,0,2520.0,130.56,500000,0,0,Quant,Pattern 87,topix
3246 JT Equity,2022-05-07,BUY,Kose房地产有限公司,103127,0,0,633.0,130.56,500000,0,0,Quant,Pattern 87,topix
3486 JT Equity,2022-05-07,SELL,Global Link Management KK,-70496,0,0,926.0,130.56,500000,0,0,Quant,Pattern 87,topix
3577 JT Equity,2022-05-07,BUY,Tokai Senko KK,57464,0,0,1136.0,130.56,500000,0,0,Quant,Pattern 87,topix
4041 JT Equity,2022-05-07,BUY,日本曹达,18598,0,0,3510.0,130.56,500000,0,0,Quant,Pattern 87,topix
4343 JT Equity,2022-05-07,BUY,永旺幻想有限公司,29767,0,0,2193.0,130.56,500000,0,0,Quant,Pattern 87,topix
4344 JT Equity,2022-05-07,BUY,Sourcenext公司,368813,0,0,177.0,130.56,500000,0,0,Quant,Pattern 87,topix
4420 JT Equity,2022-05-07,BUY,eSOL Co Ltd,99664,0,0,655.0,130.56,500000,0,0,Quant,Pattern 87,topix
4550 JT Equity,2022-05-07,BUY,日水制药株式会社,65542,0,0,996.0,130.56,500000,0,0,Quant,Pattern 87,topix
000039 CH Equity,2022-05-07,SELL,中集集团,-260185,0,0,12.91,6.718,500000,0,0,Quant,Pattern 87,CN-500
000519 CH Equity,2022-05-07,SELL,中兵红箭,-161645,0,0,20.78,6.718,500000,0,0,Quant,Pattern 87,CN-500
000553 CH Equity,2022-05-07,BUY,安道麦,676535,0,0,9.93,6.718,500000,0,0,Quant,Pattern 87,CN-500
000685 CH Equity,2022-05-07,BUY,中山公用,465235,0,0,7.22,6.718,500000,0,0,Quant,Pattern 87,CN-500
000761 CH Equity,2022-05-07,BUY,本钢板材,815291,0,0,4.12,6.718,500000,0,0,Quant,Pattern 87,CN-500
000980 CH Equity,2022-05-07,BUY,*ST众泰,1094136,0,0,3.07,6.718,500000,0,0,Quant,Pattern 87,CN-500
000997 CH Equity,2022-05-07,SELL,新 大 陆,-278755,0,0,12.05,6.718,500000,0,0,Quant,Pattern 87,CN-500
002110 CH Equity,2022-05-07,BUY,三钢闽光,506636,0,0,6.63,6.718,500000,0,0,Quant,Pattern 87,CN-500
002572 CH Equity,2022-05-07,SELL,索菲亚,-180591,0,0,18.6,6.718,500000,0,0,Quant,Pattern 87,CN-500
002839 CH Equity,2022-05-07,SELL,张家港行,-662524,0,0,5.07,6.718,500000,0,0,Quant,Pattern 87,CN-500
9983 JT Equity,2022-05-07,BUY,FAST RETAIL-DRS,2129,0,0,61320.0,130.56,1000000,0,0,Quant,Pattern 87,JT
ALGN US Equity,2022-05-07,BUY,Align科技股份有限公司,1762,0,0,283.72,1.0,500000,0,0,Quant,Pattern 87,NDX
DXCM US Equity,2022-05-07,SELL,Dexcom股份有限公司,-1318,0,0,379.29,1.0,500000,0,0,Quant,Pattern 87,NDX
