,3099
AAL US Equity,-1.0
BF.B US Equity,-1.0
BMY US Equity,1.0
CMA US Equity,1.0
CME US Equity,-1.0
CRM US Equity,-1.0
DVN US Equity,1.0
EFX US Equity,-1.0
EL US Equity,1.0
EOG US Equity,-1.0
FE US Equity,-1.0
FOXA US Equity,1.0
GE US Equity,-1.0
GILD US Equity,1.0
INTC US Equity,1.0
JKHY US Equity,1.0
LNC US Equity,1.0
LNT US Equity,-1.0
MAS US Equity,-1.0
MDT US Equity,1.0
MKTX US Equity,-1.0
MMM US Equity,1.0
MO US Equity,1.0
PNW US Equity,-1.0
PPL US Equity,1.0
QRVO US Equity,-1.0
URI US Equity,-1.0
