,3180
1417 JT Equity,1.0
1430 JT Equity,1.0
1717 JT Equity,1.0
1719 JT Equity,1.0
1820 JT Equity,1.0
1852 JT Equity,-1.0
1968 JT Equity,-1.0
2053 JT Equity,1.0
2117 JT Equity,1.0
2207 JT Equity,1.0
2215 JT Equity,1.0
2229 JT Equity,1.0
2352 JT Equity,-1.0
2378 JT Equity,1.0
2418 JT Equity,-1.0
2485 JT Equity,-1.0
2593 JT Equity,1.0
2820 JT Equity,1.0
2975 JT Equity,1.0
3099 JT Equity,1.0
3321 JT Equity,1.0
3467 JT Equity,1.0
3569 JT Equity,1.0
3608 JT Equity,-1.0
3611 JT Equity,1.0
3630 JT Equity,-1.0
3675 JT Equity,1.0
3771 JT Equity,1.0
3817 JT Equity,-1.0
3920 JT Equity,-1.0
3934 JT Equity,1.0
3939 JT Equity,1.0
3965 JT Equity,-1.0
3985 JT Equity,1.0
4027 JT Equity,1.0
4041 JT Equity,1.0
4100 JT Equity,1.0
4187 JT Equity,1.0
4212 JT Equity,1.0
4216 JT Equity,-1.0
4298 JT Equity,-1.0
4343 JT Equity,1.0
4344 JT Equity,-1.0
4420 JT Equity,1.0
4550 JT Equity,-1.0
4709 JT Equity,-1.0
4765 JT Equity,1.0
4956 JT Equity,1.0
4967 JT Equity,1.0
4996 JT Equity,1.0
5333 JT Equity,1.0
5334 JT Equity,1.0
5401 JT Equity,-1.0
5702 JT Equity,-1.0
6134 JT Equity,1.0
6167 JT Equity,-1.0
6199 JT Equity,1.0
6218 JT Equity,1.0
6291 JT Equity,1.0
6302 JT Equity,1.0
6419 JT Equity,1.0
6455 JT Equity,1.0
6544 JT Equity,-1.0
6745 JT Equity,-1.0
6779 JT Equity,1.0
6785 JT Equity,1.0
6839 JT Equity,-1.0
6841 JT Equity,1.0
6904 JT Equity,1.0
6914 JT Equity,-1.0
6951 JT Equity,-1.0
6971 JT Equity,1.0
7186 JT Equity,-1.0
7190 JT Equity,-1.0
7199 JT Equity,1.0
7202 JT Equity,-1.0
7283 JT Equity,1.0
7309 JT Equity,1.0
7327 JT Equity,-1.0
7448 JT Equity,1.0
7451 JT Equity,1.0
7463 JT Equity,-1.0
7611 JT Equity,-1.0
7717 JT Equity,-1.0
7782 JT Equity,1.0
7888 JT Equity,-1.0
7956 JT Equity,1.0
7974 JT Equity,1.0
8015 JT Equity,-1.0
8041 JT Equity,1.0
8133 JT Equity,1.0
8150 JT Equity,-1.0
8153 JT Equity,1.0
8233 JT Equity,-1.0
8281 JT Equity,-1.0
8337 JT Equity,-1.0
8359 JT Equity,1.0
8362 JT Equity,-1.0
8518 JT Equity,-1.0
8600 JT Equity,1.0
8708 JT Equity,1.0
8766 JT Equity,1.0
8769 JT Equity,-1.0
8871 JT Equity,-1.0
9022 JT Equity,-1.0
9069 JT Equity,-1.0
9081 JT Equity,1.0
9202 JT Equity,1.0
9302 JT Equity,-1.0
9304 JT Equity,-1.0
9375 JT Equity,-1.0
9380 JT Equity,-1.0
9600 JT Equity,1.0
9613 JT Equity,1.0
9757 JT Equity,1.0
9769 JT Equity,1.0
9790 JT Equity,-1.0
9810 JT Equity,1.0
9837 JT Equity,-1.0
