,3220
ACWI US Equity,-1.0
AFK US Equity,-1.0
AIVI US Equity,1.0
BDCZ US Equity,1.0
BJAN US Equity,1.0
BSJP US Equity,-1.0
BTEC US Equity,-1.0
CARZ US Equity,-1.0
CGW US Equity,-1.0
CHGX US Equity,1.0
CNYA US Equity,-1.0
CWB US Equity,-1.0
DALT US Equity,-1.0
DBE US Equity,-1.0
DBEF US Equity,-1.0
DDM US Equity,-1.0
DHS US Equity,-1.0
DIV US Equity,-1.0
DMRL US Equity,1.0
DRIV US Equity,-1.0
DRN US Equity,-1.0
DUSA US Equity,1.0
EAGG US Equity,1.0
ECH US Equity,-1.0
EFAV US Equity,-1.0
EMCR US Equity,-1.0
EQWL US Equity,1.0
ERX US Equity,-1.0
ESGG US Equity,1.0
EWN US Equity,-1.0
EWT US Equity,1.0
EWZS US Equity,1.0
FAZ US Equity,-1.0
FDM US Equity,-1.0
FIVG US Equity,-1.0
FLCO US Equity,-1.0
FLMI US Equity,1.0
FMF US Equity,-1.0
FNDB US Equity,1.0
FNDE US Equity,-1.0
FNX US Equity,-1.0
FSMB US Equity,-1.0
FSMD US Equity,1.0
FTCS US Equity,-1.0
FTRI US Equity,-1.0
FTSD US Equity,-1.0
FTSM US Equity,-1.0
FXC US Equity,-1.0
GDX US Equity,1.0
GLD US Equity,-1.0
GSIE US Equity,1.0
HOMZ US Equity,1.0
HYXF US Equity,-1.0
IBMN US Equity,-1.0
IEI US Equity,-1.0
IGEB US Equity,1.0
ILF US Equity,-1.0
IMCB US Equity,1.0
IQDY US Equity,1.0
ISCF US Equity,1.0
ISMD US Equity,-1.0
IWN US Equity,1.0
IWO US Equity,-1.0
IYM US Equity,1.0
JJC US Equity,1.0
JVAL US Equity,-1.0
KARS US Equity,-1.0
KBWP US Equity,1.0
LEMB US Equity,-1.0
LIT US Equity,-1.0
LQD US Equity,-1.0
LQDH US Equity,-1.0
LRGF US Equity,1.0
LSAF US Equity,-1.0
MEAR US Equity,-1.0
MOTI US Equity,-1.0
NEAR US Equity,1.0
NOBL US Equity,-1.0
NORW US Equity,-1.0
NTSX US Equity,1.0
NUMG US Equity,-1.0
NUMV US Equity,2.0
OILK US Equity,-1.0
OMFL US Equity,-1.0
PBJ US Equity,1.0
PJUL US Equity,-1.0
PPTY US Equity,-2.0
PSL US Equity,-1.0
PTF US Equity,1.0
QEMM US Equity,-1.0
QUAL US Equity,-1.0
QYLD US Equity,1.0
RDIV US Equity,1.0
REMX US Equity,1.0
RFCI US Equity,1.0
RWO US Equity,1.0
SCHF US Equity,-1.0
SHYL US Equity,1.0
SJB US Equity,1.0
SMMD US Equity,1.0
SOXS US Equity,1.0
SPBO US Equity,-1.0
SPIP US Equity,1.0
SPYD US Equity,1.0
SPYX US Equity,-1.0
SRVR US Equity,1.0
SSPY US Equity,-1.0
STIP US Equity,-1.0
SUB US Equity,-1.0
SVXY US Equity,-1.0
TBF US Equity,-1.0
TILT US Equity,-1.0
TLTD US Equity,1.0
TNA US Equity,1.0
VBR US Equity,1.0
VDE US Equity,1.0
VIDI US Equity,-1.0
VOOV US Equity,-1.0
VOT US Equity,-1.0
VYMI US Equity,1.0
XLB US Equity,1.0
XLE US Equity,-1.0
XLK US Equity,-1.0
XLU US Equity,1.0
XLV US Equity,1.0
XMLV US Equity,-1.0
