,2506
000039 CH Equity,-1.0
000060 CH Equity,1.0
000400 CH Equity,1.0
000401 CH Equity,-1.0
000564 CH Equity,-1.0
000600 CH Equity,-1.0
000930 CH Equity,1.0
002038 CH Equity,-1.0
002368 CH Equity,-1.0
002375 CH Equity,-1.0
002385 CH Equity,-1.0
002437 CH Equity,1.0
002503 CH Equity,-1.0
002507 CH Equity,1.0
002572 CH Equity,-1.0
002589 CH Equity,-1.0
002672 CH Equity,1.0
002925 CH Equity,1.0
002941 CH Equity,1.0
600064 CH Equity,-1.0
600125 CH Equity,-1.0
600171 CH Equity,-1.0
600511 CH Equity,2.0
600545 CH Equity,1.0
600643 CH Equity,-1.0
600718 CH Equity,-1.0
600748 CH Equity,-1.0
600754 CH Equity,-1.0
600782 CH Equity,1.0
600804 CH Equity,-1.0
600881 CH Equity,-1.0
600970 CH Equity,-1.0
601717 CH Equity,1.0
603486 CH Equity,-1.0
603766 CH Equity,1.0
603877 CH Equity,1.0
