,4479
1033 HK Equity,1.0
1055 HK Equity,-1.0
1065 HK Equity,-1.0
1071 HK Equity,-1.0
1072 HK Equity,1.0
1093 HK Equity,1.0
1099 HK Equity,1.0
1109 HK Equity,-1.0
1113 HK Equity,-1.0
1138 HK Equity,-1.0
1157 HK Equity,1.0
1171 HK Equity,1.0
1186 HK Equity,1.0
1193 HK Equity,1.0
12 HK Equity,1.0
1211 HK Equity,1.0
123 HK Equity,1.0
1233 HK Equity,1.0
1299 HK Equity,1.0
1308 HK Equity,-1.0
1310 HK Equity,-1.0
1313 HK Equity,-1.0
1316 HK Equity,1.0
1339 HK Equity,-1.0
1347 HK Equity,1.0
1349 HK Equity,-1.0
135 HK Equity,-1.0
1375 HK Equity,-1.0
1378 HK Equity,1.0
14 HK Equity,1.0
144 HK Equity,-1.0
1456 HK Equity,-1.0
1458 HK Equity,-1.0
148 HK Equity,1.0
152 HK Equity,1.0
1528 HK Equity,1.0
1533 HK Equity,-1.0
1585 HK Equity,1.0
1658 HK Equity,1.0
1766 HK Equity,-1.0
177 HK Equity,-1.0
1787 HK Equity,1.0
1801 HK Equity,-1.0
1810 HK Equity,1.0
1812 HK Equity,1.0
1813 HK Equity,-1.0
1833 HK Equity,1.0
187 HK Equity,1.0
1877 HK Equity,1.0
1882 HK Equity,-1.0
1898 HK Equity,-1.0
19 HK Equity,1.0
1918 HK Equity,-1.0
1919 HK Equity,-1.0
1928 HK Equity,-1.0
1988 HK Equity,-1.0
1995 HK Equity,1.0
2005 HK Equity,-1.0
2013 HK Equity,1.0
2020 HK Equity,1.0
2039 HK Equity,1.0
2068 HK Equity,-1.0
2202 HK Equity,-1.0
2238 HK Equity,-1.0
2282 HK Equity,1.0
2314 HK Equity,-1.0
2328 HK Equity,-1.0
2333 HK Equity,-1.0
2357 HK Equity,1.0
2388 HK Equity,1.0
257 HK Equity,1.0
2600 HK Equity,1.0
2611 HK Equity,1.0
2628 HK Equity,1.0
2669 HK Equity,1.0
268 HK Equity,-1.0
27 HK Equity,-1.0
2777 HK Equity,1.0
285 HK Equity,-1.0
2858 HK Equity,1.0
2880 HK Equity,-1.0
2883 HK Equity,1.0
2899 HK Equity,1.0
317 HK Equity,-1.0
323 HK Equity,-1.0
3319 HK Equity,-1.0
3331 HK Equity,1.0
338 HK Equity,-1.0
3383 HK Equity,-1.0
3669 HK Equity,1.0
384 HK Equity,-1.0
3866 HK Equity,1.0
3883 HK Equity,-1.0
3888 HK Equity,1.0
390 HK Equity,-1.0
3908 HK Equity,-1.0
392 HK Equity,1.0
3958 HK Equity,1.0
3968 HK Equity,-1.0
3988 HK Equity,-1.0
3996 HK Equity,-1.0
3998 HK Equity,1.0
410 HK Equity,-1.0
493 HK Equity,1.0
548 HK Equity,-1.0
553 HK Equity,-1.0
568 HK Equity,1.0
586 HK Equity,1.0
588 HK Equity,-1.0
598 HK Equity,1.0
6030 HK Equity,-1.0
604 HK Equity,1.0
6088 HK Equity,-1.0
6098 HK Equity,-1.0
6099 HK Equity,1.0
6158 HK Equity,1.0
659 HK Equity,1.0
669 HK Equity,1.0
6818 HK Equity,1.0
6826 HK Equity,1.0
6837 HK Equity,1.0
6862 HK Equity,1.0
6865 HK Equity,1.0
688 HK Equity,-1.0
6881 HK Equity,1.0
69 HK Equity,1.0
696 HK Equity,-1.0
719 HK Equity,-1.0
728 HK Equity,-1.0
763 HK Equity,1.0
772 HK Equity,-1.0
813 HK Equity,1.0
817 HK Equity,-1.0
836 HK Equity,-1.0
839 HK Equity,1.0
853 HK Equity,-1.0
857 HK Equity,1.0
867 HK Equity,-1.0
868 HK Equity,1.0
87 HK Equity,-1.0
873 HK Equity,-1.0
880 HK Equity,1.0
884 HK Equity,1.0
916 HK Equity,1.0
939 HK Equity,-1.0
941 HK Equity,-1.0
960 HK Equity,-1.0
966 HK Equity,-1.0
992 HK Equity,-1.0
995 HK Equity,-1.0
998 HK Equity,-1.0
