,3170
005290 KS Equity,1.0
006730 KS Equity,1.0
007390 KS Equity,1.0
018000 KS Equity,1.0
023410 KS Equity,1.0
028300 KS Equity,-1.0
029960 KS Equity,1.0
030190 KS Equity,-1.0
032500 KS Equity,1.0
033310 KS Equity,1.0
034230 KS Equity,-1.0
035760 KS Equity,1.0
036540 KS Equity,1.0
036810 KS Equity,1.0
038500 KS Equity,1.0
038540 KS Equity,1.0
041510 KS Equity,1.0
041960 KS Equity,1.0
045390 KS Equity,1.0
048530 KS Equity,1.0
056190 KS Equity,-1.0
060250 KS Equity,1.0
060720 KS Equity,-1.0
061970 KS Equity,1.0
064760 KS Equity,-1.0
069080 KS Equity,-1.0
074600 KS Equity,1.0
078020 KS Equity,-1.0
078340 KS Equity,1.0
080160 KS Equity,-1.0
082270 KS Equity,1.0
084370 KS Equity,1.0
084850 KS Equity,1.0
084990 KS Equity,-1.0
085660 KS Equity,1.0
086450 KS Equity,1.0
086900 KS Equity,1.0
090460 KS Equity,-1.0
091700 KS Equity,-1.0
092040 KS Equity,1.0
092190 KS Equity,-1.0
101490 KS Equity,-1.0
104830 KS Equity,-1.0
108230 KS Equity,1.0
112040 KS Equity,-1.0
131290 KS Equity,-1.0
137400 KS Equity,1.0
144510 KS Equity,1.0
145020 KS Equity,1.0
200130 KS Equity,1.0
204270 KS Equity,-1.0
214150 KS Equity,1.0
214450 KS Equity,-1.0
218410 KS Equity,-1.0
230360 KS Equity,1.0
235980 KS Equity,-1.0
237690 KS Equity,-1.0
253450 KS Equity,1.0
256840 KS Equity,-1.0
265520 KS Equity,1.0
267980 KS Equity,-1.0
272290 KS Equity,-1.0
278280 KS Equity,1.0
290650 KS Equity,-1.0
293490 KS Equity,1.0
298380 KS Equity,1.0
299660 KS Equity,1.0
323990 KS Equity,1.0
