,4503
001060 KS Equity,-1.0
001800 KS Equity,-1.0
002350 KS Equity,-1.0
003000 KS Equity,1.0
003850 KS Equity,-1.0
005440 KS Equity,1.0
008770 KS Equity,1.0
009150 KS Equity,-1.0
010130 KS Equity,-2.0
010140 KS Equity,1.0
014680 KS Equity,-1.0
015760 KS Equity,1.0
029780 KS Equity,-1.0
035250 KS Equity,1.0
042660 KS Equity,-1.0
047050 KS Equity,1.0
051910 KS Equity,-1.0
055550 KS Equity,1.0
066570 KS Equity,-1.0
097950 KS Equity,-1.0
105630 KS Equity,-1.0
138930 KS Equity,1.0
139480 KS Equity,-1.0
