,4453
1802 JT Equity,1.0
1803 JT Equity,1.0
2269 JT Equity,1.0
2502 JT Equity,1.0
2871 JT Equity,-1.0
4042 JT Equity,1.0
4188 JT Equity,-1.0
4452 JT Equity,-1.0
5019 JT Equity,1.0
5411 JT Equity,1.0
5706 JT Equity,1.0
6098 JT Equity,-1.0
6367 JT Equity,-1.0
6472 JT Equity,-1.0
6770 JT Equity,1.0
6902 JT Equity,1.0
6976 JT Equity,1.0
7186 JT Equity,1.0
7201 JT Equity,1.0
7205 JT Equity,-2.0
7731 JT Equity,-1.0
7912 JT Equity,1.0
8252 JT Equity,1.0
8253 JT Equity,-1.0
8630 JT Equity,1.0
9021 JT Equity,1.0
9022 JT Equity,-1.0
