,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
SONY US Equity,2022-06-10,BUY,索尼集团公司,5419,0,0,92.26,1.0,500000,0,0,Quant,Pattern 87,us_etf
UL US Equity,2022-06-10,SELL,联合利华公共有限公司,-10860,0,0,46.04,1.0,500000,0,0,Quant,Pattern 87,us_etf
012630 KS Equity,2022-06-10,BUY,现代产业开发控股有限公司,173337,0,0,7250.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
012750 KS Equity,2022-06-10,SELL,S1 公司(韩国),-18562,0,0,67700.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
017670 KS Equity,2022-06-10,BUY,SK电讯株式会社,22602,0,0,55600.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
020560 KS Equity,2022-06-10,SELL,韩亚航空,-68113,0,0,18450.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
021240 KS Equity,2022-06-10,BUY,熊津豪威有限公司,18954,0,0,66300.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
031430 KS Equity,2022-06-10,BUY,新世界国际株式会社,34956,0,0,35950.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
035250 KS Equity,2022-06-10,BUY,江原道公司,44406,0,0,28300.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
051900 KS Equity,2022-06-10,BUY,LG生活健康公司,1834,0,0,685000.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
081660 KS Equity,2022-06-10,SELL,斐乐韩国有限公司,-78299,0,0,32100.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
161390 KS Equity,2022-06-10,BUY,韩泰轮胎与技术株式会社,34715,0,0,36200.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
214320 KS Equity,2022-06-10,SELL,伊诺盛有限公司,-25134,0,0,50000.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
007390 KS Equity,2022-06-10,SELL,Naturecell Co Ltd,-66316,0,0,18950.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
023410 KS Equity,2022-06-10,SELL,Eugene Corp,-278338,0,0,4515.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
060150 KS Equity,2022-06-10,BUY,Insun ENT Co Ltd,251340,0,0,10000.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
064550 KS Equity,2022-06-10,SELL,Bioneer Corp,-42744,0,0,29400.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
096530 KS Equity,2022-06-10,BUY,Seegene股份有限公司,28956,0,0,43400.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
108320 KS Equity,2022-06-10,SELL,LX半导体株式会社,-10242,0,0,122700.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
213420 KS Equity,2022-06-10,BUY,Duk San Neolux有限公司,31496,0,0,39900.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
256840 KS Equity,2022-06-10,SELL,BNC Korea Co Ltd,-135566,0,0,9270.0,1256.7,1000000,0,0,Quant,Pattern 87,KS150
