,3054
ABT US Equity,-1.0
ADI US Equity,1.0
ADM US Equity,1.0
ADP US Equity,1.0
AIZ US Equity,1.0
ALB US Equity,-1.0
ALK US Equity,-1.0
ALL US Equity,1.0
ALLE US Equity,1.0
AMAT US Equity,1.0
AMT US Equity,1.0
ANSS US Equity,1.0
APA US Equity,-1.0
AVY US Equity,1.0
BA US Equity,-1.0
BAX US Equity,1.0
BDX US Equity,-1.0
BF.B US Equity,1.0
BIIB US Equity,1.0
BMY US Equity,-1.0
CHRW US Equity,1.0
CINF US Equity,1.0
CL US Equity,1.0
CMA US Equity,-1.0
CMCSA US Equity,1.0
CMI US Equity,1.0
CNC US Equity,-1.0
COTY US Equity,-1.0
CSCO US Equity,1.0
CSX US Equity,1.0
CTSH US Equity,1.0
D US Equity,-1.0
DD US Equity,1.0
DE US Equity,-1.0
DFS US Equity,-1.0
DISCA US Equity,-1.0
DISH US Equity,1.0
DVN US Equity,-1.0
EA US Equity,-1.0
EMR US Equity,1.0
EOG US Equity,-1.0
EXPD US Equity,1.0
FANG US Equity,-1.0
FB US Equity,1.0
FDX US Equity,1.0
FE US Equity,1.0
FMC US Equity,-1.0
FTI US Equity,-1.0
FTNT US Equity,1.0
GILD US Equity,1.0
GIS US Equity,1.0
GLW US Equity,-1.0
GM US Equity,1.0
GOOG US Equity,-1.0
GOOGL US Equity,1.0
HAL US Equity,-1.0
HCA US Equity,-1.0
HFC US Equity,1.0
HII US Equity,-1.0
HON US Equity,-1.0
HPE US Equity,-1.0
HRB US Equity,1.0
HUM US Equity,1.0
ICE US Equity,1.0
IDXX US Equity,-1.0
IEX US Equity,-1.0
INFO US Equity,1.0
IP US Equity,1.0
IPG US Equity,1.0
IR US Equity,1.0
IT US Equity,-1.0
JNJ US Equity,-1.0
JNPR US Equity,1.0
JPM US Equity,1.0
K US Equity,-1.0
KEY US Equity,-1.0
KO US Equity,-1.0
KSS US Equity,-1.0
LNC US Equity,-1.0
LNT US Equity,-1.0
LYB US Equity,1.0
MAA US Equity,1.0
MCK US Equity,-1.0
MDT US Equity,-1.0
MHK US Equity,-1.0
MMC US Equity,1.0
MMM US Equity,-1.0
MO US Equity,-1.0
MS US Equity,1.0
MSCI US Equity,-1.0
MSI US Equity,1.0
NFLX US Equity,-1.0
NKE US Equity,1.0
NLSN US Equity,1.0
NOW US Equity,1.0
NWL US Equity,-1.0
O US Equity,1.0
OKE US Equity,1.0
PLD US Equity,1.0
PNW US Equity,-1.0
PSA US Equity,1.0
PYPL US Equity,1.0
RE US Equity,1.0
REGN US Equity,-1.0
RF US Equity,1.0
RJF US Equity,-1.0
RSG US Equity,1.0
SEE US Equity,1.0
SHW US Equity,-1.0
STT US Equity,1.0
TFX US Equity,1.0
TJX US Equity,1.0
TXT US Equity,-1.0
UAA US Equity,1.0
UNH US Equity,1.0
UNP US Equity,-1.0
UPS US Equity,-1.0
V US Equity,-1.0
VRSN US Equity,1.0
VTR US Equity,-1.0
WHR US Equity,1.0
ZBH US Equity,1.0
