,3196
1417 JT Equity,-1.0
2053 JT Equity,-1.0
2678 JT Equity,1.0
3246 JT Equity,-1.0
3675 JT Equity,1.0
4406 JT Equity,1.0
4829 JT Equity,1.0
4980 JT Equity,-2.0
4996 JT Equity,1.0
5018 JT Equity,-1.0
5959 JT Equity,-1.0
6615 JT Equity,1.0
6826 JT Equity,-1.0
6951 JT Equity,1.0
7012 JT Equity,1.0
7731 JT Equity,1.0
7888 JT Equity,1.0
7949 JT Equity,-1.0
8052 JT Equity,1.0
8337 JT Equity,-1.0
8362 JT Equity,1.0
8473 JT Equity,-1.0
8871 JT Equity,1.0
8918 JT Equity,1.0
9302 JT Equity,1.0
9409 JT Equity,-1.0
9613 JT Equity,-1.0
