,3219
AAAU US Equity,1.0
AAXJ US Equity,1.0
ACES US Equity,1.0
ADME US Equity,1.0
AFK US Equity,1.0
AGG US Equity,-1.0
AGGY US Equity,1.0
AIA US Equity,1.0
AIEQ US Equity,1.0
AIQ US Equity,1.0
AMJ US Equity,1.0
ANGL US Equity,1.0
AOA US Equity,-1.0
ARKW US Equity,1.0
BAB US Equity,1.0
BAR US Equity,-1.0
BBAX US Equity,-1.0
BBEU US Equity,1.0
BBJP US Equity,1.0
BBRE US Equity,1.0
BBUS US Equity,1.0
BCD US Equity,-1.0
BDCZ US Equity,-1.0
BFOR US Equity,-1.0
BGRN US Equity,-1.0
BIB US Equity,1.0
BIV US Equity,-1.0
BJK US Equity,-1.0
BJUL US Equity,-1.0
BLCN US Equity,1.0
BLES US Equity,-1.0
BLOK US Equity,-1.0
BLV US Equity,-1.0
BND US Equity,1.0
BOCT US Equity,1.0
BOTZ US Equity,-1.0
BSCO US Equity,1.0
BSCR US Equity,1.0
BTEC US Equity,1.0
BYLD US Equity,-1.0
CACG US Equity,1.0
CALF US Equity,-1.0
CAPD US Equity,-1.0
CARZ US Equity,1.0
CATH US Equity,1.0
CBON US Equity,-1.0
CDL US Equity,1.0
CEMB US Equity,1.0
CFO US Equity,-1.0
CHAU US Equity,-1.0
CHGX US Equity,-1.0
CHIQ US Equity,1.0
CLRG US Equity,-1.0
CLTL US Equity,-1.0
CMBS US Equity,1.0
CMF US Equity,-1.0
CNYA US Equity,1.0
COMB US Equity,-1.0
COPX US Equity,1.0
CORN US Equity,-1.0
CORP US Equity,-1.0
CPER US Equity,1.0
CRBN US Equity,1.0
CSB US Equity,1.0
CURE US Equity,1.0
CUT US Equity,1.0
CVY US Equity,-1.0
CXSE US Equity,1.0
CZA US Equity,1.0
DALT US Equity,1.0
DBAW US Equity,1.0
DBB US Equity,1.0
DBEM US Equity,-1.0
DBJP US Equity,1.0
DDIV US Equity,1.0
DDLS US Equity,1.0
DDM US Equity,1.0
DEM US Equity,1.0
DES US Equity,1.0
DEW US Equity,1.0
DFE US Equity,1.0
DFJ US Equity,1.0
DFNL US Equity,-1.0
DGP US Equity,1.0
DGRE US Equity,-1.0
DGRO US Equity,-1.0
DGRW US Equity,1.0
DGS US Equity,-1.0
DIG US Equity,-1.0
DINT US Equity,-1.0
DIVO US Equity,-1.0
DLS US Equity,-1.0
DMRM US Equity,1.0
DNL US Equity,1.0
DOG US Equity,-1.0
DON US Equity,-1.0
DRIP US Equity,-1.0
DRSK US Equity,1.0
DSI US Equity,-1.0
DSTL US Equity,-1.0
DTD US Equity,1.0
DVOL US Equity,-1.0
DVY US Equity,-1.0
DWAS US Equity,-1.0
DWLD US Equity,1.0
DWM US Equity,-1.0
DXD US Equity,1.0
EBLU US Equity,1.0
ECH US Equity,1.0
ECON US Equity,-1.0
EDC US Equity,-1.0
EDEN US Equity,1.0
EDV US Equity,-1.0
EELV US Equity,-1.0
EEM US Equity,-1.0
EEMA US Equity,1.0
EES US Equity,1.0
EFA US Equity,-1.0
EFAV US Equity,1.0
EIS US Equity,-1.0
EMB US Equity,-1.0
EMGF US Equity,-1.0
EMHY US Equity,-1.0
EMLP US Equity,-1.0
EMQQ US Equity,1.0
EMTL US Equity,-1.0
ENFR US Equity,1.0
ENOR US Equity,1.0
ENTR US Equity,1.0
EPHE US Equity,1.0
EPI US Equity,-1.0
EPS US Equity,1.0
EPU US Equity,1.0
