,4467
000002 CH Equity,1.0
000568 CH Equity,1.0
000858 CH Equity,1.0
002352 CH Equity,1.0
002475 CH Equity,1.0
002594 CH Equity,-1.0
002607 CH Equity,1.0
002714 CH Equity,-1.0
300015 CH Equity,1.0
300059 CH Equity,1.0
300750 CH Equity,1.0
300760 CH Equity,1.0
600031 CH Equity,-1.0
600036 CH Equity,1.0
600276 CH Equity,1.0
600309 CH Equity,-1.0
600346 CH Equity,1.0
600900 CH Equity,1.0
601066 CH Equity,-1.0
601088 CH Equity,1.0
601288 CH Equity,1.0
601398 CH Equity,-1.0
601601 CH Equity,1.0
601628 CH Equity,-1.0
601899 CH Equity,1.0
601988 CH Equity,-1.0
603259 CH Equity,1.0
