,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
000963 CH Equity,2022-05-08,BUY,华东医药,19846,0,0,33.85,6.718,100000,0,0,Quant,Pattern 95,CN
000988 CH Equity,2022-05-08,BUY,华工科技,39751,0,0,16.9,6.718,100000,0,0,Quant,Pattern 95,CN
001914 CH Equity,2022-05-08,BUY,招商积余,39751,0,0,16.9,6.718,100000,0,0,Quant,Pattern 95,CN
001979 CH Equity,2022-05-08,SELL,招商蛇口,-48751,0,0,13.78,6.718,100000,0,0,Quant,Pattern 95,CN
002003 CH Equity,2022-05-08,SELL,伟星股份,-49689,0,0,13.52,6.718,100000,0,0,Quant,Pattern 95,CN
002038 CH Equity,2022-05-08,BUY,双鹭药业,65605,0,0,10.24,6.718,100000,0,0,Quant,Pattern 95,CN
002042 CH Equity,2022-05-08,BUY,华孚时尚,186611,0,0,3.6,6.718,100000,0,0,Quant,Pattern 95,CN
002050 CH Equity,2022-05-08,BUY,三花智控,40227,0,0,16.7,6.718,100000,0,0,Quant,Pattern 95,CN
002127 CH Equity,2022-05-08,BUY,南极电商,125570,0,0,5.35,6.718,100000,0,0,Quant,Pattern 95,CN
002142 CH Equity,2022-05-08,BUY,宁波银行,18765,0,0,35.8,6.718,100000,0,0,Quant,Pattern 95,CN
002176 CH Equity,2022-05-08,BUY,江特电机,33946,0,0,19.79,6.718,100000,0,0,Quant,Pattern 95,CN
002192 CH Equity,2022-05-08,BUY,融捷股份,6448,0,0,104.18,6.718,100000,0,0,Quant,Pattern 95,CN
002203 CH Equity,2022-05-08,BUY,海亮股份,72392,0,0,9.28,6.718,100000,0,0,Quant,Pattern 95,CN
002216 CH Equity,2022-05-08,SELL,三全食品,-31990,0,0,21.0,6.718,100000,0,0,Quant,Pattern 95,CN
002240 CH Equity,2022-05-08,BUY,盛新锂能集团股份有限公司,15718,0,0,42.74,6.718,100000,0,0,Quant,Pattern 95,CN
002241 CH Equity,2022-05-08,BUY,歌尔股份,19689,0,0,34.12,6.718,100000,0,0,Quant,Pattern 95,CN
002269 CH Equity,2022-05-08,SELL,美邦服饰,-383885,0,0,1.75,6.718,100000,0,0,Quant,Pattern 95,CN
