,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300546 CH Equity,2022-04-29,BUY,雄帝科技,27714,0,0,24.03,6.6597,100000,0,0,Quant,Pattern 95,CN
300571 CH Equity,2022-04-29,SELL,平治信息,-18597,0,0,35.81,6.6597,100000,0,0,Quant,Pattern 95,CN
300582 CH Equity,2022-04-29,BUY,英飞特,58418,0,0,11.4,6.6597,100000,0,0,Quant,Pattern 95,CN
300603 CH Equity,2022-04-29,SELL,立昂技术,-69012,0,0,9.65,6.6597,100000,0,0,Quant,Pattern 95,CN
300607 CH Equity,2022-04-29,SELL,拓斯达,-72074,0,0,9.24,6.6597,100000,0,0,Quant,Pattern 95,CN
300610 CH Equity,2022-04-29,BUY,晨化股份,55729,0,0,11.95,6.6597,100000,0,0,Quant,Pattern 95,CN
300616 CH Equity,2022-04-29,SELL,尚品宅配,-28375,0,0,23.47,6.6597,100000,0,0,Quant,Pattern 95,CN
300618 CH Equity,2022-04-29,SELL,寒锐钴业,-13300,0,0,50.07,6.6597,100000,0,0,Quant,Pattern 95,CN
300628 CH Equity,2022-04-29,BUY,亿联网络,8916,0,0,74.69,6.6597,100000,0,0,Quant,Pattern 95,CN
300630 CH Equity,2022-04-29,BUY,普利制药,27071,0,0,24.6,6.6597,100000,0,0,Quant,Pattern 95,CN
002310 CH Equity,2022-04-29,SELL,东方园林,-306898,0,0,2.17,6.6597,100000,0,0,Quant,Pattern 95,CN
002312 CH Equity,2022-04-29,SELL,川发龙蟒,-66864,0,0,9.96,6.6597,100000,0,0,Quant,Pattern 95,CN
002317 CH Equity,2022-04-29,SELL,众生药业,-48610,0,0,13.7,6.6597,100000,0,0,Quant,Pattern 95,CN
002333 CH Equity,2022-04-29,SELL,ST罗普,-152395,0,0,4.37,6.6597,100000,0,0,Quant,Pattern 95,CN
002340 CH Equity,2022-04-29,SELL,格林美,-102773,0,0,6.48,6.6597,100000,0,0,Quant,Pattern 95,CN
002361 CH Equity,2022-04-29,BUY,神剑股份,188127,0,0,3.54,6.6597,100000,0,0,Quant,Pattern 95,CN
002364 CH Equity,2022-04-29,SELL,中恒电气,-106555,0,0,6.25,6.6597,100000,0,0,Quant,Pattern 95,CN
002367 CH Equity,2022-04-29,BUY,康力电梯,94732,0,0,7.03,6.6597,100000,0,0,Quant,Pattern 95,CN
002398 CH Equity,2022-04-29,SELL,垒知集团,-108287,0,0,6.15,6.6597,100000,0,0,Quant,Pattern 95,CN
002410 CH Equity,2022-04-29,SELL,广联达,-15936,0,0,41.79,6.6597,100000,0,0,Quant,Pattern 95,CN
002703 CH Equity,2022-04-29,SELL,浙江世宝,-160474,0,0,4.15,6.6597,100000,0,0,Quant,Pattern 95,CN
002732 CH Equity,2022-04-29,BUY,燕塘乳业,38832,0,0,17.15,6.6597,100000,0,0,Quant,Pattern 95,CN
002736 CH Equity,2022-04-29,BUY,国信证券,70398,0,0,9.46,6.6597,100000,0,0,Quant,Pattern 95,CN
002738 CH Equity,2022-04-29,BUY,中矿资源,8489,0,0,78.45,6.6597,100000,0,0,Quant,Pattern 95,CN
002757 CH Equity,2022-04-29,SELL,南兴股份,-61493,0,0,10.83,6.6597,100000,0,0,Quant,Pattern 95,CN
002773 CH Equity,2022-04-29,SELL,康弘药业,-53750,0,0,12.39,6.6597,100000,0,0,Quant,Pattern 95,CN
002780 CH Equity,2022-04-29,BUY,三夫户外,63668,0,0,10.46,6.6597,100000,0,0,Quant,Pattern 95,CN
002797 CH Equity,2022-04-29,SELL,第一创业,-126130,0,0,5.28,6.6597,100000,0,0,Quant,Pattern 95,CN
002801 CH Equity,2022-04-29,BUY,微光股份,26778,0,0,24.87,6.6597,100000,0,0,Quant,Pattern 95,CN
002806 CH Equity,2022-04-29,SELL,华锋股份,-74078,0,0,8.99,6.6597,100000,0,0,Quant,Pattern 95,CN
600770 CH Equity,2022-04-29,SELL,综艺股份,-84406,0,0,7.89,6.6597,100000,0,0,Quant,Pattern 95,CN
600778 CH Equity,2022-04-29,SELL,友好集团,-145408,0,0,4.58,6.6597,100000,0,0,Quant,Pattern 95,CN
600787 CH Equity,2022-04-29,SELL,中储股份,-123327,0,0,5.4,6.6597,100000,0,0,Quant,Pattern 95,CN
600794 CH Equity,2022-04-29,SELL,保税科技,-230439,0,0,2.89,6.6597,100000,0,0,Quant,Pattern 95,CN
600795 CH Equity,2022-04-29,BUY,国电电力,221990,0,0,3.0,6.6597,100000,0,0,Quant,Pattern 95,CN
600804 CH Equity,2022-04-29,BUY,鹏博士,141394,0,0,4.71,6.6597,100000,0,0,Quant,Pattern 95,CN
600809 CH Equity,2022-04-29,BUY,山西汾酒,2448,0,0,272.0,6.6597,100000,0,0,Quant,Pattern 95,CN
600845 CH Equity,2022-04-29,BUY,宝信软件,14465,0,0,46.04,6.6597,100000,0,0,Quant,Pattern 95,CN
600863 CH Equity,2022-04-29,SELL,内蒙华电,-188127,0,0,3.54,6.6597,100000,0,0,Quant,Pattern 95,CN
600886 CH Equity,2022-04-29,SELL,国投电力,-70028,0,0,9.51,6.6597,100000,0,0,Quant,Pattern 95,CN
002596 CH Equity,2022-04-29,SELL,海南瑞泽,-191922,0,0,3.4699999999999998,6.6597,100000,0,0,Quant,Pattern 95,CN
002602 CH Equity,2022-04-29,SELL,世纪华通,-151356,0,0,4.4,6.6597,100000,0,0,Quant,Pattern 95,CN
002608 CH Equity,2022-04-29,SELL,江苏国信,-122872,0,0,5.42,6.6597,100000,0,0,Quant,Pattern 95,CN
002612 CH Equity,2022-04-29,SELL,朗姿股份,-32002,0,0,20.81,6.6597,100000,0,0,Quant,Pattern 95,CN
002614 CH Equity,2022-04-29,BUY,奥佳华,82935,0,0,8.03,6.6597,100000,0,0,Quant,Pattern 95,CN
002635 CH Equity,2022-04-29,SELL,安洁科技,-54232,0,0,12.28,6.6597,100000,0,0,Quant,Pattern 95,CN
002646 CH Equity,2022-04-29,SELL,天佑德酒,-38473,0,0,17.31,6.6597,100000,0,0,Quant,Pattern 95,CN
002648 CH Equity,2022-04-29,SELL,卫星化学股份有限公司,-19382,0,0,34.36,6.6597,100000,0,0,Quant,Pattern 95,CN
002669 CH Equity,2022-04-29,SELL,康达新材,-67134,0,0,9.92,6.6597,100000,0,0,Quant,Pattern 95,CN
002685 CH Equity,2022-04-29,BUY,华东重机,243054,0,0,2.74,6.6597,100000,0,0,Quant,Pattern 95,CN
600248 CH Equity,2022-04-29,BUY,陕西建工,124713,0,0,5.34,6.6597,100000,0,0,Quant,Pattern 95,CN
600249 CH Equity,2022-04-29,BUY,两面针,148986,0,0,4.47,6.6597,100000,0,0,Quant,Pattern 95,CN
600258 CH Equity,2022-04-29,SELL,首旅酒店,-28967,0,0,22.99,6.6597,100000,0,0,Quant,Pattern 95,CN
600282 CH Equity,2022-04-29,SELL,南钢股份,-195299,0,0,3.41,6.6597,100000,0,0,Quant,Pattern 95,CN
600297 CH Equity,2022-04-29,BUY,广汇汽车,308319,0,0,2.16,6.6597,100000,0,0,Quant,Pattern 95,CN
600325 CH Equity,2022-04-29,BUY,华发股份,92367,0,0,7.21,6.6597,100000,0,0,Quant,Pattern 95,CN
600327 CH Equity,2022-04-29,SELL,大东方,-144149,0,0,4.62,6.6597,100000,0,0,Quant,Pattern 95,CN
600337 CH Equity,2022-04-29,BUY,美克家居,229644,0,0,2.9,6.6597,100000,0,0,Quant,Pattern 95,CN
600350 CH Equity,2022-04-29,BUY,山东高速,117662,0,0,5.66,6.6597,100000,0,0,Quant,Pattern 95,CN
600352 CH Equity,2022-04-29,SELL,浙江龙盛,-67405,0,0,9.88,6.6597,100000,0,0,Quant,Pattern 95,CN
300634 CH Equity,2022-04-29,SELL,彩讯股份,-63851,0,0,10.43,6.6597,100000,0,0,Quant,Pattern 95,CN
300642 CH Equity,2022-04-29,SELL,透景生命,-34595,0,0,19.25,6.6597,100000,0,0,Quant,Pattern 95,CN
300652 CH Equity,2022-04-29,SELL,雷迪克,-40337,0,0,16.51,6.6597,100000,0,0,Quant,Pattern 95,CN
300660 CH Equity,2022-04-29,BUY,江苏雷利,40707,0,0,16.36,6.6597,100000,0,0,Quant,Pattern 95,CN
300677 CH Equity,2022-04-29,BUY,英科医疗科技股份有限公司,18707,0,0,35.6,6.6597,100000,0,0,Quant,Pattern 95,CN
300687 CH Equity,2022-04-29,SELL,赛意信息,-34363,0,0,19.38,6.6597,100000,0,0,Quant,Pattern 95,CN
300694 CH Equity,2022-04-29,BUY,蠡湖股份,69371,0,0,9.6,6.6597,100000,0,0,Quant,Pattern 95,CN
300716 CH Equity,2022-04-29,SELL,国立科技,-80919,0,0,8.23,6.6597,100000,0,0,Quant,Pattern 95,CN
300723 CH Equity,2022-04-29,SELL,一品红,-25953,0,0,25.66,6.6597,100000,0,0,Quant,Pattern 95,CN
300745 CH Equity,2022-04-29,SELL,欣锐科技,-26106,0,0,25.51,6.6597,100000,0,0,Quant,Pattern 95,CN
002906 CH Equity,2022-04-29,BUY,华阳集团,22598,0,0,29.47,6.6597,100000,0,0,Quant,Pattern 95,CN
002936 CH Equity,2022-04-29,SELL,郑州银行,-255160,0,0,2.61,6.6597,100000,0,0,Quant,Pattern 95,CN
002939 CH Equity,2022-04-29,SELL,长城证券,-83664,0,0,7.96,6.6597,100000,0,0,Quant,Pattern 95,CN
002941 CH Equity,2022-04-29,SELL,新疆交建,-36611,0,0,18.19,6.6597,100000,0,0,Quant,Pattern 95,CN
002966 CH Equity,2022-04-29,SELL,苏州银行,-91353,0,0,7.29,6.6597,100000,0,0,Quant,Pattern 95,CN
002980 CH Equity,2022-04-29,SELL,华盛昌,-28183,0,0,23.63,6.6597,100000,0,0,Quant,Pattern 95,CN
002995 CH Equity,2022-04-29,BUY,天地在线,36154,0,0,18.42,6.6597,100000,0,0,Quant,Pattern 95,CN
003012 CH Equity,2022-04-29,SELL,东鹏控股,-83769,0,0,7.95,6.6597,100000,0,0,Quant,Pattern 95,CN
003026 CH Equity,2022-04-29,SELL,中晶科技,-17816,0,0,37.38,6.6597,100000,0,0,Quant,Pattern 95,CN
003033 CH Equity,2022-04-29,SELL,征和工业,-32629,0,0,20.41,6.6597,100000,0,0,Quant,Pattern 95,CN
600927 CH Equity,2022-04-29,BUY,永安期货,38340,0,0,17.37,6.6597,100000,0,0,Quant,Pattern 95,CN
600941 CH Equity,2022-04-29,SELL,中国移动,-10282,0,0,64.77,6.6597,100000,0,0,Quant,Pattern 95,CN
600970 CH Equity,2022-04-29,SELL,中材国际,-87283,0,0,7.63,6.6597,100000,0,0,Quant,Pattern 95,CN
600998 CH Equity,2022-04-29,SELL,九州通,-54722,0,0,12.17,6.6597,100000,0,0,Quant,Pattern 95,CN
601107 CH Equity,2022-04-29,BUY,四川成渝,162828,0,0,4.09,6.6597,100000,0,0,Quant,Pattern 95,CN
601137 CH Equity,2022-04-29,SELL,博威合金,-63185,0,0,10.54,6.6597,100000,0,0,Quant,Pattern 95,CN
601156 CH Equity,2022-04-29,BUY,东航物流,32919,0,0,20.23,6.6597,100000,0,0,Quant,Pattern 95,CN
601166 CH Equity,2022-04-29,BUY,兴业银行,31637,0,0,21.05,6.6597,100000,0,0,Quant,Pattern 95,CN
601186 CH Equity,2022-04-29,SELL,中国铁建,-80140,0,0,8.31,6.6597,100000,0,0,Quant,Pattern 95,CN
601199 CH Equity,2022-04-29,SELL,江南水务,-124248,0,0,5.36,6.6597,100000,0,0,Quant,Pattern 95,CN
003039 CH Equity,2022-04-29,SELL,顺控发展,-41493,0,0,16.05,6.6597,100000,0,0,Quant,Pattern 95,CN
300033 CH Equity,2022-04-29,SELL,同花顺,-9173,0,0,72.6,6.6597,100000,0,0,Quant,Pattern 95,CN
300035 CH Equity,2022-04-29,BUY,中科电气,26553,0,0,25.08,6.6597,100000,0,0,Quant,Pattern 95,CN
300040 CH Equity,2022-04-29,BUY,九洲集团,112305,0,0,5.93,6.6597,100000,0,0,Quant,Pattern 95,CN
