,18
000032 CH Equity,1.0
000090 CH Equity,1.0
000415 CH Equity,1.0
000426 CH Equity,1.0
000513 CH Equity,1.0
000537 CH Equity,1.0
000568 CH Equity,1.0
000598 CH Equity,1.0
000625 CH Equity,1.0
000661 CH Equity,1.0
000671 CH Equity,1.0
000676 CH Equity,1.0
000677 CH Equity,1.0
000709 CH Equity,1.0
000710 CH Equity,1.0
000715 CH Equity,1.0
000728 CH Equity,1.0
000737 CH Equity,1.0
000738 CH Equity,1.0
000759 CH Equity,1.0
000766 CH Equity,1.0
000777 CH Equity,1.0
000799 CH Equity,1.0
000801 CH Equity,1.0
000825 CH Equity,1.0
000836 CH Equity,1.0
000848 CH Equity,1.0
000881 CH Equity,1.0
000887 CH Equity,1.0
000895 CH Equity,1.0
000899 CH Equity,1.0
000902 CH Equity,1.0
000921 CH Equity,1.0
000960 CH Equity,1.0
000963 CH Equity,1.0
000966 CH Equity,1.0
000993 CH Equity,1.0
001205 CH Equity,1.0
001211 CH Equity,1.0
001234 CH Equity,1.0
002008 CH Equity,1.0
002010 CH Equity,1.0
002011 CH Equity,1.0
002014 CH Equity,1.0
002015 CH Equity,1.0
002027 CH Equity,1.0
002041 CH Equity,1.0
002042 CH Equity,1.0
002057 CH Equity,1.0
002068 CH Equity,1.0
002075 CH Equity,1.0
002085 CH Equity,1.0
002125 CH Equity,1.0
002130 CH Equity,1.0
002131 CH Equity,1.0
002139 CH Equity,1.0
002146 CH Equity,1.0
002151 CH Equity,1.0
002155 CH Equity,1.0
002166 CH Equity,1.0
002206 CH Equity,1.0
002216 CH Equity,1.0
002217 CH Equity,1.0
002222 CH Equity,1.0
002241 CH Equity,1.0
002246 CH Equity,1.0
002268 CH Equity,1.0
002281 CH Equity,1.0
002299 CH Equity,1.0
002326 CH Equity,1.0
002330 CH Equity,1.0
002368 CH Equity,1.0
002378 CH Equity,1.0
002391 CH Equity,1.0
002405 CH Equity,1.0
002415 CH Equity,1.0
002459 CH Equity,1.0
002475 CH Equity,1.0
002476 CH Equity,1.0
002494 CH Equity,1.0
002496 CH Equity,1.0
002524 CH Equity,1.0
002528 CH Equity,1.0
002538 CH Equity,1.0
002544 CH Equity,1.0
002555 CH Equity,1.0
002556 CH Equity,1.0
002557 CH Equity,1.0
002561 CH Equity,1.0
002566 CH Equity,1.0
002584 CH Equity,1.0
002585 CH Equity,1.0
002587 CH Equity,1.0
002601 CH Equity,1.0
002606 CH Equity,1.0
002608 CH Equity,1.0
002610 CH Equity,1.0
002631 CH Equity,1.0
002633 CH Equity,1.0
002635 CH Equity,1.0
002637 CH Equity,1.0
002642 CH Equity,1.0
002645 CH Equity,1.0
002648 CH Equity,1.0
002668 CH Equity,1.0
002677 CH Equity,1.0
002689 CH Equity,1.0
002693 CH Equity,1.0
002695 CH Equity,1.0
002725 CH Equity,1.0
002734 CH Equity,1.0
002737 CH Equity,1.0
002807 CH Equity,1.0
002812 CH Equity,1.0
002821 CH Equity,1.0
002832 CH Equity,1.0
002858 CH Equity,1.0
002860 CH Equity,1.0
002881 CH Equity,1.0
002890 CH Equity,1.0
002896 CH Equity,1.0
002920 CH Equity,1.0
002925 CH Equity,1.0
002927 CH Equity,1.0
002967 CH Equity,1.0
002979 CH Equity,1.0
002993 CH Equity,1.0
003001 CH Equity,1.0
003005 CH Equity,1.0
003019 CH Equity,1.0
003020 CH Equity,1.0
003031 CH Equity,1.0
003035 CH Equity,1.0
003043 CH Equity,1.0
300005 CH Equity,1.0
300019 CH Equity,1.0
300021 CH Equity,1.0
300034 CH Equity,1.0
300046 CH Equity,1.0
300053 CH Equity,1.0
300054 CH Equity,1.0
300058 CH Equity,1.0
300077 CH Equity,1.0
300087 CH Equity,1.0
300124 CH Equity,1.0
300146 CH Equity,1.0
300162 CH Equity,1.0
300166 CH Equity,1.0
300171 CH Equity,1.0
300196 CH Equity,1.0
300214 CH Equity,1.0
300219 CH Equity,1.0
300231 CH Equity,1.0
300275 CH Equity,1.0
300284 CH Equity,1.0
300286 CH Equity,1.0
300294 CH Equity,1.0
300296 CH Equity,1.0
300299 CH Equity,1.0
300306 CH Equity,1.0
300327 CH Equity,1.0
300328 CH Equity,1.0
300330 CH Equity,1.0
300339 CH Equity,1.0
300376 CH Equity,1.0
300384 CH Equity,1.0
300385 CH Equity,1.0
300386 CH Equity,1.0
300390 CH Equity,1.0
300448 CH Equity,1.0
300468 CH Equity,1.0
300519 CH Equity,1.0
300521 CH Equity,1.0
300528 CH Equity,1.0
300529 CH Equity,1.0
300532 CH Equity,1.0
300548 CH Equity,1.0
300556 CH Equity,1.0
300558 CH Equity,1.0
300579 CH Equity,1.0
300580 CH Equity,1.0
300595 CH Equity,1.0
300617 CH Equity,1.0
300623 CH Equity,1.0
300629 CH Equity,1.0
300631 CH Equity,1.0
300641 CH Equity,1.0
300662 CH Equity,1.0
300663 CH Equity,1.0
300681 CH Equity,1.0
300755 CH Equity,1.0
300763 CH Equity,1.0
300809 CH Equity,1.0
300850 CH Equity,1.0
300866 CH Equity,1.0
300887 CH Equity,1.0
300888 CH Equity,1.0
300898 CH Equity,1.0
300915 CH Equity,1.0
300918 CH Equity,1.0
300940 CH Equity,1.0
300945 CH Equity,1.0
300958 CH Equity,1.0
300978 CH Equity,1.0
301057 CH Equity,1.0
301066 CH Equity,1.0
301069 CH Equity,1.0
301169 CH Equity,1.0
301185 CH Equity,1.0
301217 CH Equity,1.0
301219 CH Equity,1.0
600032 CH Equity,1.0
600037 CH Equity,1.0
600050 CH Equity,1.0
600054 CH Equity,1.0
600058 CH Equity,1.0
600088 CH Equity,1.0
600096 CH Equity,1.0
600101 CH Equity,1.0
600109 CH Equity,1.0
600125 CH Equity,1.0
600128 CH Equity,1.0
600137 CH Equity,1.0
600150 CH Equity,1.0
600163 CH Equity,1.0
600173 CH Equity,1.0
600177 CH Equity,1.0
600207 CH Equity,1.0
600210 CH Equity,1.0
600230 CH Equity,1.0
600273 CH Equity,1.0
600292 CH Equity,1.0
600327 CH Equity,1.0
600328 CH Equity,1.0
600367 CH Equity,1.0
600376 CH Equity,1.0
600387 CH Equity,1.0
600389 CH Equity,1.0
600391 CH Equity,1.0
600415 CH Equity,1.0
600444 CH Equity,1.0
600448 CH Equity,1.0
600452 CH Equity,1.0
600461 CH Equity,1.0
600475 CH Equity,1.0
600498 CH Equity,1.0
600550 CH Equity,1.0
600566 CH Equity,1.0
600583 CH Equity,1.0
600597 CH Equity,1.0
600616 CH Equity,1.0
600639 CH Equity,1.0
600643 CH Equity,1.0
600668 CH Equity,1.0
600690 CH Equity,1.0
600693 CH Equity,1.0
600710 CH Equity,1.0
600712 CH Equity,1.0
600756 CH Equity,1.0
600785 CH Equity,1.0
600867 CH Equity,1.0
600873 CH Equity,1.0
600882 CH Equity,1.0
600884 CH Equity,1.0
600887 CH Equity,1.0
600889 CH Equity,1.0
600900 CH Equity,1.0
600901 CH Equity,1.0
600919 CH Equity,1.0
600941 CH Equity,1.0
600969 CH Equity,1.0
600982 CH Equity,1.0
601028 CH Equity,1.0
601086 CH Equity,1.0
601101 CH Equity,1.0
601107 CH Equity,1.0
601111 CH Equity,1.0
601116 CH Equity,1.0
601138 CH Equity,1.0
601156 CH Equity,1.0
601186 CH Equity,1.0
601198 CH Equity,1.0
601229 CH Equity,1.0
601360 CH Equity,1.0
601633 CH Equity,1.0
601665 CH Equity,1.0
601669 CH Equity,1.0
601689 CH Equity,1.0
601727 CH Equity,1.0
601788 CH Equity,1.0
601799 CH Equity,1.0
601828 CH Equity,1.0
601868 CH Equity,1.0
601882 CH Equity,1.0
601916 CH Equity,1.0
601998 CH Equity,1.0
603008 CH Equity,1.0
603027 CH Equity,1.0
603039 CH Equity,1.0
603053 CH Equity,1.0
603071 CH Equity,1.0
603089 CH Equity,1.0
603183 CH Equity,1.0
603213 CH Equity,1.0
603222 CH Equity,1.0
603259 CH Equity,1.0
