,18
000034 CH Equity,-1.0
000036 CH Equity,1.0
000039 CH Equity,1.0
000040 CH Equity,1.0
000063 CH Equity,1.0
000156 CH Equity,1.0
000157 CH Equity,1.0
000301 CH Equity,1.0
000429 CH Equity,1.0
000560 CH Equity,1.0
000568 CH Equity,1.0
000581 CH Equity,-1.0
000597 CH Equity,-1.0
000603 CH Equity,1.0
000620 CH Equity,-1.0
000625 CH Equity,1.0
000636 CH Equity,1.0
000676 CH Equity,-1.0
000729 CH Equity,-1.0
000738 CH Equity,1.0
000756 CH Equity,-1.0
000799 CH Equity,1.0
000850 CH Equity,1.0
000852 CH Equity,1.0
000877 CH Equity,1.0
000950 CH Equity,1.0
000951 CH Equity,1.0
000959 CH Equity,1.0
000962 CH Equity,1.0
000963 CH Equity,-1.0
001215 CH Equity,1.0
001696 CH Equity,1.0
002001 CH Equity,-1.0
002010 CH Equity,1.0
002032 CH Equity,1.0
002035 CH Equity,1.0
002048 CH Equity,1.0
002080 CH Equity,-1.0
002106 CH Equity,1.0
002158 CH Equity,1.0
002170 CH Equity,1.0
002181 CH Equity,1.0
002191 CH Equity,1.0
002202 CH Equity,1.0
002214 CH Equity,1.0
002256 CH Equity,-1.0
002267 CH Equity,1.0
002271 CH Equity,-1.0
002277 CH Equity,1.0
002287 CH Equity,1.0
002304 CH Equity,1.0
002311 CH Equity,1.0
002331 CH Equity,-1.0
002361 CH Equity,-1.0
002367 CH Equity,-1.0
002369 CH Equity,1.0
002371 CH Equity,1.0
002378 CH Equity,1.0
002389 CH Equity,1.0
002458 CH Equity,1.0
002472 CH Equity,1.0
002475 CH Equity,1.0
002482 CH Equity,1.0
002486 CH Equity,1.0
002507 CH Equity,1.0
002508 CH Equity,1.0
002511 CH Equity,1.0
002517 CH Equity,1.0
002557 CH Equity,1.0
002562 CH Equity,-1.0
002594 CH Equity,1.0
002597 CH Equity,1.0
002603 CH Equity,1.0
002693 CH Equity,1.0
002702 CH Equity,-1.0
002705 CH Equity,-1.0
002723 CH Equity,1.0
002737 CH Equity,1.0
002780 CH Equity,-1.0
002790 CH Equity,1.0
002805 CH Equity,1.0
002841 CH Equity,1.0
002853 CH Equity,-1.0
002906 CH Equity,-1.0
002918 CH Equity,1.0
002920 CH Equity,1.0
002926 CH Equity,1.0
002945 CH Equity,1.0
002995 CH Equity,-1.0
300015 CH Equity,1.0
300027 CH Equity,1.0
300035 CH Equity,-1.0
300053 CH Equity,1.0
300109 CH Equity,-1.0
300113 CH Equity,1.0
300124 CH Equity,1.0
300136 CH Equity,-1.0
300260 CH Equity,-1.0
300263 CH Equity,-1.0
300267 CH Equity,-1.0
300308 CH Equity,1.0
300315 CH Equity,-1.0
300363 CH Equity,1.0
300371 CH Equity,1.0
300391 CH Equity,-1.0
300399 CH Equity,1.0
300418 CH Equity,1.0
300422 CH Equity,1.0
300447 CH Equity,1.0
300513 CH Equity,1.0
300546 CH Equity,-1.0
300560 CH Equity,-1.0
300569 CH Equity,1.0
300589 CH Equity,1.0
300607 CH Equity,1.0
300635 CH Equity,-1.0
300687 CH Equity,1.0
300737 CH Equity,1.0
300750 CH Equity,1.0
300761 CH Equity,1.0
300763 CH Equity,-1.0
300832 CH Equity,1.0
300925 CH Equity,-1.0
300942 CH Equity,-1.0
300958 CH Equity,-1.0
300961 CH Equity,-1.0
300973 CH Equity,1.0
301062 CH Equity,-1.0
301066 CH Equity,1.0
301069 CH Equity,-1.0
301082 CH Equity,-1.0
301111 CH Equity,1.0
301189 CH Equity,-1.0
301218 CH Equity,-1.0
600029 CH Equity,1.0
600036 CH Equity,-1.0
600116 CH Equity,-1.0
600132 CH Equity,1.0
600157 CH Equity,1.0
600168 CH Equity,-1.0
600177 CH Equity,-1.0
600196 CH Equity,-1.0
600200 CH Equity,1.0
600213 CH Equity,-1.0
600219 CH Equity,-1.0
600230 CH Equity,1.0
600237 CH Equity,1.0
600248 CH Equity,-1.0
600297 CH Equity,-1.0
600298 CH Equity,1.0
600323 CH Equity,1.0
600337 CH Equity,-1.0
600351 CH Equity,-1.0
600398 CH Equity,-1.0
600406 CH Equity,1.0
600419 CH Equity,-1.0
600438 CH Equity,1.0
600483 CH Equity,-1.0
600491 CH Equity,1.0
600515 CH Equity,1.0
600519 CH Equity,1.0
600529 CH Equity,1.0
600533 CH Equity,1.0
600565 CH Equity,-1.0
600566 CH Equity,1.0
600585 CH Equity,1.0
600590 CH Equity,-1.0
600623 CH Equity,1.0
600648 CH Equity,1.0
600655 CH Equity,-1.0
600673 CH Equity,1.0
600690 CH Equity,1.0
600694 CH Equity,1.0
600722 CH Equity,-1.0
600733 CH Equity,1.0
600742 CH Equity,1.0
600795 CH Equity,1.0
600802 CH Equity,1.0
600804 CH Equity,-1.0
600845 CH Equity,-1.0
600900 CH Equity,1.0
600919 CH Equity,1.0
600926 CH Equity,1.0
600941 CH Equity,-1.0
601012 CH Equity,1.0
601018 CH Equity,1.0
601088 CH Equity,1.0
601166 CH Equity,1.0
601168 CH Equity,1.0
601229 CH Equity,1.0
601238 CH Equity,1.0
601318 CH Equity,1.0
601375 CH Equity,1.0
601601 CH Equity,1.0
601689 CH Equity,-1.0
601800 CH Equity,1.0
601808 CH Equity,1.0
601857 CH Equity,-1.0
601865 CH Equity,1.0
601963 CH Equity,1.0
603011 CH Equity,-1.0
603017 CH Equity,-1.0
603018 CH Equity,1.0
603027 CH Equity,-1.0
603066 CH Equity,1.0
603101 CH Equity,-1.0
603185 CH Equity,1.0
603187 CH Equity,-1.0
603226 CH Equity,1.0
603357 CH Equity,1.0
603392 CH Equity,1.0
603466 CH Equity,1.0
603568 CH Equity,-1.0
603587 CH Equity,-1.0
603588 CH Equity,-1.0
603589 CH Equity,-1.0
603618 CH Equity,-1.0
603713 CH Equity,1.0
603768 CH Equity,-1.0
603777 CH Equity,1.0
603799 CH Equity,1.0
603823 CH Equity,-1.0
603858 CH Equity,-1.0
603869 CH Equity,1.0
603876 CH Equity,1.0
603882 CH Equity,-1.0
603949 CH Equity,-1.0
603956 CH Equity,-1.0
603986 CH Equity,1.0
603989 CH Equity,1.0
603993 CH Equity,1.0
603998 CH Equity,1.0
605108 CH Equity,1.0
605266 CH Equity,-1.0
688022 CH Equity,-1.0
688057 CH Equity,-1.0
688150 CH Equity,-1.0
688267 CH Equity,-1.0
688337 CH Equity,-1.0
688520 CH Equity,-1.0
688595 CH Equity,-1.0
688596 CH Equity,-1.0
688599 CH Equity,-1.0
688737 CH Equity,-1.0
