,169
000525 CH Equity,1.0
000571 CH Equity,1.0
000665 CH Equity,1.0
000756 CH Equity,1.0
001979 CH Equity,1.0
002003 CH Equity,1.0
002216 CH Equity,1.0
002269 CH Equity,1.0
002294 CH Equity,1.0
002470 CH Equity,1.0
002489 CH Equity,1.0
002702 CH Equity,1.0
002841 CH Equity,1.0
002913 CH Equity,1.0
002993 CH Equity,1.0
300059 CH Equity,1.0
300100 CH Equity,1.0
300268 CH Equity,1.0
300606 CH Equity,1.0
300639 CH Equity,1.0
300661 CH Equity,1.0
300750 CH Equity,1.0
300915 CH Equity,1.0
300957 CH Equity,1.0
600026 CH Equity,1.0
600036 CH Equity,1.0
600900 CH Equity,1.0
601318 CH Equity,1.0
601579 CH Equity,1.0
601601 CH Equity,1.0
603115 CH Equity,1.0
603208 CH Equity,1.0
603298 CH Equity,1.0
603333 CH Equity,1.0
603392 CH Equity,1.0
603536 CH Equity,1.0
603605 CH Equity,1.0
603696 CH Equity,1.0
603778 CH Equity,1.0
688050 CH Equity,1.0
688068 CH Equity,1.0
688091 CH Equity,1.0
688191 CH Equity,1.0
688363 CH Equity,1.0
688536 CH Equity,1.0
688611 CH Equity,1.0
