,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
600519 CH Equity,2022-05-02,BUY,贵州茅台,365,0,0,1828.38,6.6781,100000,0,0,Quant,Pattern 95,CN
600529 CH Equity,2022-05-02,BUY,山东药玻,31967,0,0,20.89,6.6781,100000,0,0,Quant,Pattern 95,CN
600533 CH Equity,2022-05-02,BUY,栖霞建设,171673,0,0,3.89,6.6781,100000,0,0,Quant,Pattern 95,CN
600565 CH Equity,2022-05-02,SELL,迪马股份,-306334,0,0,2.18,6.6781,100000,0,0,Quant,Pattern 95,CN
600566 CH Equity,2022-05-02,BUY,济川药业,29277,0,0,22.81,6.6781,100000,0,0,Quant,Pattern 95,CN
600585 CH Equity,2022-05-02,BUY,海螺水泥,16711,0,0,39.96,6.6781,100000,0,0,Quant,Pattern 95,CN
600590 CH Equity,2022-05-02,SELL,泰豪科技,-123897,0,0,5.39,6.6781,100000,0,0,Quant,Pattern 95,CN
600623 CH Equity,2022-05-02,BUY,华谊集团,90366,0,0,7.39,6.6781,100000,0,0,Quant,Pattern 95,CN
600648 CH Equity,2022-05-02,BUY,外高桥,49212,0,0,13.57,6.6781,100000,0,0,Quant,Pattern 95,CN
600655 CH Equity,2022-05-02,SELL,豫园股份,-74283,0,0,8.99,6.6781,100000,0,0,Quant,Pattern 95,CN
000756 CH Equity,2022-05-02,SELL,新华制药,-48603,0,0,13.74,6.6781,100000,0,0,Quant,Pattern 95,CN
000799 CH Equity,2022-05-02,BUY,酒鬼酒,4457,0,0,149.81,6.6781,100000,0,0,Quant,Pattern 95,CN
000850 CH Equity,2022-05-02,BUY,华茂股份,183464,0,0,3.64,6.6781,100000,0,0,Quant,Pattern 95,CN
000852 CH Equity,2022-05-02,BUY,石化机械,122533,0,0,5.45,6.6781,100000,0,0,Quant,Pattern 95,CN
000877 CH Equity,2022-05-02,BUY,天山股份,54828,0,0,12.18,6.6781,100000,0,0,Quant,Pattern 95,CN
000950 CH Equity,2022-05-02,BUY,重药控股,138262,0,0,4.83,6.6781,100000,0,0,Quant,Pattern 95,CN
000951 CH Equity,2022-05-02,BUY,中国重汽,67455,0,0,9.9,6.6781,100000,0,0,Quant,Pattern 95,CN
000959 CH Equity,2022-05-02,BUY,首钢股份,139127,0,0,4.8,6.6781,100000,0,0,Quant,Pattern 95,CN
000962 CH Equity,2022-05-02,BUY,东方钽业,78289,0,0,8.53,6.6781,100000,0,0,Quant,Pattern 95,CN
000963 CH Equity,2022-05-02,SELL,华东医药,-19583,0,0,34.1,6.6781,100000,0,0,Quant,Pattern 95,CN
300763 CH Equity,2022-05-02,SELL,锦浪科技股份有限公司,-3460,0,0,193.0,6.6781,100000,0,0,Quant,Pattern 95,CN
300832 CH Equity,2022-05-02,BUY,新产业,16674,0,0,40.05,6.6781,100000,0,0,Quant,Pattern 95,CN
300925 CH Equity,2022-05-02,SELL,法本信息,-36353,0,0,18.37,6.6781,100000,0,0,Quant,Pattern 95,CN
300942 CH Equity,2022-05-02,SELL,易瑞生物,-30465,0,0,21.92,6.6781,100000,0,0,Quant,Pattern 95,CN
300958 CH Equity,2022-05-02,SELL,建工修复,-36373,0,0,18.36,6.6781,100000,0,0,Quant,Pattern 95,CN
300961 CH Equity,2022-05-02,SELL,深水海纳,-55883,0,0,11.95,6.6781,100000,0,0,Quant,Pattern 95,CN
300973 CH Equity,2022-05-02,BUY,立高食品,9405,0,0,71.0,6.6781,100000,0,0,Quant,Pattern 95,CN
301062 CH Equity,2022-05-02,SELL,上海艾录,-65152,0,0,10.25,6.6781,100000,0,0,Quant,Pattern 95,CN
301066 CH Equity,2022-05-02,BUY,万事利,34691,0,0,19.25,6.6781,100000,0,0,Quant,Pattern 95,CN
301069 CH Equity,2022-05-02,SELL,凯盛新材,-19560,0,0,34.14,6.6781,100000,0,0,Quant,Pattern 95,CN
603993 CH Equity,2022-05-02,BUY,洛阳钼业,142694,0,0,4.68,6.6781,100000,0,0,Quant,Pattern 95,CN
