,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300084 CH Equity,2022-05-12,BUY,海默科技,48201,0,0,4.24,6.8125,30000,0,0,Quant,Pattern 95,CN
300091 CH Equity,2022-05-12,BUY,金通灵科技集团股份有限公司,56146,0,0,3.64,6.8125,30000,0,0,Quant,Pattern 95,CN
300098 CH Equity,2022-05-12,BUY,高新兴,65715,0,0,3.11,6.8125,30000,0,0,Quant,Pattern 95,CN
300118 CH Equity,2022-05-12,BUY,东方日升,8756,0,0,23.34,6.8125,30000,0,0,Quant,Pattern 95,CN
300124 CH Equity,2022-05-12,BUY,汇川技术,3650,0,0,55.98,6.8125,30000,0,0,Quant,Pattern 95,CN
300138 CH Equity,2022-05-12,BUY,晨光生物,12334,0,0,16.57,6.8125,30000,0,0,Quant,Pattern 95,CN
300142 CH Equity,2022-05-12,BUY,沃森生物,4043,0,0,50.55,6.8125,30000,0,0,Quant,Pattern 95,CN
300144 CH Equity,2022-05-12,BUY,宋城演艺,17408,0,0,11.74,6.8125,30000,0,0,Quant,Pattern 95,CN
300162 CH Equity,2022-05-12,BUY,雷曼光電,32286,0,0,6.33,6.8125,30000,0,0,Quant,Pattern 95,CN
300180 CH Equity,2022-05-12,BUY,华峰超纤,55536,0,0,3.68,6.8125,30000,0,0,Quant,Pattern 95,CN
002431 CH Equity,2022-05-12,BUY,棕榈股份,58226,0,0,3.51,6.8125,30000,0,0,Quant,Pattern 95,CN
002439 CH Equity,2022-05-12,BUY,启明星辰,11599,0,0,17.62,6.8125,30000,0,0,Quant,Pattern 95,CN
002449 CH Equity,2022-05-12,BUY,国星光电,30919,0,0,6.61,6.8125,30000,0,0,Quant,Pattern 95,CN
002481 CH Equity,2022-05-12,BUY,双塔食品,24359,0,0,8.39,6.8125,30000,0,0,Quant,Pattern 95,CN
002482 CH Equity,2022-05-12,BUY,广田集团,85156,0,0,2.4,6.8125,30000,0,0,Quant,Pattern 95,CN
002489 CH Equity,2022-05-12,BUY,浙江永强,50966,0,0,4.01,6.8125,30000,0,0,Quant,Pattern 95,CN
002493 CH Equity,2022-05-12,BUY,荣盛石化,14382,0,0,14.21,6.8125,30000,0,0,Quant,Pattern 95,CN
002518 CH Equity,2022-05-12,BUY,科士达,13392,0,0,15.26,6.8125,30000,0,0,Quant,Pattern 95,CN
002543 CH Equity,2022-05-12,BUY,万和电气,30367,0,0,6.73,6.8125,30000,0,0,Quant,Pattern 95,CN
002544 CH Equity,2022-05-12,BUY,中电科普天科技股份有限公司,9541,0,0,21.42,6.8125,30000,0,0,Quant,Pattern 95,CN
000034 CH Equity,2022-05-12,BUY,神州数码,14017,0,0,14.58,6.8125,30000,0,0,Quant,Pattern 95,CN
000036 CH Equity,2022-05-12,BUY,华联控股,52403,0,0,3.9,6.8125,30000,0,0,Quant,Pattern 95,CN
