,16
000002 CH Equity,1.0
000008 CH Equity,1.0
000036 CH Equity,1.0
000039 CH Equity,1.0
000040 CH Equity,1.0
000063 CH Equity,1.0
000153 CH Equity,1.0
000156 CH Equity,1.0
000157 CH Equity,1.0
000301 CH Equity,1.0
000560 CH Equity,1.0
000582 CH Equity,1.0
000603 CH Equity,1.0
000612 CH Equity,1.0
000625 CH Equity,1.0
000636 CH Equity,1.0
000728 CH Equity,1.0
000733 CH Equity,1.0
000738 CH Equity,1.0
000762 CH Equity,1.0
000829 CH Equity,1.0
000850 CH Equity,1.0
000852 CH Equity,1.0
000877 CH Equity,1.0
000882 CH Equity,1.0
000885 CH Equity,1.0
000950 CH Equity,1.0
000951 CH Equity,1.0
000959 CH Equity,1.0
000962 CH Equity,1.0
000963 CH Equity,1.0
000977 CH Equity,1.0
000988 CH Equity,1.0
000999 CH Equity,1.0
001211 CH Equity,1.0
001696 CH Equity,1.0
002010 CH Equity,1.0
002011 CH Equity,1.0
002013 CH Equity,1.0
002015 CH Equity,1.0
002022 CH Equity,1.0
002025 CH Equity,1.0
002032 CH Equity,1.0
002035 CH Equity,1.0
002041 CH Equity,1.0
002048 CH Equity,1.0
002049 CH Equity,1.0
002073 CH Equity,1.0
002074 CH Equity,1.0
002085 CH Equity,1.0
002091 CH Equity,1.0
002106 CH Equity,1.0
002120 CH Equity,1.0
002127 CH Equity,1.0
002158 CH Equity,1.0
002166 CH Equity,1.0
002170 CH Equity,1.0
002176 CH Equity,1.0
002181 CH Equity,1.0
002191 CH Equity,1.0
002202 CH Equity,1.0
002212 CH Equity,1.0
002214 CH Equity,1.0
002241 CH Equity,1.0
002267 CH Equity,1.0
002271 CH Equity,1.0
002277 CH Equity,1.0
002286 CH Equity,1.0
002287 CH Equity,1.0
002291 CH Equity,1.0
002304 CH Equity,1.0
002311 CH Equity,1.0
002329 CH Equity,1.0
002340 CH Equity,1.0
002349 CH Equity,1.0
002352 CH Equity,1.0
002369 CH Equity,1.0
002371 CH Equity,1.0
002378 CH Equity,1.0
002387 CH Equity,1.0
002389 CH Equity,1.0
002432 CH Equity,1.0
002448 CH Equity,1.0
002456 CH Equity,1.0
002458 CH Equity,1.0
002465 CH Equity,1.0
002472 CH Equity,1.0
002475 CH Equity,1.0
002482 CH Equity,1.0
