,18
000002 CH Equity,-1.0
000009 CH Equity,-1.0
000027 CH Equity,1.0
000028 CH Equity,-1.0
000030 CH Equity,1.0
000031 CH Equity,-1.0
000035 CH Equity,-1.0
000039 CH Equity,1.0
000062 CH Equity,1.0
000066 CH Equity,-1.0
000068 CH Equity,1.0
000070 CH Equity,1.0
000157 CH Equity,1.0
000301 CH Equity,-1.0
000333 CH Equity,-1.0
000338 CH Equity,-1.0
000423 CH Equity,-1.0
000498 CH Equity,-1.0
000514 CH Equity,-1.0
000519 CH Equity,1.0
000521 CH Equity,-1.0
000524 CH Equity,-1.0
000525 CH Equity,-1.0
000538 CH Equity,-1.0
000547 CH Equity,1.0
000591 CH Equity,-1.0
000596 CH Equity,-1.0
000630 CH Equity,-1.0
000639 CH Equity,1.0
000650 CH Equity,1.0
000651 CH Equity,1.0
000661 CH Equity,-1.0
000663 CH Equity,1.0
000668 CH Equity,-1.0
000671 CH Equity,1.0
000672 CH Equity,1.0
000700 CH Equity,-1.0
000711 CH Equity,-1.0
000719 CH Equity,-1.0
000729 CH Equity,-1.0
000733 CH Equity,-1.0
000736 CH Equity,1.0
000738 CH Equity,-1.0
000761 CH Equity,1.0
000767 CH Equity,1.0
000768 CH Equity,-1.0
000785 CH Equity,-1.0
000786 CH Equity,-1.0
000791 CH Equity,1.0
000797 CH Equity,-1.0
000815 CH Equity,-1.0
000826 CH Equity,-1.0
000831 CH Equity,-1.0
000837 CH Equity,1.0
000839 CH Equity,-1.0
000869 CH Equity,1.0
000898 CH Equity,-1.0
000912 CH Equity,-1.0
000913 CH Equity,-1.0
000926 CH Equity,-1.0
000963 CH Equity,-1.0
000967 CH Equity,1.0
000968 CH Equity,-1.0
000988 CH Equity,1.0
001289 CH Equity,1.0
001914 CH Equity,-1.0
002013 CH Equity,-1.0
002016 CH Equity,1.0
002017 CH Equity,1.0
002025 CH Equity,-1.0
002027 CH Equity,1.0
002030 CH Equity,-1.0
002034 CH Equity,-1.0
002038 CH Equity,-1.0
002041 CH Equity,-1.0
002049 CH Equity,-1.0
002061 CH Equity,1.0
002065 CH Equity,1.0
002067 CH Equity,1.0
002074 CH Equity,-1.0
002094 CH Equity,-1.0
002099 CH Equity,1.0
002101 CH Equity,-1.0
002123 CH Equity,-1.0
002127 CH Equity,-1.0
002135 CH Equity,1.0
002140 CH Equity,-1.0
002142 CH Equity,-1.0
002151 CH Equity,-1.0
002154 CH Equity,1.0
002156 CH Equity,1.0
002159 CH Equity,1.0
002165 CH Equity,1.0
002166 CH Equity,1.0
002170 CH Equity,1.0
002175 CH Equity,-1.0
002179 CH Equity,-1.0
002183 CH Equity,1.0
002185 CH Equity,-1.0
002186 CH Equity,1.0
002192 CH Equity,-1.0
002195 CH Equity,-1.0
002198 CH Equity,1.0
002202 CH Equity,-1.0
002203 CH Equity,-1.0
002205 CH Equity,1.0
002216 CH Equity,-1.0
002217 CH Equity,1.0
002230 CH Equity,-1.0
002236 CH Equity,-1.0
