,17
000001 CH Equity,1.0
000002 CH Equity,1.0
000021 CH Equity,1.0
000030 CH Equity,1.0
000031 CH Equity,1.0
000046 CH Equity,1.0
000061 CH Equity,1.0
000063 CH Equity,1.0
000069 CH Equity,1.0
000088 CH Equity,1.0
000089 CH Equity,1.0
000090 CH Equity,1.0
000099 CH Equity,1.0
000100 CH Equity,1.0
000155 CH Equity,1.0
000333 CH Equity,1.0
000338 CH Equity,1.0
000400 CH Equity,1.0
000401 CH Equity,1.0
000408 CH Equity,1.0
000422 CH Equity,1.0
000423 CH Equity,1.0
000521 CH Equity,1.0
000525 CH Equity,1.0
000539 CH Equity,1.0
000543 CH Equity,1.0
000545 CH Equity,1.0
000546 CH Equity,1.0
000555 CH Equity,1.0
000571 CH Equity,1.0
000596 CH Equity,1.0
000625 CH Equity,1.0
000629 CH Equity,1.0
000630 CH Equity,1.0
000651 CH Equity,1.0
000656 CH Equity,1.0
000657 CH Equity,1.0
000661 CH Equity,1.0
000665 CH Equity,1.0
000676 CH Equity,1.0
000685 CH Equity,1.0
000698 CH Equity,1.0
000710 CH Equity,1.0
000713 CH Equity,1.0
000715 CH Equity,1.0
000722 CH Equity,1.0
000725 CH Equity,1.0
000728 CH Equity,1.0
000731 CH Equity,1.0
000733 CH Equity,1.0
000756 CH Equity,1.0
000767 CH Equity,1.0
000776 CH Equity,1.0
000777 CH Equity,1.0
000778 CH Equity,1.0
000785 CH Equity,1.0
000786 CH Equity,1.0
000792 CH Equity,1.0
000799 CH Equity,1.0
000800 CH Equity,1.0
000810 CH Equity,1.0
000815 CH Equity,1.0
000848 CH Equity,1.0
000858 CH Equity,1.0
000878 CH Equity,1.0
000893 CH Equity,1.0
000895 CH Equity,1.0
000898 CH Equity,1.0
000899 CH Equity,1.0
000901 CH Equity,1.0
000902 CH Equity,1.0
000908 CH Equity,1.0
000922 CH Equity,1.0
000933 CH Equity,1.0
000935 CH Equity,1.0
000951 CH Equity,1.0
000959 CH Equity,1.0
000968 CH Equity,1.0
000970 CH Equity,1.0
000999 CH Equity,1.0
001216 CH Equity,1.0
001234 CH Equity,1.0
001317 CH Equity,1.0
001872 CH Equity,1.0
001979 CH Equity,1.0
002002 CH Equity,1.0
002003 CH Equity,1.0
002004 CH Equity,1.0
002006 CH Equity,1.0
002008 CH Equity,1.0
002013 CH Equity,1.0
002024 CH Equity,1.0
002027 CH Equity,1.0
002036 CH Equity,1.0
002037 CH Equity,1.0
002041 CH Equity,1.0
002049 CH Equity,1.0
002060 CH Equity,1.0
002066 CH Equity,1.0
002074 CH Equity,1.0
002081 CH Equity,1.0
002089 CH Equity,1.0
002090 CH Equity,1.0
002091 CH Equity,1.0
002100 CH Equity,1.0
002101 CH Equity,1.0
002110 CH Equity,1.0
002129 CH Equity,1.0
002135 CH Equity,1.0
002138 CH Equity,1.0
002139 CH Equity,1.0
002144 CH Equity,1.0
002151 CH Equity,1.0
002154 CH Equity,1.0
002167 CH Equity,1.0
002171 CH Equity,1.0
002199 CH Equity,1.0
002202 CH Equity,1.0
002216 CH Equity,1.0
002221 CH Equity,1.0
002223 CH Equity,1.0
002225 CH Equity,1.0
002226 CH Equity,1.0
002230 CH Equity,1.0
002236 CH Equity,1.0
002240 CH Equity,1.0
002244 CH Equity,1.0
002249 CH Equity,1.0
002254 CH Equity,1.0
002258 CH Equity,1.0
002267 CH Equity,1.0
002269 CH Equity,1.0
002271 CH Equity,1.0
002276 CH Equity,1.0
002289 CH Equity,1.0
002293 CH Equity,1.0
002294 CH Equity,1.0
002299 CH Equity,1.0
002304 CH Equity,1.0
002311 CH Equity,1.0
002314 CH Equity,1.0
002330 CH Equity,1.0
002332 CH Equity,1.0
002340 CH Equity,1.0
002344 CH Equity,1.0
002353 CH Equity,1.0
002371 CH Equity,1.0
002372 CH Equity,1.0
002375 CH Equity,1.0
002384 CH Equity,1.0
002410 CH Equity,1.0
002414 CH Equity,1.0
002415 CH Equity,1.0
002422 CH Equity,1.0
002430 CH Equity,1.0
002438 CH Equity,1.0
002439 CH Equity,1.0
002460 CH Equity,1.0
002465 CH Equity,1.0
002468 CH Equity,1.0
