x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZX04-000300-combine_fore_q_EP1Q-long,26.70,-31.70,-16.84,141.95,28.93,10,7,19.82,1.29,442,1.27,22.58,74.82,1.35,56.27
ZX04-000300-combine_fore_q_EP1Q-指数,5.30,-46.70,-42.53,147.77,7.01,12,9,23.22,0.34,1362,1.49,2.15,34.41,0.23,52.58
ZX04-000300-combine_fore_q_EP1Qlong-指数,18.53,-26.73,-20.09,61.48,20.40,13,13,12.35,1.44,333,0.79,18.65,42.70,1.50,55.23
ZX04-000300-combine_fore_q_EPTTM-long,27.56,-35.82,-24.64,170.67,30.56,13,9,21.10,1.26,601,1.35,22.53,83.58,1.31,56.00
ZX04-000300-combine_fore_q_EPTTM-指数,5.21,-46.70,-42.53,147.77,6.94,12,9,23.21,0.34,1367,1.49,2.08,34.35,0.22,52.58
ZX04-000300-combine_fore_q_EPTTMlong-指数,19.68,-26.34,-18.24,61.16,21.07,12,11,12.88,1.46,292,0.82,19.46,42.60,1.53,55.30
ZX04-000300-combine_fore_q_Grh1Q-long,15.46,-36.52,-26.59,194.32,19.47,13,7,21.43,0.78,913,1.37,14.97,50.85,0.72,54.17
ZX04-000300-combine_fore_q_Grh1Q-指数,5.30,-46.70,-42.53,147.77,7.01,12,9,23.22,0.34,1362,1.49,2.15,34.41,0.23,52.58
ZX04-000300-combine_fore_q_Grh1Qlong-指数,8.65,-20.64,-16.95,73.03,11.33,9,11,10.18,0.87,233,0.65,9.36,28.27,0.85,53.83
ZX04-000300-combine_fore_q_GrhTTM-long,17.97,-34.67,-27.84,185.48,21.82,13,9,21.56,0.87,628,1.38,17.01,53.39,0.83,54.60
ZX04-000300-combine_fore_q_GrhTTM-指数,5.48,-46.70,-42.53,147.77,7.06,12,9,23.22,0.35,1361,1.49,2.46,34.41,0.24,52.62
ZX04-000300-combine_fore_q_GrhTTMlong-指数,10.68,-21.39,-14.25,56.04,13.53,12,10,11.57,0.94,411,0.74,12.52,31.02,0.92,54.63
ZX04-000300-fore_q_analyst_EP1Q-long,21.06,-31.50,-21.59,157.74,24.10,14,8,19.77,1.07,772,1.27,18.13,62.01,1.07,55.67
ZX04-000300-fore_q_analyst_EP1Q-指数,5.35,-46.70,-42.53,147.77,6.97,12,9,23.22,0.34,1361,1.49,2.15,34.39,0.23,52.58
