info,tradeDetail
S43框架EA修正-as51,"2010-11-16:HLS 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-11-17:HLS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-11-18:HLS 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-as51,"2010-11-19:HLS 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-11-22:HLS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-11-23:HLS 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-11-24:HLS 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-11-25:HLS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-11-26:HLS 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-11-29:HLS 持有期,收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-as51,"2010-11-30:HLS 开盘平仓,开盘收益为 -0.01%,明日信号为 平仓"
S43框架EA修正-as51,"2010-12-02:WPL 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-03:WPL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-06:WPL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-06:HLS 开盘建仓,当日收益为 0.03%,明日信号为 多"
S43框架EA修正-as51,"2010-12-07:HLS 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-07:WPL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-07:WOR 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-08:HLS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-08:WOR 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-as51,"2010-12-08:WPL 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-08:MND 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:HLS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:MND 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:WOR 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:WPL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:ALD 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:CGF 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-09:QUB 开盘建仓,当日收益为 0.03%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:ALD 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:CGF 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:HLS 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:MND 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:QUB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:WOR 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:WPL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:AWC 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-10:FPH 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:ALD 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:AWC 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:CGF 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:FPH 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:HLS 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:MND 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:QUB 持有期,收益为 -0.04%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:WOR 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:WPL 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:BHP 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-13:CBA 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-14:ALD 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-14:AWC 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-as51,"2010-12-14:BHP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-14:CBA 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-14:CGF 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-14:FPH 持有期,收益为 -0.02%,明日信号为 多"
