info,tradeDetail
S43框架EA修正-hsce,"2010-12-24:00960 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2010-12-28:00960 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2010-12-29:00960 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2010-12-30:00960 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-hsce,"2010-12-31:00960 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2010-12-31:00241 开盘建仓,当日收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-03:00241 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-03:00960 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-03:01398 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-04:00241 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-04:00960 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-04:01398 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-04:02007 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-05:00241 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-05:00960 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-05:01398 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-05:02007 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-05:02688 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:00241 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:00960 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:01398 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:02007 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:02688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:00688 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-06:01918 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:00241 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:00688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:00960 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:01398 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:01918 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:02007 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-07:02688 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:00241 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:00688 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:00960 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:01398 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:01918 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:02007 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:02688 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-10:00981 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:00241 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:00688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:00960 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:00981 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:01398 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:01918 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:02007 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-11:02688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:00241 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:00688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:00960 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:00981 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:01398 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:01918 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:02007 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-12:02688 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:00241 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:00688 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:00960 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:00981 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:01398 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:01918 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:02007 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-13:02688 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:00241 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:00688 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:00960 持有期,收益为 0.04%,明日信号为 平仓"
S43框架EA修正-hsce,"2011-01-14:00981 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:01398 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:01918 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:02007 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-14:02688 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:00241 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:00688 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:00981 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:01398 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:01918 持有期,收益为 -0.04%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:02007 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:02688 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:00762 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:02618 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-17:00960 开盘平仓,开盘收益为 0.01%,明日信号为 平仓"
S43框架EA修正-hsce,"2011-01-18:00241 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:00688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:00762 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:00981 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:01398 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:01918 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:02007 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:02618 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-18:02688 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:00241 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:00688 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:00762 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:00981 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:01398 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:01918 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-hsce,"2011-01-19:02007 持有期,收益为 0.01%,明日信号为 多"
